omega[deg],I[au],I_B[au],theta[deg],theta_corr[deg],omega_corr[deg],lambda[ang]
5.0,300,251,2.5,2.7744054972635306,5.548810994527061,0.37352047934521976
5.1,251,251,2.55,2.824216375131101,5.648432750262202,0.38020501209514956
5.2,262,270,2.6,2.874027252998672,5.748054505997344,0.38688839541952996
5.3,371,308,2.65,2.9238381308662422,5.8476762617324844,0.3935706091133364
5.4,404,347,2.7,2.973649008733813,5.947298017467626,0.40025163297508054
5.5,525,385,2.75,3.0234598866013838,6.0469197732027675,0.406931446806871
5.6,636,490,2.8,3.0732707644689543,6.146541528937909,0.41361003041447464
5.7,870,663,2.85,3.123081642336525,6.24616328467305,0.42028736360737723
5.8,1094,835,2.9,3.1728925202040954,6.345785040408191,0.4269634261988452
5.9,1387,1008,2.95,3.2227033980716664,6.445406796143333,0.43363819800598596
6.0,1792,1289,3.0,3.272514275939237,6.545028551878474,0.440311658849809
6.1,2134,1680,3.05,3.322325153806807,6.644650307613614,0.4469837885552874
6.2,2657,2071,3.1,3.372136031674378,6.744272063348756,0.4536545669514186
6.3,2976,2462,3.15,3.4219469095419486,6.843893819083897,0.4603239738712847
6.4,3275,2780,3.2,3.471757787409519,6.943515574819038,0.46699198915211454
6.5,3600,3026,3.25,3.5215686652770897,7.043137330554179,0.4736585926353441
6.6,3659,3271,3.3,3.57137954314466,7.14275908628932,0.48032376416667716
6.7,3640,3517,3.35,3.621190421012231,7.242380842024462,0.4869874835961467
6.8,3951,3599,3.4,3.6710012988798013,7.342002597759603,0.49364973077817575
6.9,3895,3517,3.45,3.7208121767473723,7.441624353494745,0.5003104855716383
7.0,3734,3435,3.5,3.770623054614943,7.541246109229886,0.5069697278399194
7.1,3769,3353,3.55,3.820433932482513,7.640867864965026,0.5136274374509777
7.2,3372,4682,3.6,3.870244810350084,7.740489620700168,0.5202835942774048
7.3,3312,7421,3.65,3.9200556882176545,7.840111376435309,0.5269381781964865
7.4,14269,10160,3.7,3.9698665660852255,7.939733132170451,0.533591169090264
7.5,18831,12899,3.75,4.019677443952796,8.039354887905592,0.5402425468455947
7.6,19285,14537,3.8,4.069488321820366,8.138976643640731,0.5468922913542122
7.7,18817,15072,3.85,4.119299199687937,8.238598399375874,0.5535403825127885
7.8,18609,15607,3.9,4.169110077555508,8.338220155111015,0.5601868002229932
7.9,18193,16142,3.95,4.218920955423078,8.437841910846156,0.5668315243915555
8.0,17453,16129,4.0,4.268731833290649,8.537463666581298,0.5734745349303241
8.1,16410,15568,4.05,4.318542711158219,8.637085422316439,0.5801158117563286
8.2,16085,15006,4.1,4.36835358902579,8.73670717805158,0.5867553347918402
8.3,15186,14445,4.15,4.418164466893361,8.836328933786723,0.5933930839644312
8.4,14473,13917,4.2,4.467975344760931,8.935950689521862,0.6000290392070371
8.5,14164,13422,4.25,4.5177862226285015,9.035572445257003,0.6066631804580171
8.6,13392,12927,4.3,4.567597100496072,9.135194200992144,0.6132954876612143
8.7,12812,12432,4.35,4.617407978363643,9.234815956727285,0.6199259407660158
8.8,12678,11860,4.4,4.667218856231214,9.334437712462428,0.6265545197274147
8.9,12185,11209,4.45,4.717029734098785,9.43405946819757,0.6331812045060693
9.0,11380,10559,4.5,4.766840611966355,9.53368122393271,0.6398059750683651
9.1,10768,9908,4.55,4.816651489833925,9.63330297966785,0.646428811386474
9.2,10226,9364,4.6,4.866462367701495,9.73292473540299,0.6530496934384155
9.3,9583,8926,4.65,4.916273245569067,9.832546491138134,0.6596686012081179
9.4,9200,8489,4.7,4.966084123436637,9.932168246873275,0.666285514685477
9.5,8736,8051,4.75,5.015895001304208,10.031790002608416,0.6729004138664187
9.6,8200,7634,4.8,5.065705879171778,10.131411758343557,0.6795132787529576
9.7,7832,7239,4.85,5.115516757039349,10.231033514078698,0.6861240893532587
9.8,7576,6844,4.9,5.16532763490692,10.33065526981384,0.692732825681698
9.9,7348,6449,4.95,5.21513851277449,10.43027702554898,0.6993394677589214
10.0,6847,6104,5.0,5.264949390642061,10.529898781284121,0.7059439956119069
10.1,6251,5809,5.05,5.314760268509631,10.629520537019262,0.7125463892740235
10.2,5817,5514,5.1,5.364571146377202,10.729142292754403,0.7191466287850928
10.3,5571,5219,5.15,5.414382024244773,10.828764048489546,0.7257446941914485
10.4,5409,5016,5.2,5.464192902112344,10.928385804224687,0.732340565545997
10.5,5071,4906,5.25,5.514003779979914,11.028007559959828,0.7389342229082776
10.6,5066,4797,5.3,5.563814657847484,11.127629315694968,0.745525646344523
10.7,4890,4687,5.35,5.613625535715054,11.227251071430109,0.7521148159277194
10.8,4845,4513,5.4,5.663436413582626,11.326872827165252,0.7587017117376674
10.9,4632,4274,5.45,5.713247291450196,11.426494582900393,0.7652863138610405
11.0,4339,4036,5.5,5.763058169317767,11.526116338635534,0.771868602391447
11.1,3899,3797,5.55,5.8128690471853375,11.625738094370675,0.7784485574294895
11.2,3840,3586,5.6,5.862679925052908,11.725359850105816,0.7850261590828252
11.3,3678,3403,5.65,5.912490802920479,11.824981605840957,0.7916013874662263
11.4,3472,3220,5.7,5.962301680788049,11.924603361576098,0.7981742227016394
11.5,3185,3037,5.75,6.01211255865562,12.02422511731124,0.8047446449182458
11.6,3181,2886,5.8,6.06192343652319,12.12384687304638,0.8113126342525224
11.7,2945,2769,5.85,6.111734314390761,12.223468628781522,0.8178781708483007
