omega[deg],I[au],I_B[au],theta[deg],omega_corr[deg],theta_corr[deg],lambda[ang]
5.0,439,392,2.5,5.548810994527061,2.7744054972635306,0.37352047934521976
5.1,397,392,2.55,5.648432750262202,2.824216375131101,0.38020501209514956
5.2,392,426,2.6,5.748054505997344,2.874027252998672,0.38688839541952996
5.3,542,494,2.65,5.8476762617324844,2.9238381308662422,0.3935706091133364
5.4,664,562,2.7,5.947298017467626,2.973649008733813,0.40025163297508054
5.5,1108,630,2.75,6.0469197732027675,3.0234598866013838,0.406931446806871
5.6,1738,1072,2.8,6.146541528937909,3.0732707644689543,0.41361003041447464
5.7,2677,1887,2.85,6.24616328467305,3.123081642336525,0.42028736360737723
5.8,3925,2702,2.9,6.345785040408191,3.1728925202040954,0.4269634261988452
5.9,5360,3517,2.95,6.445406796143333,3.2227033980716664,0.43363819800598596
6.0,7422,4969,3.0,6.545028551878474,3.272514275939237,0.440311658849809
6.1,9589,7056,3.05,6.644650307613614,3.322325153806807,0.4469837885552874
6.2,12275,9144,3.1,6.744272063348756,3.372136031674378,0.4536545669514186
6.3,15197,11231,3.15,6.843893819083897,3.4219469095419486,0.4603239738712847
6.4,18079,13679,3.2,6.943515574819038,3.471757787409519,0.46699198915211454
6.5,20925,16486,3.25,7.043137330554179,3.5215686652770897,0.4736585926353441
6.6,23503,19293,3.3,7.14275908628932,3.57137954314466,0.48032376416667716
6.7,25968,22100,3.35,7.242380842024462,3.621190421012231,0.4869874835961467
6.8,28128,24361,3.4,7.342002597759603,3.6710012988798013,0.49364973077817575
6.9,29487,26076,3.45,7.441624353494745,3.7208121767473723,0.5003104855716383
7.0,30363,27791,3.5,7.541246109229886,3.770623054614943,0.5069697278399194
7.1,30432,29506,3.55,7.640867864965026,3.820433932482513,0.5136274374509777
7.2,30767,30280,3.6,7.740489620700168,3.870244810350084,0.5202835942774048
7.3,30975,30115,3.65,7.840111376435309,3.9200556882176545,0.5269381781964865
7.4,30374,29950,3.7,7.939733132170451,3.9698665660852255,0.533591169090264
7.5,30444,29786,3.75,8.039354887905592,4.019677443952796,0.5402425468455947
7.6,29703,29458,3.8,8.138976643640731,4.069488321820366,0.5468922913542122
7.7,30049,28967,3.85,8.238598399375874,4.119299199687937,0.5535403825127885
7.8,29833,28476,3.9,8.338220155111015,4.169110077555508,0.5601868002229932
7.9,29583,27985,3.95,8.437841910846156,4.218920955423078,0.5668315243915555
8.0,28310,27399,4.0,8.537463666581298,4.268731833290649,0.5734745349303241
8.1,27739,26719,4.05,8.637085422316439,4.318542711158219,0.5801158117563286
8.2,27108,26038,4.1,8.73670717805158,4.36835358902579,0.5867553347918402
8.3,26300,25358,4.15,8.836328933786723,4.418164466893361,0.5933930839644312
8.4,25693,24809,4.2,8.935950689521862,4.467975344760931,0.6000290392070371
8.5,25018,24391,4.25,9.035572445257003,4.5177862226285015,0.6066631804580171
8.6,24530,23972,4.3,9.135194200992144,4.567597100496072,0.6132954876612143
8.7,24195,23554,4.35,9.234815956727285,4.617407978363643,0.6199259407660158
8.8,24253,22952,4.4,9.334437712462428,4.667218856231214,0.6265545197274147
8.9,23345,22167,4.45,9.43405946819757,4.717029734098785,0.6331812045060693
9.0,22592,21381,4.5,9.53368122393271,4.766840611966355,0.6398059750683651
9.1,21819,20596,4.55,9.63330297966785,4.816651489833925,0.646428811386474
9.2,20885,19957,4.6,9.73292473540299,4.866462367701495,0.6530496934384155
9.3,20203,19464,4.65,9.832546491138134,4.916273245569067,0.6596686012081179
9.4,19818,18971,4.7,9.932168246873275,4.966084123436637,0.666285514685477
9.5,19166,18478,4.75,10.031790002608416,5.015895001304208,0.6729004138664187
9.6,18523,17992,4.8,10.131411758343557,5.065705879171778,0.6795132787529576
9.7,18232,17512,4.85,10.231033514078698,5.115516757039349,0.6861240893532587
9.8,17812,17032,4.9,10.33065526981384,5.16532763490692,0.692732825681698
9.9,17524,16552,4.95,10.43027702554898,5.21513851277449,0.6993394677589214
10.0,16915,16041,5.0,10.529898781284121,5.264949390642061,0.7059439956119069
10.1,16312,15498,5.05,10.629520537019262,5.314760268509631,0.7125463892740235
10.2,15286,14955,5.1,10.729142292754403,5.364571146377202,0.7191466287850928
10.3,14788,14412,5.15,10.828764048489546,5.414382024244773,0.7257446941914485
10.4,14330,14071,5.2,10.928385804224687,5.464192902112344,0.732340565545997
10.5,14141,13931,5.25,11.028007559959828,5.514003779979914,0.7389342229082776
