Siegbahn,IUPAC,lambda[m],omega1[deg],theta1[deg],omega2[deg],theta2[deg]
$K\beta_4^{I}$,$\mathrm{K}-\mathrm{N}_5$,1.7892e-11,2.6547322307045533,1.3273661153522767,5.3151852144367835,2.6575926072183917
$K\beta_4^{II}$,$\mathrm{K}-\mathrm{N}_4$,1.7892e-11,2.6547322307045533,1.3273661153522767,5.3151852144367835,2.6575926072183917
$K\beta_2^{I}$,$\mathrm{K}-\mathrm{N}_3$,1.7942e-11,2.6621563353266327,1.3310781676633163,5.33008167532002,2.66504083766001
$K\beta_2^{II}$,$\mathrm{K}-\mathrm{N}_2$,1.796e-11,2.6648290239337538,1.3324145119668769,5.335444489641003,2.6677222448205016
$K\beta_5^{I}$,$\mathrm{K}-\mathrm{M}_5$,1.831e-11,2.7167991296153913,1.3583995648076956,5.439730811510954,2.719865405755477
$K\beta_5^{II}$,$\mathrm{K}-\mathrm{M}_4$,1.8327e-11,2.7193234485093067,1.3596617242546534,5.44479660466069,2.722398302330345
$K\beta_1$,$\mathrm{K}-\mathrm{M}_3$,1.8438e-11,2.73580589606493,1.367902948032465,5.477874305315412,2.738937152657706
$K\beta_3$,$\mathrm{K}-\mathrm{M}_2$,1.8518e-11,2.7476852779641767,1.3738426389820884,5.501715224542174,2.750857612271087
$K\alpha_1$,$\mathrm{K}-\mathrm{L}_3$,2.0901e-11,3.101598833613565,1.5507994168067825,6.212333486158819,3.1061667430794095
$K\alpha_2$,$\mathrm{K}-\mathrm{L}_2$,2.1383e-11,3.1731974983017976,1.5865987491508988,6.356180581019306,3.178090290509653
