Siegbahn,IUPAC,lambda[m],omega1[deg],theta1[deg],omega2[deg],theta2[deg]
$L\gamma_3$,$\mathrm{L}_1-\mathrm{N}_3$,1.06146e-10,15.948991163462884,7.974495581731442,33.337032921592794,16.668516460796397
$L\gamma_2$,$\mathrm{L}_1-\mathrm{N}_2$,1.06786e-10,16.04774211078638,8.02387105539319,33.56457593776942,16.78228796888471
$L\gamma_1$,$\mathrm{L}_2-\mathrm{N}_4$,1.09857e-10,16.522280269319538,8.261140134659769,34.66494075146013,17.332470375730065
$L\beta_2$,$\mathrm{L}_3-\mathrm{N}_5$,1.2443e-10,18.790787390304907,9.395393695152453,40.107740149912736,20.053870074956368
$L\beta_3$,$\mathrm{L}_1-\mathrm{M}_3$,1.26271e-10,19.07947065827421,9.539735329137105,40.82558708818074,20.41279354409037
$L\beta_1$,$\mathrm{L}_2-\mathrm{M}_4$,1.28181e-10,19.37950646251305,9.689753231256525,41.57864707964815,20.789323539824075
$L\beta_4$,$\mathrm{L}_1-\mathrm{M}_2$,1.30164e-10,19.691595596692192,9.845797798346096,42.369896891087656,21.184948445543828
$L\eta$,$\mathrm{L}_2-\mathrm{M}_1$,1.42112e-10,21.585367592340933,10.792683796170467,47.37267400041806,23.68633700020903
$L\alpha_1$,$\mathrm{L}_3-\mathrm{M}_5$,1.47631e-10,22.468422446980618,11.234211223490309,49.84905659461103,24.924528297305514
$L\alpha_2$,$\mathrm{L}_3-\mathrm{M}_4$,1.48745e-10,22.647342263090213,11.323671131545106,50.3643102897803,25.18215514489015
