Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-200;0.860406;-0.802474;-0.056121
-190;-0.674151;0.899747;-0.134300
-180;-1.120044;-0.967092;0.442913
-170;0.315023;0.085018;0.372660
-160;-0.435711;0.275143;-0.111457
-150;0.622261;-0.848232;0.113770
-140;0.336680;-0.603746;-0.536032
-130;0.148746;0.515644;-0.696868
-120;-0.551910;0.193911;0.098318
-110;-1.268523;0.794486;0.500367
-100;0.396282;0.050233;-0.912590
-90;0.186718;0.877408;-0.487820
-80;0.062097;0.187684;-0.583154
-70;-0.380307;-0.589338;-1.430239
-60;0.724403;1.628948;-0.164552
-50;-0.015074;0.140606;0.883880
-40;0.508962;-0.143241;-0.711211
-30;0.461774;0.289371;-0.573645
-20;1.986998;0.579274;0.311041
-10;4.054904;3.881290;2.317201
0;5.832682;6.804957;6.760153
10;9.899788;9.882245;9.183019
20;12.969226;12.323948;12.948533
30;18.066187;15.746337;17.355608
40;19.472041;19.392280;19.319963
50;22.877899;20.487689;23.574432
60;24.617984;24.513269;26.492086
70;27.956122;28.459431;27.890206
80;31.498482;30.669152;31.679428
90;33.090642;33.242644;33.315277
100;33.108008;35.069291;33.535802
110;32.028880;33.653767;34.434596
120;34.276014;32.835065;33.331200
130;33.601579;33.210343;32.620532
140;32.255174;31.451573;31.657327
150;31.547843;31.480275;31.081242
160;31.193208;32.073729;32.398248
170;31.536504;31.927985;31.660353
180;30.440113;31.954171;32.266089
190;29.922371;31.386630;30.315380
200;31.576205;30.919906;30.406827
210;31.272624;30.976755;30.050798
220;29.664827;28.951846;29.507430
230;28.791149;29.705954;29.161115
240;28.589106;28.108311;29.964193
250;29.450612;30.135533;28.140017
260;28.566354;29.335640;29.104309
270;26.738454;28.735218;28.953243
280;28.640168;28.952662;29.168296
290;26.833858;27.000494;29.338422
300;27.385932;27.557166;27.966711
310;26.297133;26.983046;24.822366
320;27.638416;26.051221;25.959868
330;26.401372;27.436728;27.480172
340;25.469465;26.719700;25.337168
350;24.979982;25.220992;26.172516
360;26.006203;26.017681;26.138822
370;25.372916;25.027557;26.082671
380;25.183293;24.911694;25.936301
390;25.139532;25.467024;25.247143
400;24.303333;24.070703;25.300261
410;25.184105;24.390180;24.076629
420;23.921132;25.276213;25.352233
430;22.933264;23.717622;23.743310
440;23.724306;22.433798;24.557732
450;23.121410;23.490933;23.220877
460;22.214167;21.982085;23.457559
470;23.142307;24.533062;22.778387
480;21.670139;22.059811;23.874901
490;21.680135;22.894687;22.951084
500;22.446659;22.556733;21.254162
