Laser Delay [ns];TA [mOD]
-400;-0.115579
-390;-0.215285
-380;-0.170340
-370;-0.286004
-360;-0.251340
-350;0.046100
-340;-0.010147
-330;-0.078165
-320;-0.204064
-310;-0.336376
-300;0.062890
-290;0.008060
-280;-0.419833
-270;-0.464243
-260;-0.288854
-250;-0.401238
-240;-0.374423
-230;-0.457693
-220;-0.282158
-210;-0.107458
-200;-0.238987
-190;0.050333
-180;0.091935
-170;-0.373243
-160;-0.079556
-150;-0.102184
-140;-0.557381
-130;-0.490064
-120;0.018496
-110;-0.172986
-100;-0.413047
-90;-0.444959
-80;-0.038368
-70;-0.252572
-60;-0.272114
-50;-0.781919
-40;-0.147476
-30;-0.776040
-20;0.112315
-10;1.339015
0;2.810764
10;4.953119
20;6.371084
30;8.220081
40;9.436765
50;11.514133
60;12.752343
70;14.192474
80;15.926294
90;17.629582
100;19.051481
110;20.437085
120;20.064241
130;20.351424
140;19.991261
150;19.412214
160;19.322555
170;19.159539
180;18.772167
190;18.642062
200;18.591442
210;18.152075
220;17.781712
230;17.605599
240;17.674414
250;17.511109
260;17.256875
270;17.157097
280;17.059234
290;16.560223
300;16.747145
310;16.427817
320;16.123487
330;15.891921
340;15.778664
350;15.491810
360;14.943430
370;14.754329
380;14.865175
390;14.944986
400;14.492663
410;14.403782
420;13.990043
430;13.672106
440;13.971815
450;13.621038
460;13.808863
470;13.410283
480;13.077373
490;13.227876
500;13.183204
510;12.706522
520;12.374087
530;12.465942
540;11.935310
550;11.933995
560;11.950287
570;11.951754
580;11.865074
590;11.811558
600;11.583125
610;11.259240
620;11.328979
630;11.085182
640;10.986050
650;10.934913
660;10.870595
670;10.512087
680;10.501297
690;10.347686
700;10.091056
710;10.237709
720;10.071988
730;9.887870
740;9.510201
750;9.525719
760;9.523260
770;9.272149
780;9.045809
790;8.534743
800;9.068357
810;9.104260
820;8.764701
830;8.427097
840;8.468099
850;8.406285
860;8.108351
870;8.423422
880;8.110400
890;7.934919
900;8.061178
910;8.165476
920;7.745573
930;8.014826
940;7.855474
950;7.358879
960;7.295175
970;7.553145
980;7.333949
990;7.022311
1000;6.851845
1010;6.928632
1020;6.843252
1030;6.717163
1040;6.788724
1050;6.726288
1060;6.653096
1070;6.507375
1080;6.465425
1090;6.391870
1100;6.793839
1110;6.227348
1120;6.117698
1130;5.922782
1140;5.947035
1150;6.120915
1160;5.725892
1170;6.164127
1180;5.918284
1190;5.937423
1200;5.665424
1210;5.346592
1220;5.244796
1230;5.483048
1240;5.030535
1250;5.264054
1260;5.485578
1270;5.019617
1280;5.036083
1290;5.497488
1300;5.051399
1310;5.016595
1320;4.970168
1330;4.715813
1340;5.131069
1350;4.733368
1360;4.637888
1370;4.408533
1380;4.678938
1390;4.134510
1400;4.754449
1410;4.634537
1420;4.755979
1430;4.258216
1440;4.331440
1450;4.457603
1460;4.187055
1470;3.847077
1480;3.971381
1490;4.395761
1500;3.866296
1510;4.155159
1520;3.740584
1530;3.854079
1540;3.670134
1550;3.891879
1560;3.949788
1570;3.917744
1580;3.910301
1590;3.387582
1600;3.957747
1610;3.620727
1620;3.815454
1630;3.483796
1640;3.733528
1650;3.859873
1660;3.140262
1670;3.299018
1680;3.617259
1690;3.253872
1700;3.316884
1710;3.134954
1720;3.036566
1730;2.845139
1740;2.998133
1750;3.078772
1760;3.115252
1770;2.631314
1780;3.175777
1790;3.053796
1800;3.333518
1810;3.079571
1820;2.921460
1830;2.836430
1840;3.083891
1850;2.947676
1860;3.028977
1870;2.414633
1880;2.442635
1890;2.594229
1900;2.658597
1910;2.975329
1920;2.464040
1930;2.571841
1940;2.104207
1950;2.404311
1960;2.554100
1970;2.072444
1980;2.382863
1990;2.518062
2000;3.090494
2010;2.360257
2020;2.332020
2030;2.163845
2040;2.588984
2050;2.111625
2060;2.446577
2070;2.238889
2080;2.066880
2090;2.062050
2100;2.124014
2110;2.459719
2120;2.069792
2130;2.305455
2140;2.305640
2150;1.934621
2160;1.846036
2170;2.080060
2180;2.343955
2190;2.315963
2200;1.903314
2210;2.105959
2220;1.596399
2230;1.978845
2240;1.703875
2250;2.098198
2260;2.051876
2270;1.828692
2280;2.001811
2290;2.023768
2300;2.076563
2310;1.811349
2320;1.897440
2330;1.576173
2340;2.342933
2350;2.221092
2360;1.422807
2370;1.471135
2380;1.692890
2390;1.169607
2400;1.547576
2410;1.962847
2420;1.907889
2430;1.602756
2440;1.559581
2450;1.440627
2460;1.962346
2470;1.422315
2480;1.464112
2490;1.523136
2500;1.660484
2510;1.629240
2520;1.471400
2530;1.350031
2540;1.485860
2550;1.621296
2560;1.438191
2570;1.748612
2580;1.799333
2590;1.557632
2600;1.542053
2610;1.211033
2620;1.409091
2630;1.675777
2640;1.606840
2650;1.518735
2660;1.460104
2670;1.747339
2680;1.468619
2690;1.506823
2700;1.351295
2710;1.290173
2720;0.883129
2730;1.323720
2740;1.041747
2750;1.419757
2760;1.600883
2770;1.280510
2780;1.227165
2790;1.193859
2800;0.977461
2810;0.943549
2820;1.337786
2830;1.044295
2840;1.038676
2850;1.207914
2860;1.341482
2870;1.320031
2880;1.157642
2890;1.053041
2900;1.291068
2910;1.649292
2920;0.973413
2930;1.118111
2940;1.273247
2950;1.234477
2960;0.946847
2970;1.173306
2980;0.928468
2990;1.346823
3000;0.902158
3010;1.000532
3020;0.943630
3030;1.186374
3040;0.983037
3050;1.025833
3060;1.309534
3070;0.896691
3080;0.911470
3090;1.274980
3100;1.222831
3110;1.327567
3120;0.870975
3130;1.226746
3140;0.952064
3150;0.406850
3160;0.639254
3170;0.886636
3180;1.061236
3190;0.802045
3200;0.877813
3210;1.049173
3220;1.010180
3230;0.915512
3240;1.062511
3250;0.969767
3260;0.843055
3270;0.662107
3280;1.131906
3290;0.678682
3300;0.963704
3310;1.082109
3320;0.978210
3330;1.103991
3340;0.665284
3350;0.657642
3360;0.986360
3370;0.691554
3380;0.935486
3390;1.251128
3400;0.882750
3410;0.643329
3420;1.029028
3430;0.837720
3440;0.798671
3450;0.711350
3460;0.636367
3470;1.044231
3480;1.208115
3490;0.852653
3500;0.870642
3510;0.880556
3520;0.902123
3530;0.285770
3540;0.924274
3550;0.852784
3560;0.746619
3570;0.925697
3580;0.780000
3590;0.758802
3600;0.718826
3610;0.639249
3620;0.682398
3630;0.736468
3640;0.672806
3650;1.061530
3660;0.785090
3670;0.773042
3680;0.985285
3690;0.327688
3700;0.618143
3710;0.681612
3720;0.720736
3730;0.710405
3740;0.838748
3750;0.430086
3760;0.513143
