Laser Delay [ns];TA [mOD]
-200;0.290285
-190;-0.480577
-180;-0.392502
-170;0.270046
-160;0.348977
-150;-0.467338
-140;-0.177367
-130;0.335859
-120;0.607872
-110;0.410382
-100;-0.060030
-90;-0.240087
-80;-0.169024
-70;0.984437
-60;-0.944147
-50;0.308856
-40;0.191958
-30;-0.065686
-20;1.219365
-10;3.208805
0;7.687665
10;9.986593
20;12.884974
30;16.124413
40;19.454730
50;21.531005
60;24.834975
70;27.920555
80;28.583164
90;30.178359
100;29.443952
110;28.890712
120;27.807173
130;28.072391
140;27.374583
150;27.603631
160;27.117127
170;26.689080
180;26.927334
190;26.381987
200;25.695078
210;25.121616
220;25.317564
230;24.976908
240;24.385124
250;24.951547
260;24.346993
270;23.720162
280;23.130793
290;23.854008
300;24.172761
310;22.649339
320;22.972888
330;22.474138
340;22.757841
350;21.067396
360;22.044828
370;21.744538
380;21.459243
390;20.440320
400;20.668977
410;20.550106
420;19.950857
430;19.611930
440;20.019783
450;19.377270
460;20.039290
470;19.319258
480;19.142472
490;18.456445
500;18.406256
