Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-200;-0.333615;0.199197;1.005272
-190;0.285035;-1.054107;-0.672659
-180;0.863590;-1.870784;-0.170311
-170;-0.367955;0.450559;0.727534
-160;0.096372;1.117225;-0.166665
-150;-0.561252;-0.629672;-0.211090
-140;-0.872910;-0.117837;0.458646
-130;0.430827;0.569002;0.007748
-120;-0.332967;1.112836;1.043748
-110;1.484288;-0.397066;0.143924
-100;0.735420;-0.372399;-0.543112
-90;-0.643908;-0.117379;0.041025
-80;0.492562;-1.080196;0.080562
-70;1.326450;0.400173;1.226687
-60;-0.604235;-0.103277;-2.124930
-50;-0.394721;0.118294;1.202997
-40;0.510079;-0.646227;0.712022
-30;0.620512;-0.737832;-0.079738
-20;0.432844;2.231814;0.993437
-10;2.363622;3.285741;3.977051
0;7.996232;8.024832;7.041930
10;9.855211;10.176487;9.928082
20;13.513979;12.674991;12.465953
30;16.240335;16.524248;15.608657
40;19.378442;19.891376;19.094373
50;21.552341;21.294007;21.746668
60;24.926988;24.179606;25.398330
70;27.301160;28.078066;28.382440
80;28.483308;28.997926;28.268258
90;28.569675;30.450171;31.515229
100;28.134686;30.075083;30.122088
110;29.127592;28.152633;29.391909
120;27.866959;27.908460;27.646099
130;26.724588;28.036332;29.456254
140;28.115218;28.034869;25.973661
150;26.836780;27.996614;27.977501
160;27.619339;26.749362;26.982681
170;26.577975;26.753682;26.735584
180;26.336994;27.284854;27.160154
190;26.393876;25.512818;27.239267
200;25.297065;25.718082;26.070088
210;24.833246;24.909709;25.621892
220;25.090997;24.167560;26.694135
230;23.918918;25.939963;25.071844
240;24.962365;24.654195;23.538813
250;25.547259;24.102711;25.204672
260;24.379838;24.438017;24.223123
270;23.100082;23.570511;24.489892
280;23.644443;22.430124;23.317812
290;23.746219;24.323397;23.492407
300;24.014837;24.565490;23.937957
310;21.447201;22.201493;24.299325
320;22.135301;24.244515;22.538847
330;22.532426;21.251301;23.638689
340;23.153283;22.577890;22.542351
350;20.532430;22.389656;20.280103
360;21.614982;22.474427;22.045074
370;22.143426;21.838499;21.251690
380;21.413321;21.041017;21.923392
390;20.170501;21.355431;19.795030
400;20.674071;21.191266;20.141594
410;20.280987;20.880858;20.488474
420;21.118664;19.818736;18.915170
430;19.825602;19.134147;19.876041
440;19.412042;20.691048;19.956260
450;20.733032;19.204055;18.194722
460;21.117836;19.956136;19.043899
470;19.741790;18.386077;19.829907
480;18.393213;19.821123;19.213080
490;19.745827;18.130845;17.492663
500;18.133399;18.490156;18.595214
