Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-200;-1.838594;-1.563777;-0.289928
-190;-0.111160;0.323938;-0.358904
-180;-0.104601;-0.003208;-0.049968
-170;-0.556161;-1.263200;-0.122499
-160;-0.896060;0.216051;1.309580
-150;-0.043754;-0.170279;-1.148854
-140;0.193649;0.477537;0.762339
-130;0.151699;0.419677;0.552904
-120;-1.324243;0.022878;0.000916
-110;-0.267767;-0.114087;-0.175985
-100;0.013259;-0.655373;-1.511949
-90;0.496901;0.806463;1.014118
-80;0.459106;0.810772;0.541364
-70;0.616448;-1.654203;-0.336488
-60;-1.219583;0.358248;0.921282
-50;-0.183983;0.892500;-0.403648
-40;-0.257809;0.045343;-0.105338
-30;0.280670;-0.298385;-0.605906
-20;-0.409668;1.591107;0.874043
-10;3.187514;4.244313;3.455364
0;7.224533;6.166375;6.644745
10;8.636035;10.815088;9.703438
20;13.162256;14.818555;12.837804
30;15.199659;15.910558;16.738711
40;20.248714;18.863714;19.889010
50;21.691754;21.912721;21.766044
60;26.497355;26.321358;26.057007
70;28.335774;27.833952;26.851931
80;31.914739;29.415850;31.594523
90;33.890383;34.332428;35.116433
100;36.837587;35.857039;36.576849
110;36.869572;37.560942;37.985864
120;38.210399;37.718278;37.767177
130;37.154496;38.069938;38.990816
140;37.682010;38.306782;37.511942
150;36.000605;37.044389;36.875732
160;35.347014;35.655376;34.945398
170;36.548201;34.900268;38.003779
180;35.986071;35.106060;36.025381
190;32.648152;34.793908;35.849813
200;34.701822;35.173157;35.801876
210;34.864116;33.815947;34.580005
220;34.829101;34.003869;34.343759
230;34.938419;34.734723;35.024272
240;32.995551;33.929944;32.799534
250;32.632177;31.202431;33.824219
260;33.153198;33.418242;31.880448
270;33.280802;31.868919;32.953272
280;32.565213;32.477572;34.183882
290;33.058443;31.617811;31.427372
300;31.113497;31.296041;32.249401
310;31.328587;31.458947;31.850544
320;30.762477;30.426809;31.198231
330;29.549637;29.037839;30.441609
340;30.135691;31.149147;30.338168
350;30.115676;31.352652;30.022732
360;29.089701;29.048343;27.626403
370;29.055974;29.490229;27.704898
380;29.804311;28.258997;28.892720
390;27.188728;28.747239;28.768765
400;27.298198;29.581067;27.270233
410;27.905586;27.191961;26.994384
420;28.109567;26.385120;26.846637
430;26.943093;26.519922;26.726373
440;26.208225;27.006783;27.894781
450;26.485236;26.964136;28.291525
460;26.840493;25.538465;25.784774
470;26.083099;26.328018;26.859869
480;25.716131;25.433266;25.548143
490;24.977500;25.766570;24.434167
500;25.355888;25.844872;24.724573
