Laser Delay [ns];TA [mOD]
-400;-0.201309
-390;-0.016943
-380;-0.055252
-370;-0.139667
-360;-0.188722
-350;-0.025880
-340;0.034591
-330;-0.257127
-320;-0.082720
-310;-0.094150
-300;-0.013252
-290;0.088752
-280;0.025971
-270;0.099898
-260;-0.365847
-250;-0.114730
-240;-0.019531
-230;0.270494
-220;-0.110732
-210;-0.064573
-200;-0.009449
-190;-0.160181
-180;-0.033385
-170;-0.148370
-160;-0.184259
-150;-0.113754
-140;0.067615
-130;-0.020353
-120;0.042683
-110;0.062466
-100;-0.202163
-90;0.027330
-80;0.023030
-70;-0.153851
-60;-0.016729
-50;-0.241073
-40;0.039769
-30;-0.072498
-20;-0.059523
-10;0.811340
0;3.173651
10;5.573643
20;7.974739
30;10.115421
40;12.511219
50;14.749028
60;16.651710
70;18.629044
80;20.425187
90;22.281283
100;24.316360
110;26.026654
120;26.544508
130;25.780941
140;25.039564
150;24.349923
160;23.819765
170;23.313422
180;22.460234
190;21.910955
200;21.219301
210;20.742674
220;20.225386
230;19.659255
240;19.110806
250;18.530257
260;18.225080
270;17.506878
280;17.112327
290;16.803913
300;16.158159
310;15.597733
320;15.388540
330;14.944324
340;14.529509
350;14.519073
360;14.007452
370;13.581372
380;13.062079
390;12.920008
400;12.476371
410;12.132231
420;11.874225
430;11.540413
440;11.061511
450;10.908524
460;10.599257
470;10.120993
480;10.065532
490;9.780697
500;9.481001
510;9.111818
520;9.062896
530;8.708019
540;8.445871
550;8.320049
560;8.184386
570;7.943119
580;7.678945
590;7.557827
600;7.336584
610;6.996354
620;6.785917
630;6.682745
640;6.603642
650;6.251371
660;6.048056
670;6.048277
680;6.291407
690;5.676038
700;5.524878
710;5.427255
720;5.343939
730;4.988155
740;5.086141
750;4.859867
760;4.847483
770;4.775144
780;4.519649
790;4.591036
800;4.331887
810;4.436426
820;4.002054
830;4.192357
840;4.066290
850;3.820789
860;3.850706
870;3.976030
880;3.815676
890;3.378380
900;3.566123
910;3.414467
920;3.490659
930;3.141553
940;2.926556
950;2.952929
960;2.963866
970;2.758185
