Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.178218;-0.258194;-0.422817;-0.285820;-0.217930
-390;0.239546;0.110891;-0.321496;0.050825;-0.164481
-380;-0.103440;0.220410;-0.183003;-0.199387;-0.010840
-370;-0.147118;-0.421964;-0.110070;0.015234;-0.034416
-360;-0.316314;-0.066870;-0.351492;-0.186615;-0.022317
-350;-0.157751;-0.040894;-0.087986;0.064163;0.093071
-340;0.259049;0.067496;-0.119475;0.064088;-0.098201
-330;-0.116057;0.053310;-0.554561;-0.577136;-0.091192
-320;-0.311144;-0.077456;0.258343;-0.378943;0.095599
-310;0.401788;-0.492046;-0.045877;-0.406695;0.072078
-300;-0.167685;0.307333;0.043388;-0.010154;-0.239145
-290;0.839314;0.008059;0.026410;-0.199162;-0.230862
-280;-0.130022;0.441592;-0.219314;-0.281093;0.318691
-270;0.209077;0.136273;0.061567;-0.186023;0.278597
-260;-0.092517;-0.718673;-0.070398;-0.524100;-0.423549
-250;-0.127592;-0.369003;0.426623;-0.256262;-0.247416
-240;-0.077021;-0.297289;0.208053;-0.048840;0.117443
-230;-0.051972;0.706020;0.253940;0.265931;0.178551
-220;-0.002192;-0.161718;-0.137535;-0.061515;-0.190700
-210;0.095533;-0.075633;0.011313;-0.001903;-0.352176
-200;0.199368;0.044645;0.086724;-0.045614;-0.332369
-190;0.445563;-0.326588;-0.374657;-0.240860;-0.304360
-180;-0.288744;-0.071875;0.242525;0.179592;-0.228424
-170;-0.333096;-0.213830;0.051550;-0.299432;0.052958
-160;0.110980;-0.266590;-0.675289;0.272518;-0.362914
-150;0.009949;0.067591;-0.637056;-0.144556;0.135302
-140;0.418545;-0.114008;-0.156427;0.115365;0.074600
-130;-0.277595;0.108424;0.232369;-0.138160;-0.026806
-120;0.373410;-0.457272;0.098005;0.067825;0.131449
-110;-0.026100;0.235400;0.216113;-0.083082;-0.030001
-100;-0.304469;-0.022927;-0.003770;-0.478634;-0.201016
-90;-0.235290;-0.194547;0.125627;-0.141306;0.582167
-80;0.015032;-0.182865;0.177243;-0.179900;0.285638
-70;-0.378018;-0.344665;-0.182283;0.043742;0.091969
-60;-0.104338;0.441855;-0.042131;-0.173030;-0.206001
-50;-0.531372;-0.374271;-0.021992;-0.164220;-0.113512
-40;-0.247083;0.025412;-0.067266;0.217448;0.270333
-30;-0.130937;-0.284403;-0.008167;0.134393;-0.073376
-20;-0.142707;0.186069;-0.005028;-0.251087;-0.084862
-10;1.137266;0.811703;0.453694;0.723194;0.930843
0;3.692455;2.984825;3.023131;3.169709;2.998133
10;6.190025;5.828020;5.127458;5.144132;5.578581
20;8.581218;8.032185;8.025143;7.675233;7.559914
30;11.086092;9.899509;9.924833;10.170500;9.496171
