Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.282608;-0.285892;-0.684861;-0.051997;0.147079
-390;-0.246005;0.286428;-0.042812;-0.201752;-0.457249
-380;0.102115;-0.972590;-0.207270;-0.165666;-0.605854
-370;-0.307203;-0.179775;-0.824836;-0.059657;-0.730769
-360;-0.452852;-0.317838;0.115638;0.120783;-0.440161
-350;0.415540;-0.260022;-0.003565;0.391143;-0.366439
-340;-0.173757;-0.159982;-0.881983;-0.794488;0.435884
-330;-0.142155;-0.689605;-0.219606;-0.234431;-0.530905
-320;-1.349367;-0.425136;0.161993;-0.165092;-0.410382
-310;-0.087003;-0.289377;0.582707;0.058645;-0.130223
-300;-0.344277;0.071617;0.056073;0.770300;-0.330399
-290;-0.231590;-0.082771;-0.588879;-0.054554;0.343627
-280;-0.169928;0.101018;-0.230724;-0.255357;-0.626817
-270;0.289390;-0.602334;-0.544479;-0.277359;0.189950
-260;-0.899082;0.275827;-0.470499;-0.504871;0.055994
-250;0.052931;-0.741577;0.240422;-1.446397;0.086566
-240;-0.306391;-1.117397;-0.198124;-0.225208;-0.556384
-230;-0.469644;-0.119788;-0.522562;0.296212;-0.167495
-220;0.243997;-0.094463;-0.400580;-0.091298;-0.450391
-210;-0.571627;-0.607632;-0.464954;-0.507978;-0.202181
-200;-0.445491;-0.530418;-0.821145;-0.217687;-0.355359
-190;-0.231455;-0.556404;-0.164854;-0.537348;-0.231699
-180;-0.941348;-0.155422;-0.201672;-0.147414;-0.534901
-170;0.017707;-0.046732;-0.654927;-0.163171;0.027504
-160;-0.155948;-0.720514;0.056497;-0.580825;-0.838564
-150;-0.065447;-0.796108;0.264394;0.164652;-0.208812
-140;-0.413292;-0.620038;-0.043288;-0.394918;-0.140654
-130;-0.846766;-0.138646;-0.084524;-0.359466;-0.158012
-120;-0.517750;-0.650242;-1.013990;-0.172431;-0.333049
-110;0.736094;-0.660134;0.453298;-0.946058;-0.352625
-100;-0.749443;0.118797;-0.356412;-0.486187;-0.844614
-90;-0.472428;-0.450013;0.104436;-1.144684;-0.388689
-80;-0.265637;-0.578785;-0.309374;-0.094779;0.214924
-70;-0.536124;-0.731543;-0.214000;-1.713146;-0.247133
-60;0.142549;-0.218318;0.482449;0.107128;0.384623
-50;-0.046381;-0.359885;-0.452935;-0.524088;-0.140102
-40;0.241711;-0.641310;0.275065;-0.351915;-0.704479
-30;-0.680903;-0.331420;0.184954;0.281690;-0.396795
-20;-0.486484;0.827602;0.352995;0.443880;-0.040276
-10;0.911656;1.027436;1.549068;1.112843;1.537288
0;3.168657;2.887977;2.362913;2.762402;2.324577
10;4.640316;4.432577;3.795078;3.983000;3.496848
20;5.330587;5.453861;5.300268;5.586636;5.102185
30;7.121284;6.033502;6.719853;7.370268;7.019607
40;8.266166;7.897284;7.536907;8.015749;7.563608
50;9.444537;8.801350;8.787384;8.667795;9.446830
60;10.840351;10.619130;10.325697;10.966325;10.092516
70;12.797869;11.435289;11.774738;11.518575;11.475022
80;13.947114;13.276945;13.129512;12.789113;12.993014
90;14.967698;14.655063;14.306668;14.302062;13.987342
100;15.517543;15.714801;15.027177;15.296031;15.559530
110;16.946651;15.724542;15.141933;15.411771;16.060602
120;17.017861;15.330670;15.600470;15.592628;15.096019
130;16.501540;15.434239;15.701550;15.851478;15.895090
140;16.180265;15.407843;15.324141;14.493311;15.408357
150;16.504605;15.241616;16.109022;15.076005;14.998715
160;16.189733;15.063356;15.336525;14.690678;14.896771
170;16.216329;14.968159;14.455982;14.126426;14.800770
180;15.442454;14.632960;14.606109;14.028686;14.676223
190;15.678891;14.899098;14.978045;13.849415;15.028825
200;15.029347;14.102435;14.487142;14.784543;14.122204
210;15.110230;14.324702;14.750659;14.661708;13.716143
220;14.910650;13.973969;13.791158;13.396248;13.969927
230;14.327741;14.140360;13.718120;13.197708;13.630373
240;14.958378;12.516220;13.359352;13.377331;13.802616
250;14.282191;13.394892;13.767630;13.030741;13.364420
260;14.292432;12.957926;12.890124;13.741294;13.636665
270;13.615356;13.340393;13.341027;13.398544;13.320117
280;13.549407;12.970228;13.929707;12.625703;12.620404
290;12.763715;12.773490;13.203848;12.653020;12.778173
300;13.509288;12.446987;12.824623;12.262633;12.133022
310;13.061309;12.511286;12.454904;12.643074;12.395252
320;13.921639;12.561556;12.492890;11.495354;11.745460
330;13.473997;12.088511;12.510572;12.239391;12.327498
340;12.481963;12.273926;11.857083;11.579528;12.035621
350;12.941286;11.739684;10.603381;11.612868;11.446892
360;12.868771;11.757581;11.859496;11.632421;11.170862
370;12.168488;11.633682;11.113680;10.676180;11.029272
380;11.874333;11.890459;11.609379;11.512567;11.063068
390;12.153015;11.477831;11.044740;11.062698;11.422777
400;11.629054;10.794969;10.946286;10.619854;11.133029
410;11.788270;10.335111;10.348215;11.061731;11.242543
