(benzonitrile)Wavelength (nm),(benzonitrile)Abs,(benzonitrile-13)Wavelength (nm),(benzonitrile-13)Abs,(benzonitrile-15)Wavelength (nm),(benzonitrile-15)Abs,(Toluene)Wavelength (nm),(Toluene)Abs,(Toluene-14)Wavelength (nm),(Toluene-14)Abs,
800,0.04821301252,800,0.007406439167,800,0.02025947906,800,0.03024654277,800,-0.0003371632483,
799,0.0482330583,799,0.007345275953,799,0.02038566954,799,0.03026810847,799,-0.0004809537495,
798,0.04838228971,798,0.007539563812,798,0.02051360533,798,0.03036748059,798,-0.0003679425572,
797,0.04836307466,797,0.007394853514,797,0.02046093345,797,0.03020380624,797,-0.0004104092368,
796,0.04836923629,796,0.007221343927,796,0.02037248388,796,0.03022986464,796,-0.0004541647213,
795,0.04838373512,795,0.00738418987,795,0.02057225443,795,0.0302214548,795,-0.0004610948672,
794,0.04833182693,794,0.007481068373,794,0.0204788167,794,0.03022098355,794,-0.0003504063934,
793,0.04838627949,793,0.007409572601,793,0.02059003338,793,0.03025722876,793,-0.0003783915017,
792,0.04840057716,792,0.007527474314,792,0.02052239887,792,0.03033153154,792,-0.0004167711304,
791,0.04831996188,791,0.007375975139,791,0.02041231096,791,0.03022070602,791,-0.0004003231297,
790,0.04835931212,790,0.007341853343,790,0.02052047104,790,0.03028653748,790,-0.0004696280812,
789,0.04828212038,789,0.00740883546,789,0.02050036192,789,0.03028423339,789,-0.0004381836334,
788,0.04833975434,788,0.007369419094,788,0.02041716874,788,0.03027959913,788,-0.0005226854701,
787,0.04826702178,787,0.007444041781,787,0.02043800615,787,0.03022020683,787,-0.0004779542796,
786,0.04830150306,786,0.007456155494,786,0.02033002861,786,0.03017503023,786,-0.0005150840734,
785,0.04831545055,785,0.007438485511,785,0.02046964504,785,0.03023427725,785,-0.0003930299717,
784,0.04829427227,784,0.007420158014,784,0.02037785575,784,0.03021385148,784,-0.0004468724655,
783,0.04826580361,783,0.007469770499,783,0.02039416134,783,0.03026647121,783,-0.0004111333692,
782,0.04835037142,782,0.00745265279,782,0.0203963574,782,0.03022314794,782,-0.0004390111426,
781,0.04823363572,781,0.007318817545,781,0.02026625909,781,0.03021013364,781,-0.0005956416717,
780,0.04832751304,780,0.007418788504,780,0.02035599016,780,0.03026380576,780,-0.0004502858792,
779,0.04829918966,779,0.007464055903,779,0.020285815,779,0.03020189144,779,-0.0005102749565,
778,0.04822151735,778,0.007389324252,778,0.02018771879,778,0.0301000867,778,-0.000658402103,
777,0.04830190912,777,0.00747830281,777,0.02028630301,777,0.03021052107,777,-0.0005247021327,
776,0.04830263183,776,0.007409151178,776,0.02033564448,776,0.03023274988,776,-0.0004530786537,
775,0.04823502526,775,0.007487467956,775,0.02024692111,775,0.03023494221,775,-0.0004844703071,
774,0.04840894043,774,0.007466662675,774,0.02035037428,774,0.03029392101,774,-0.0005186520866,
773,0.04829137772,773,0.007463844959,773,0.02017394453,773,0.03029389307,773,-0.0005046384176,
772,0.04827925563,772,0.007522943895,772,0.02029305696,772,0.03021432273,772,-0.0004939339124,
771,0.04822070897,771,0.007391351741,771,0.02015696838,771,0.03018873744,771,-0.00056653301,
770,0.04818666354,770,0.007462133188,770,0.02014422417,770,0.03013268672,770,-0.0005269256071,
769,0.04823968187,769,0.007557079662,769,0.02020089887,769,0.03021992929,769,-0.0005208756193,
768,0.04829635471,768,0.007524603512,768,0.02019647881,768,0.03014728241,768,-0.000502569892,
767,0.0482483916,767,0.007466030773,767,0.02022104897,767,0.03021873534,767,-0.000558363623,
766,0.04832366481,766,0.007516649086,766,0.02015599236,766,0.03023377806,766,-0.0004768682702,
765,0.04836400226,765,0.007519414648,765,0.02024466917,765,0.03042872436,765,-0.0005254260614,
764,0.04823013768,764,0.00740978308,764,0.02018186264,764,0.03019928187,764,-0.0005835951306,
763,0.04829126224,763,0.007469454315,763,0.02013983205,763,0.03020658158,763,-0.0005924878642,
762,0.04824167863,762,0.007544884458,762,0.02016486041,762,0.03019600734,762,-0.0006273848703,
