Laser Delay [ns];TA [mOD]
-400;0.355847
-390;0.002848
-380;-0.140084
-370;-0.296187
-360;-0.155515
-350;0.242973
-340;0.077175
-330;0.098555
-320;0.397480
-310;0.187220
-300;0.183230
-290;0.010316
-280;-0.134905
-270;0.062063
-260;0.003275
-250;-0.054662
-240;0.176456
-230;-0.225301
-220;0.077458
-210;0.104914
-200;-0.054171
-190;-0.278430
-180;0.060254
-170;-0.117864
-160;0.096935
-150;0.098613
-140;-0.078843
-130;-0.115934
-120;-0.130550
-110;0.104805
-100;-0.100729
-90;0.485361
-80;0.164448
-70;-0.384255
-60;-0.299054
-50;0.038656
-40;-0.039893
-30;0.313867
-20;-0.182868
-10;0.480660
0;1.572540
10;2.452167
20;3.488223
30;4.138896
40;5.704427
50;6.515758
60;7.686190
70;8.429680
80;9.428441
90;10.261634
100;11.291442
110;11.751418
120;12.119803
130;12.264942
140;12.322632
150;12.335701
160;11.988851
170;11.600271
180;11.096086
190;11.184510
200;11.119680
210;11.729673
220;11.555164
230;11.053252
240;11.034970
250;10.544626
260;10.744498
270;10.780847
280;10.182546
290;10.458421
300;10.178292
310;10.290570
320;10.014616
330;10.142734
340;9.827656
350;9.665443
360;9.779577
370;9.571479
380;9.450608
390;9.236225
400;9.393631
410;9.447972
420;9.397120
430;8.894966
440;8.998452
450;8.900198
460;8.432734
470;8.735455
480;8.518164
490;8.761314
500;8.396124
510;8.319634
520;8.187116
530;7.835046
540;7.822235
550;7.760310
560;8.115958
570;7.692780
580;7.985324
590;7.195116
600;7.696325
610;7.138081
620;7.128337
630;6.921533
640;7.558344
650;6.947069
660;7.092623
670;6.987182
680;7.293725
690;6.785279
700;7.250324
710;6.788781
720;6.664827
730;6.849472
740;6.626338
750;6.513975
760;6.424414
770;6.421711
780;6.030686
790;6.363483
800;6.178097
810;6.011012
820;5.672333
830;5.798928
840;5.965022
850;5.622600
860;5.748710
870;5.839569
880;5.546362
890;5.821245
900;5.538696
910;5.243432
920;4.977292
930;5.305709
940;5.544236
950;4.880128
960;4.932886
970;5.075638
980;5.221448
990;5.423767
1000;5.232920
1010;4.958389
1020;4.898419
1030;4.813582
1040;4.536342
1050;4.618668
1060;4.292890
1070;4.406237
1080;4.240869
1090;4.352564
1100;4.562435
1110;4.399207
1120;4.094252
1130;4.423202
1140;4.281982
1150;4.353714
1160;3.767954
1170;4.213989
1180;3.685762
1190;4.284058
1200;3.871990
1210;3.899818
1220;3.858914
1230;3.946545
1240;3.615468
1250;3.831263
1260;3.906117
1270;3.478880
1280;3.667113
1290;3.526782
1300;3.506492
1310;4.172556
1320;3.703958
1330;3.237662
1340;3.449996
1350;3.485427
1360;3.597564
1370;3.418471
1380;2.945706
1390;3.437290
1400;3.092921
1410;3.441429
1420;3.123914
1430;3.327676
1440;3.390377
1450;3.033321
1460;3.170604
1470;3.130459
1480;2.928371
1490;3.103097
1500;2.778302
1510;3.004563
1520;2.749408
1530;2.816478
1540;2.762644
1550;2.840332
1560;2.787026
1570;2.474063
1580;2.846177
1590;2.639962
1600;2.574579
1610;2.844375
1620;2.214887
1630;2.400137
1640;2.316650
1650;2.586599
1660;2.003982
1670;2.651033
1680;2.072036
1690;2.745740
1700;2.324005
1710;2.243531
1720;2.253121
1730;1.950790
1740;2.049263
1750;2.353341
1760;2.344828
1770;2.443431
1780;2.032635
1790;2.067680
1800;2.186671
1810;1.532267
1820;1.979212
1830;1.967951
1840;2.414688
1850;1.795290
1860;1.996594
