Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.854514;0.109152;0.224753;-0.415791;-0.891588
-390;-0.819611;-0.409674;-0.402054;-0.218109;0.968604
-380;1.781061;-0.511356;-0.602274;-0.145813;-0.218035
-370;0.053832;-0.076096;0.553484;0.405413;0.372249
-360;0.125381;0.236130;-0.779439;-0.485408;-0.916558
-350;0.177494;0.223800;-0.910113;-0.252470;1.063817
-340;1.232861;-0.444429;-1.668163;1.061504;0.103501
-330;-0.931840;0.280833;0.801892;-0.304320;0.028423
-320;-0.841390;0.289924;-0.060195;-0.497998;0.161690
-310;-1.164530;0.400759;0.074399;-0.034835;-0.071580
-300;-0.294968;0.650503;0.389258;-0.096783;0.132349
-290;-0.005172;0.539947;-0.676718;-0.721751;1.493331
-280;0.978011;0.293775;0.779770;-0.771658;-0.314771
-270;0.184165;0.110194;0.011620;-0.220581;0.778201
-260;-0.242956;0.471773;-0.718154;-0.451201;-0.675126
-250;-0.045722;-0.837878;-0.655815;-0.083038;0.718757
-240;0.133375;-0.177762;0.570601;-0.241263;0.032777
-230;0.121248;0.850426;0.966795;-0.097609;-0.499370
-220;0.225593;0.637341;-1.178859;-0.374555;-0.306462
-210;0.675143;-0.380699;-1.045992;-0.289719;-0.268058
-200;0.495300;0.153560;0.741580;-0.454508;0.507334
-190;0.316474;0.359838;0.352555;-0.274828;-0.328966
-180;-0.577335;0.397648;-0.007312;-1.193778;-0.778265
-170;-0.642350;-1.606030;-0.267926;-0.061097;0.505423
-160;-0.686197;0.002583;0.700998;-1.287720;-0.536433
-150;-0.202067;0.255004;0.195278;-0.246386;-0.913031
-140;-0.089873;-0.763620;0.872798;-0.556406;0.285460
-130;-0.084688;-0.114898;-0.065725;0.101878;0.559304
-120;-0.707763;-0.510248;-0.118623;-0.846956;-0.157876
-110;0.077291;-0.071490;-0.832935;-1.285514;0.381494
-100;-0.873115;0.191616;0.529791;-0.113072;0.015540
-90;0.646924;-0.243880;-0.323891;-0.171146;0.152262
-80;0.108889;-0.452241;-0.101048;0.915346;0.323722
-70;0.036697;0.294532;0.877412;0.187233;-0.506329
-60;-1.436210;-1.102541;-0.257647;0.998835;-1.322636
-50;-0.904515;0.198974;0.587354;-1.163633;-0.341890
-40;0.333687;-0.227364;0.042143;-0.328493;0.170216
-30;0.583479;0.585979;0.022776;-0.797865;0.063818
-20;0.995420;1.107499;-0.738673;-0.124686;0.164249
-10;0.031590;1.326213;1.610301;0.873431;1.160784
0;3.696247;3.309941;3.399492;3.279165;3.046356
10;5.357762;6.107138;5.616799;5.472294;5.049959
20;6.993623;8.110691;8.437351;6.761430;7.166562
30;9.417119;8.746421;9.673417;8.890517;9.272046
40;11.292502;11.411074;10.339396;11.627675;11.187439
50;13.230934;12.634108;13.320749;13.489959;13.996932
60;16.297153;14.704630;15.139620;15.940544;15.481956
70;16.972196;17.144498;17.083798;16.744488;16.896190
80;19.709121;17.966611;19.379742;19.476124;19.052871
90;21.241787;21.581958;20.562837;21.005224;21.124205
100;22.842031;21.517522;23.564428;21.782488;22.043748
110;23.975037;24.437439;24.118605;24.361353;23.904812
120;24.756613;24.591328;25.347890;24.066380;24.482439
130;25.470404;23.427014;24.990655;23.147854;23.347006
140;24.130380;23.860080;24.886610;24.731117;23.935723
150;23.287913;24.124555;23.757269;23.325612;23.449928
160;23.870194;23.271260;24.415352;23.390333;22.239676
170;23.677996;22.632594;24.223069;22.877826;23.578602
180;22.995224;21.524758;22.745382;23.398407;23.608701
190;21.783763;23.230755;22.715066;21.923663;22.536670
200;22.301990;23.205117;22.483982;22.765320;22.821838
210;22.210238;22.609775;22.933459;22.860349;22.773197
220;21.965366;21.681535;22.760791;22.225904;21.059573
230;22.037370;22.128604;22.351534;21.515929;21.585766
240;20.935126;20.403423;21.070830;20.664654;21.354139
250;21.426076;21.759429;21.211308;21.482089;21.570460
260;21.565761;21.447387;20.754003;20.577462;20.803789
270;20.229449;20.933884;19.882790;21.315281;21.300326
280;19.642072;21.454625;20.771165;21.058956;19.549474
290;19.349753;19.797153;19.584067;20.101833;20.589914
300;20.265945;20.389257;19.698083;19.700395;19.251388
310;19.915237;20.267702;20.052946;21.275982;19.921728
320;18.790775;19.658494;20.187864;20.741346;19.950039
330;19.599407;18.914564;19.421385;20.917996;19.687884
340;18.458193;20.530605;20.248018;19.329897;18.666862
350;18.947554;18.509877;18.471678;19.337081;18.044963
360;18.385254;19.197223;18.765528;18.892801;17.725193
370;20.122868;19.200677;18.606800;18.288741;17.661717
380;19.051956;18.138740;18.935688;19.182400;18.600585
390;19.733211;18.599848;17.729333;18.120655;16.886385
400;18.021199;17.838138;19.101696;18.845486;18.098873
410;17.547334;18.127511;17.731883;18.603323;18.072279
420;17.589660;17.808221;18.135022;18.414878;16.807643
430;15.973315;18.679188;17.022417;17.250365;17.686040
440;17.324070;16.402158;18.020655;17.680543;17.291548
450;16.251585;17.049400;16.488286;18.600046;16.841991
460;17.306077;17.609505;15.764871;16.397819;16.721874
470;18.013053;16.454032;16.825570;17.335273;17.358329
480;16.674578;16.706270;17.076098;15.963177;16.397984
490;15.616959;16.283694;17.363689;16.931138;16.171160
500;17.312675;15.963739;16.381346;16.859008;16.938662
510;15.387594;15.270789;16.112347;17.534798;16.123656
520;15.288695;15.367666;16.421342;16.660128;15.706260
530;15.478556;15.541784;16.349591;14.604849;15.738080
540;15.260335;15.795108;15.249208;15.049023;16.099058
550;16.024413;14.689742;14.882468;15.513226;15.409920
