Gruppe3_2020_Iod_od__1.dat
13.07.2020
16:17
Iod_Linie
Fq-abs[Hz] od-abs Fq-disp[Hz] od-disp Fq-Abstab[Hz] V-Abstab[V] Fg-Disptab[Hz] V-Disptab[V]
54300000.0000000000 0.0005946102 66900000.0000000000 0.0001895852 32299999.9999999963 0.4450000000 43300000.0000000000 0.4975000000
79500000.0000000000 0.0004239342 92700000.0000000000 0.0011627923 54300000.0000000000 -0.5500000000 66900000.0000000000 -0.5750000000
105900000.0000000000 0.0007826478 118850000.0000000000 0.0014207022 79500000.0000000000 0.6000000000 92700000.0000000000 0.6250000000
131800000.0000000150 0.0010153106 146100000.0000000000 0.0014534870 105900000.0000000000 -0.6500000000 118850000.0000000000 -0.6650000000
160400000.0000000000 0.0027252887 174100000.0000000000 -0.0003875982 131800000.0000000150 0.6800000000 146100000.0000000000 0.7000000000
187800000.0000000000 0.0070345281 201150000.0000000000 0.0029069867 160400000.0000000000 -0.7200000000 174100000.0000000000 -0.7500000000
214500000.0000000000 0.0083752884 227800000.0000000000 0.0025240188 187800000.0000000000 0.7800000000 201150000.0000000000 0.8000000000
241100000.0000000000 0.0102599182 255100000.0000000000 0.0022554113 214500000.0000000000 -0.8200000000 227800000.0000000000 -0.8350000000
269100000.0000000000 0.0153106349 282800000.0000000000 0.0049913704 241100000.0000000000 0.8500000000 255100000.0000000000 0.8700000000
296500000.0000000000 0.0175434475 310550000.0000000000 0.0095900471 269100000.0000000000 -0.8900000000 282800000.0000000000 -0.9100000000
324600000.0000000000 0.0185284151 337850000.0000000000 0.0097136124 296500000.0000000000 0.9300000000 310550000.0000000000 0.9700000000
351100000.0000000000 0.0198108355 364800000.0000000000 0.0107230626 324600000.0000000000 -1.0100000000 337850000.0000000000 -1.0250000000
378500000.0000000000 0.0240552655 392950000.0000000000 0.0134713802 351100000.0000000000 1.0400000000 364800000.0000000000 1.0200000000
