w_m/MHz,U/mV,s_U/mV
32.3, 357.50,5
54.5, 425.00,5
81.1, 480.00,5
106.3, 495.00,5
132.6, 501.25,5
161.4, 540.00,5
188.5, 598.75,5
215.4, 655.00,5
242.2, 678.75,5
270.1, 725.00,5
297.7, 760.00,5
326.0, 795.00,5
352.6, 817.50,5
380.3, 772.50,5
409.2, 805.00,5
436.5, 892.50,5
463.1, 927.50,5
491.7, 980.00,5
519.4, 955.00,5
546.0,1020.00,5
573.6, 905.00,5
600.9, 917.50,5
629.4, 955.00,5
656.0,1087.50,5
683.1, 867.50,5
711.6, 837.50,5
740.7, 842.50,5
768.6,1010.00,5
794.6, 985.00,5
824.1, 872.50,5
851.8,1010.00,5
879.0,1170.00,5
905.6,1345.00,5
931.5,1200.00,5
960.3,1004.00,5
989.0,1130.00,5
1015.7,1067.50,5
1044.4,1052.50,5
1071.4,1145.00,5
1098.8,1140.00,5
1125.4,1110.00,5
1153.6, 955.00,5
1182.4,1090.00,5
1209.0,1170.00,5
1235.0,1242.50,5
1261.3,1002.50,5
1289.8, 785.00,5
1319.5,9 67.50,5
1344.4,1092.50,5
