70_100_0_Pol_at_750.00nm_cut_at_1179.00Y_02.dat
03.07.2023
10:48:00
cut middle at Y: 1179.00
top cursor: 1231 down cursor: 1127 mean of: 104 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	32073.500
586.124	31486.625
586.252	31491.327
586.380	31597.827
586.508	31680.788
586.637	31781.788
586.765	31855.462
586.893	31891.933
587.021	31892.567
587.149	32045.144
587.277	32121.279
587.405	32118.365
587.533	32255.471
587.662	32300.288
587.790	32243.231
587.918	32272.587
588.046	32222.952
588.174	32332.087
588.302	32372.942
588.430	32406.808
588.558	32301.625
588.687	32374.087
588.815	32445.712
588.943	32320.260
589.071	32380.904
589.199	32408.202
589.327	32390.490
589.455	32423.423
589.583	32365.471
589.712	32349.913
589.840	32369.221
589.968	32344.673
590.096	32446.615
590.224	32420.202
590.352	32547.654
590.480	32391.221
590.608	32363.163
590.737	32458.837
590.865	32497.760
590.993	32434.337
591.121	32447.625
591.249	32439.971
591.377	32481.702
591.505	32489.981
591.633	32507.442
591.762	32483.548
591.890	32603.125
592.018	32630.663
592.146	32604.692
592.274	32609.144
592.402	32634.654
592.530	32848.644
592.658	32684.933
592.787	32797.308
592.915	32873.846
593.043	32767.019
593.171	32953.933
593.299	32909.010
593.427	32946.212
593.555	33007.971
593.683	33109.779
593.812	33058.260
593.940	33196.577
594.068	33211.433
594.196	33291.808
594.324	33340.058
594.452	33548.404
594.580	33427.317
594.708	33609.837
594.837	33665.183
594.965	33801.385
595.093	33796.712
595.221	33957.865
595.349	33998.000
595.477	33985.519
595.605	34136.798
595.733	34152.788
595.862	34124.548
595.990	34219.202
596.118	34290.817
596.246	34396.125
596.374	34416.173
596.502	34468.279
596.630	34547.077
596.758	34483.904
596.887	34683.260
597.015	34692.163
597.143	34695.135
597.271	34655.635
597.399	34877.327
597.527	34757.981
597.655	34807.798
597.783	34847.529
597.912	34833.038
598.040	34868.673
598.168	34821.394
598.296	34828.010
598.424	35015.731
598.552	34815.000
598.680	34838.596
598.808	35015.240
598.937	34935.038
599.065	34932.221
599.193	34945.096
599.321	34953.981
599.449	34891.442
599.577	34845.750
599.705	34867.288
599.833	34845.788
599.962	34850.077
600.090	34874.221
600.218	34847.606
600.346	34868.413
600.474	34889.962
600.602	34865.423
600.730	34956.490
600.858	34972.654
600.987	35075.856
601.115	34931.375
601.243	35048.567
601.371	35063.731
601.499	35111.962
601.627	35269.144
601.755	35278.933
601.883	35362.413
602.012	35206.769
602.140	35315.923
602.268	35328.413
602.396	35525.462
602.524	35545.154
602.652	35723.279
602.780	35695.298
602.908	35813.337
603.037	35974.625
603.165	36093.067
603.293	36184.298
603.421	36280.317
603.549	36278.144
603.677	36333.769
603.805	36513.481
603.933	36630.740
604.062	36710.087
604.190	36972.635
604.318	37019.048
604.446	37110.365
604.574	37194.500
604.702	37270.683
604.830	37381.837
604.958	37487.365
605.087	37664.596
605.215	37858.019
605.343	37876.452
605.471	37979.625
