70_100_0_Pol_at_750.00nm_cut_at_1184.50Y_01.dat
03.07.2023
10:36:00
cut middle at Y: 1184.50
top cursor: 1231 down cursor: 1138 mean of: 93 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	10652.183
586.124	10433.054
586.252	10388.269
586.380	10428.452
586.508	10456.097
586.637	10537.591
586.765	10490.645
586.893	10499.903
587.021	10590.075
587.149	10601.978
587.277	10612.237
587.405	10606.280
587.533	10664.806
587.662	10701.215
587.790	10669.161
587.918	10670.720
588.046	10662.355
588.174	10698.312
588.302	10696.183
588.430	10672.194
588.558	10713.849
588.687	10722.871
588.815	10746.892
588.943	10764.323
589.071	10722.204
589.199	10744.441
589.327	10751.387
589.455	10796.151
589.583	10751.581
589.712	10753.828
589.840	10716.516
589.968	10737.312
590.096	10781.398
590.224	10790.484
590.352	10805.602
590.480	10768.194
590.608	10759.172
590.737	10768.108
590.865	10864.118
590.993	10738.656
591.121	10783.161
591.249	10799.022
591.377	10783.215
591.505	10890.194
591.633	10798.269
591.762	10793.849
591.890	10820.903
592.018	10954.301
592.146	10840.828
592.274	10827.688
592.402	10852.860
592.530	11066.118
592.658	10975.581
592.787	10919.398
592.915	10987.505
593.043	10892.720
593.171	10970.215
593.299	10923.989
593.427	10949.333
593.555	10999.043
593.683	10993.946
593.812	11003.613
593.940	11050.860
594.068	11044.591
594.196	11043.183
594.324	11082.140
594.452	11286.839
594.580	11183.591
594.708	11212.882
594.837	11219.634
594.965	11294.785
595.093	11265.000
595.221	11337.731
595.349	11327.774
595.477	11342.376
595.605	11382.591
595.733	11372.903
595.862	11419.183
595.990	11444.774
596.118	11517.753
596.246	11554.527
596.374	11507.065
596.502	11537.839
596.630	11538.968
596.758	11543.677
596.887	11551.269
597.015	11582.269
597.143	11578.312
597.271	11629.215
597.399	11660.022
597.527	11604.559
597.655	11631.903
597.783	11668.742
597.912	11645.151
598.040	11696.828
598.168	11686.430
598.296	11658.935
598.424	11794.032
598.552	11627.548
598.680	11702.204
598.808	11755.591
598.937	11677.548
599.065	11711.871
599.193	11764.226
599.321	11741.258
599.449	11724.774
599.577	11738.892
599.705	11718.301
599.833	11685.065
599.962	11689.376
600.090	11736.075
600.218	11712.538
600.346	11733.301
600.474	11692.774
600.602	11667.129
600.730	11665.763
600.858	11712.269
600.987	11765.839
601.115	11743.237
601.243	11784.742
601.371	11855.118
601.499	11791.075
601.627	11846.204
601.755	11829.108
601.883	11855.495
602.012	11766.688
602.140	11875.968
602.268	11872.677
602.396	11998.097
602.524	11906.194
602.652	12022.817
602.780	11983.484
602.908	12025.215
603.037	12081.581
603.165	12113.312
603.293	12125.301
603.421	12135.742
603.549	12194.688
603.677	12225.774
603.805	12239.774
603.933	12286.247
604.062	12380.538
604.190	12432.054
604.318	12459.860
604.446	12440.849
604.574	12552.935
604.702	12561.677
604.830	12592.624
604.958	12567.548
605.087	12642.892
605.215	12718.000
605.343	12819.957
605.471	12789.172
605.599	12801.742
605.727	12959.581
605.855	12938.495
605.983	12961.129
606.112	13029.441
606.240	13022.108
606.368	12982.656
606.496	13033.204
606.624	13145.376
606.752	13099.054
606.880	13156.699
607.008	13124.581
607.137	13169.925
607.265	13295.731
607.393	13256.323
607.521	13323.473
607.649	13279.194
607.777	13293.312
607.905	13300.968
608.033	13286.892
608.162	13324.430
608.290	13293.065
608.418	13405.796
608.546	13374.419
608.674	13435.269
608.802	13357.871
608.930	13350.785
609.058	13399.075
609.187	13368.882
609.315	13343.183
