70_100_wo_Pol_at_750.00nm_cut_at_1184.50Y_01.dat
03.07.2023
10:36:26
cut middle at Y: 1184.50
top cursor: 1231 down cursor: 1138 mean of: 93 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	28020.989
586.124	27595.731
586.252	27613.753
586.380	27634.183
586.508	27778.226
586.637	27855.860
586.765	27893.903
586.893	28008.462
587.021	28027.591
587.149	28115.462
587.277	28210.118
587.405	28212.849
587.533	28320.011
587.662	28356.280
587.790	28341.914
587.918	28323.677
588.046	28356.516
588.174	28479.462
588.302	28462.108
588.430	28488.108
588.558	28489.624
588.687	28570.753
588.815	28651.118
588.943	28579.914
589.071	28562.161
589.199	28652.290
589.327	28692.968
589.455	28696.774
589.583	28692.269
589.712	28733.624
589.840	28647.839
589.968	28708.452
590.096	28793.409
590.224	28809.247
590.352	28978.903
590.480	28836.183
590.608	28774.495
590.737	28803.215
590.865	28906.065
590.993	28787.839
591.121	28804.849
591.249	28909.602
591.377	28988.269
591.505	28998.602
591.633	28937.086
591.762	28969.935
591.890	29041.516
592.018	29098.731
592.146	29159.688
592.274	29089.935
592.402	29139.935
592.530	29384.226
592.658	29332.710
592.787	29318.075
592.915	29457.516
593.043	29308.484
593.171	29440.204
593.299	29474.581
593.427	29514.301
593.555	29645.118
593.683	29637.828
593.812	29686.172
593.940	29789.817
594.068	29831.376
594.196	29890.376
594.324	29913.237
594.452	30166.000
594.580	30114.634
594.708	30280.978
594.837	30290.839
594.965	30433.699
595.093	30508.774
595.221	30699.108
595.349	30669.473
595.477	30658.570
595.605	30832.527
595.733	30871.849
595.862	30902.613
595.990	30936.946
596.118	31027.677
596.246	31164.419
596.374	31193.946
596.502	31245.774
596.630	31314.161
596.758	31302.140
596.887	31494.430
597.015	31538.269
597.143	31524.570
597.271	31492.935
597.399	31702.022
597.527	31657.441
597.655	31697.312
597.783	31718.828
597.912	31773.828
598.040	31819.161
598.168	31819.849
598.296	31781.634
598.424	31996.473
598.552	31821.968
598.680	31910.925
598.808	31993.129
598.937	31970.677
599.065	31949.538
599.193	32016.527
599.321	32021.849
599.449	31948.419
599.577	31981.892
599.705	31985.398
599.833	31967.559
599.962	31958.398
600.090	32012.376
600.218	31888.731
600.346	31992.806
600.474	32007.398
600.602	32031.172
600.730	32034.796
600.858	32140.860
600.987	32250.817
601.115	32178.280
601.243	32282.462
601.371	32321.667
601.499	32291.430
601.627	32480.172
601.755	32453.312
601.883	32515.011
602.012	32422.613
602.140	32521.333
602.268	32526.140
602.396	32804.710
602.524	32878.473
602.652	33011.548
602.780	33006.312
