90_130_90_Pol_at_750.00nm_cut_at_1179.00Y_01.dat
03.07.2023
11:32:02
cut middle at Y: 1179.00
top cursor: 1231 down cursor: 1127 mean of: 104 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	9940.673
586.124	9753.337
586.252	9732.798
586.380	9737.827
586.508	9790.721
586.637	9870.615
586.765	9831.192
586.893	9890.481
587.021	9911.606
587.149	9912.692
587.277	9966.308
587.405	9944.212
587.533	9996.904
587.662	10023.192
587.790	10008.721
587.918	9998.779
588.046	9959.779
588.174	10008.144
588.302	10013.885
588.430	10038.404
588.558	10065.404
588.687	10051.471
588.815	10056.548
588.943	10057.952
589.071	10039.471
589.199	10028.567
589.327	10045.692
589.455	10103.423
589.583	10076.913
589.712	10070.490
589.840	10039.192
589.968	10055.029
590.096	10063.365
590.224	10054.808
590.352	10136.163
590.480	10063.202
590.608	10030.192
590.737	10055.077
590.865	10164.135
590.993	9993.221
591.121	10070.183
591.249	10055.769
591.377	10065.010
591.505	10190.433
591.633	10041.712
591.762	10072.115
591.890	10072.798
592.018	10159.250
592.146	10118.442
592.274	10108.365
592.402	10099.971
592.530	10262.923
592.658	10173.077
592.787	10173.288
592.915	10253.038
593.043	10124.096
593.171	10188.365
593.299	10203.173
593.427	10184.731
593.555	10227.308
593.683	10228.952
593.812	10248.894
593.940	10236.346
594.068	10262.894
594.196	10278.529
594.324	10274.894
594.452	10496.317
594.580	10361.500
594.708	10408.933
594.837	10399.606
594.965	10477.433
595.093	10448.971
595.221	10536.490
595.349	10513.231
595.477	10508.317
595.605	10538.923
595.733	10551.192
595.862	10605.558
595.990	10607.452
596.118	10658.462
596.246	10693.087
596.374	10643.635
596.502	10643.942
596.630	10681.702
596.758	10663.846
596.887	10654.875
597.015	10696.731
597.143	10700.981
597.271	10709.548
597.399	10721.308
597.527	10733.067
597.655	10731.615
597.783	10758.567
597.912	10760.817
598.040	10787.365
598.168	10732.462
598.296	10737.173
598.424	10903.837
598.552	10729.567
598.680	10741.308
598.808	10789.067
598.937	10749.875
599.065	10730.731
599.193	10806.856
599.321	10779.942
599.449	10748.346
599.577	10737.260
599.705	10749.673
599.833	10711.500
599.962	10683.192
600.090	10742.760
600.218	10723.702
600.346	10720.115
600.474	10688.144
600.602	10686.096
600.730	10709.375
600.858	10722.413
600.987	10789.615
601.115	10763.317
601.243	10822.038
601.371	10828.490
601.499	10845.750
601.627	10793.760
601.755	10773.240
601.883	10853.663
602.012	10763.875
602.140	10873.087
602.268	10856.462
602.396	10981.481
602.524	10842.067
602.652	10955.192
602.780	10914.885
602.908	10972.154
