90_140_wo_Pol_at_750.00nm_cut_at_1179.00Y_01.dat
03.07.2023
11:34:15
cut middle at Y: 1179.00
top cursor: 1231 down cursor: 1127 mean of: 104 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	25507.567
586.124	25074.625
586.252	25028.885
586.380	25105.933
586.508	25210.519
586.637	25298.240
586.765	25391.615
586.893	25389.442
587.021	25468.125
587.149	25546.654
587.277	25551.183
587.405	25565.413
587.533	25757.702
587.662	25689.163
587.790	25727.231
587.918	25713.173
588.046	25691.471
588.174	25786.029
588.302	25818.510
588.430	25830.750
588.558	25821.308
588.687	25830.433
588.815	25901.837
588.943	25812.173
589.071	25831.865
589.199	25922.615
589.327	25848.962
589.455	25886.865
589.583	25862.663
589.712	25863.529
589.840	25833.327
589.968	25837.125
590.096	25896.702
590.224	25907.904
590.352	26015.308
590.480	25907.779
590.608	25823.144
590.737	25881.760
590.865	25887.202
590.993	25824.721
591.121	25879.519
591.249	25857.683
591.377	25887.269
591.505	25909.529
591.633	25847.490
591.762	25884.692
591.890	25943.221
592.018	25960.885
592.146	26039.913
592.274	25932.567
592.402	25951.644
592.530	26177.971
592.658	26105.673
592.787	26138.317
592.915	26189.442
593.043	26096.625
593.171	26229.990
593.299	26136.615
593.427	26181.327
593.555	26224.567
593.683	26295.327
593.812	26272.971
593.940	26399.952
594.068	26399.115
594.196	26406.577
594.324	26522.587
594.452	26704.452
594.580	26645.952
594.708	26739.558
594.837	26735.096
594.965	26886.663
595.093	26856.288
595.221	27042.683
595.349	27007.635
595.477	27045.125
595.605	27148.500
595.733	27150.856
595.862	27210.558
595.990	27184.740
596.118	27303.577
596.246	27321.462
596.374	27401.115
596.502	27448.971
596.630	27456.750
596.758	27418.673
596.887	27523.558
597.015	27523.481
597.143	27564.183
597.271	27590.712
597.399	27706.606
597.527	27634.846
597.655	27704.365
597.783	27690.923
597.912	27676.163
598.040	27749.337
598.168	27752.442
598.296	27617.654
598.424	27828.731
598.552	27678.375
598.680	27706.308
598.808	27832.356
598.937	27749.135
599.065	27692.817
599.193	27746.885
599.321	27749.875
599.449	27683.029
599.577	27667.317
599.705	27632.096
599.833	27638.731
599.962	27571.471
600.090	27629.721
600.218	27541.231
600.346	27607.173
600.474	27581.760
600.602	27558.375
600.730	27589.933
600.858	27652.192
600.987	27715.769
601.115	27610.683
601.243	27612.337
601.371	27741.288
601.499	27722.096
601.627	27720.798
601.755	27766.423
601.883	27827.173
602.012	27699.394
602.140	27834.942
602.268	27827.029
602.396	28042.894
602.524	27974.106
602.652	28114.500
602.780	28087.654
602.908	28182.048
603.037	28290.462
603.165	28349.077
603.293	28402.010
603.421	28449.404
603.549	28497.423
603.677	28591.529
603.805	28703.625
603.933	28778.942
604.062	28871.962
604.190	28961.692
604.318	29058.317
604.446	29060.144
604.574	29189.625
604.702	29218.837
604.830	29281.808
604.958	29343.740
605.087	29521.173
605.215	29650.144
605.343	29765.221
605.471	29763.663
605.599	29820.673
605.727	30008.990
605.855	30060.990
605.983	30124.673
606.112	30133.913
606.240	30175.260
606.368	30236.404
606.496	30237.519
606.624	30374.952
606.752	30367.673
606.880	30446.875
607.008	30505.644
607.137	30547.221
607.265	30609.894
607.393	30593.596
607.521	30665.702
607.649	30595.760
607.777	30603.952
607.905	30622.452
608.033	30644.606
608.162	30617.337
608.290	30651.115
608.418	30749.308
608.546	30720.010
608.674	30733.769
608.802	30632.510
608.930	30666.654
609.058	30664.481
609.187	30691.183
609.315	30621.567
609.443	30553.587
609.571	30636.971
609.699	30526.019
609.827	30602.260
609.955	30509.558
610.083	30486.548
610.212	30441.962
610.340	30421.663
610.468	30402.240
610.596	30386.058
610.724	30353.067
610.852	30406.942
610.980	30383.394
611.108	30361.490
611.237	30347.038
611.365	30363.038
611.493	30365.048
611.621	30327.490
611.749	30372.212
611.877	30465.067
612.005	30431.337
612.133	30504.538
612.262	30470.250
612.390	30542.788
612.518	30593.971
612.646	30604.385
612.774	30652.154
612.902	30637.471
613.030	30713.817
613.158	30657.087
613.287	30770.923
613.415	30684.423
613.543	30826.000
613.671	30843.606
613.799	30905.212
613.927	30916.625
614.055	31060.952
614.183	31029.558
614.312	31079.115
614.440	31212.115
614.568	31247.875
614.696	31311.673
614.824	31349.413
614.952	31462.221
615.080	31510.038
615.208	31622.260
615.337	31730.769
615.465	31637.096
615.593	31801.087
615.721	31797.635
