Ref_Start_wo_Pol_at_750.00nm_cut_at_1184.50Y_01.dat
03.07.2023
10:43:15
cut middle at Y: 1184.50
top cursor: 1231 down cursor: 1138 mean of: 93 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	26817.892
586.124	26332.871
586.252	26328.301
586.380	26451.645
586.508	26467.161
586.637	26598.355
586.765	26607.151
586.893	26672.570
587.021	26681.280
587.149	26789.065
587.277	26818.097
587.405	26823.108
587.533	26938.559
587.662	26913.817
587.790	26915.333
587.918	26870.817
588.046	26844.409
588.174	26948.355
588.302	26979.774
588.430	26990.624
588.558	26919.398
588.687	26982.699
588.815	27000.828
588.943	26943.667
589.071	26990.043
589.199	27040.355
589.327	26980.570
589.455	26995.817
589.583	26960.054
589.712	26960.161
589.840	26866.925
589.968	26914.430
590.096	26957.086
590.224	26952.215
590.352	27051.419
590.480	26921.559
590.608	26934.925
590.737	26948.204
590.865	26977.559
590.993	26804.538
591.121	26915.118
591.249	26961.075
591.377	26973.505
591.505	26944.538
591.633	26870.441
591.762	26929.011
591.890	26898.677
592.018	27042.968
592.146	27022.323
592.274	26965.602
592.402	26960.032
592.530	27144.946
592.658	27077.548
592.787	27123.237
592.915	27124.269
593.043	27067.710
593.171	27141.215
593.299	27135.204
593.427	27081.269
593.555	27174.473
593.683	27216.462
593.812	27232.817
593.940	27247.441
594.068	27286.903
594.196	27258.215
594.324	27367.387
594.452	27498.753
594.580	27463.946
594.708	27503.011
594.837	27516.409
594.965	27615.548
595.093	27659.344
595.221	27742.527
595.349	27759.484
595.477	27781.645
595.605	27841.462
595.733	27869.849
595.862	27839.290
595.990	27828.914
596.118	27968.355
596.246	28058.269
596.374	27956.548
596.502	28091.602
596.630	28082.914
596.758	28067.774
596.887	28186.247
597.015	28175.355
597.143	28201.548
597.271	28185.785
597.399	28322.484
597.527	28251.258
597.655	28226.817
597.783	28311.914
597.912	28293.452
598.040	28379.452
598.168	28303.527
598.296	28267.925
598.424	28438.645
598.552	28261.699
598.680	28307.258
598.808	28335.710
598.937	28307.505
599.065	28315.043
599.193	28319.086
599.321	28350.978
599.449	28222.495
599.577	28196.849
599.705	28194.151
599.833	28127.387
599.962	28141.462
600.090	28119.699
600.218	28040.043
600.346	28120.441
600.474	28040.409
600.602	28009.151
600.730	27999.312
600.858	28077.323
600.987	28110.591
601.115	28043.849
601.243	28104.387
601.371	28154.968
601.499	28126.237
601.627	28165.151
601.755	28109.785
601.883	28137.763
602.012	27989.613
602.140	28145.097
602.268	28126.968
602.396	28275.366
602.524	28224.796
602.652	28341.398
602.780	28240.677
602.908	28407.505
603.037	28458.763
603.165	28498.677
603.293	28615.860
603.421	28569.989
603.549	28586.140
603.677	28733.032
603.805	28771.796
603.933	28811.978
604.062	28942.462
604.190	29049.376
604.318	29052.355
604.446	29097.591
604.574	29186.075
604.702	29207.839
604.830	29230.710
604.958	29316.355
605.087	29450.839
605.215	29616.828
605.343	29635.172
605.471	29673.914
605.599	29720.946
605.727	29840.258
605.855	29915.978
605.983	30016.645
606.112	30092.796
606.240	30066.656
606.368	30102.892
606.496	30118.570
606.624	30250.935
606.752	30217.882
606.880	30243.280
607.008	30271.882
607.137	30318.828
607.265	30393.903
607.393	30431.839
607.521	30509.978
607.649	30425.817
607.777	30449.613
607.905	30447.828
608.033	30451.258
608.162	30441.409
608.290	30413.398
608.418	30492.667
608.546	30453.817
