sample7h_at_750.00nm_cut_at_1060.50Y_01.dat
19.06.2023
11:10:43
cut middle at Y: 1060.50
top cursor: 1109 down cursor: 1012 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	801.588
586.124	772.845
586.252	775.247
586.380	775.454
586.508	779.299
586.637	774.072
586.765	782.381
586.893	780.454
587.021	794.186
587.149	787.330
587.277	787.093
587.405	787.577
587.533	785.371
587.662	793.526
587.790	799.113
587.918	790.763
588.046	796.505
588.174	794.289
588.302	790.082
588.430	795.866
588.558	790.237
588.687	802.155
588.815	808.753
588.943	809.979
589.071	808.186
589.199	801.082
589.327	808.814
589.455	797.567
589.583	803.155
589.712	804.124
589.840	811.722
589.968	803.381
590.096	804.351
590.224	814.536
590.352	824.196
590.480	820.000
590.608	817.825
590.737	817.557
590.865	821.155
590.993	820.371
591.121	822.381
591.249	821.062
591.377	819.124
591.505	819.629
591.633	819.464
591.762	828.021
591.890	830.103
592.018	831.588
592.146	827.474
592.274	828.155
592.402	827.062
592.530	830.876
592.658	819.557
592.787	833.072
592.915	829.309
593.043	827.216
593.171	830.598
593.299	836.773
593.427	830.175
593.555	831.598
593.683	829.722
593.812	833.268
593.940	830.938
594.068	842.526
594.196	836.990
594.324	836.258
594.452	842.526
594.580	842.165
594.708	844.351
594.837	846.165
594.965	851.072
595.093	842.072
595.221	846.474
595.349	853.938
595.477	840.299
595.605	849.557
595.733	857.062
595.862	854.763
595.990	858.722
596.118	855.990
596.246	862.454
596.374	862.814
596.502	863.371
596.630	864.639
596.758	865.041
596.887	865.000
597.015	870.103
597.143	870.351
597.271	869.021
597.399	867.454
597.527	867.619
597.655	868.856
597.783	871.629
597.912	865.247
598.040	867.845
598.168	872.474
598.296	873.670
598.424	873.309
598.552	867.371
598.680	871.701
598.808	870.866
598.937	877.557
599.065	870.361
599.193	869.309
599.321	867.247
599.449	880.680
599.577	866.722
599.705	869.000
599.833	871.433
599.962	873.588
600.090	866.918
600.218	876.443
600.346	876.639
600.474	875.340
600.602	882.124
600.730	877.701
600.858	875.825
600.987	880.227
601.115	876.052
601.243	880.495
601.371	886.000
601.499	881.412
601.627	883.412
601.755	889.670
601.883	888.433
602.012	891.557
602.140	887.825
602.268	889.062
602.396	889.474
602.524	887.381
602.652	897.495
602.780	899.639
602.908	898.289
603.037	892.887
603.165	909.454
603.293	906.887
603.421	912.371
603.549	909.371
603.677	913.577
603.805	911.330
603.933	924.608
604.062	909.784
604.190	923.990
604.318	917.536
604.446	928.278
604.574	925.701
604.702	932.309
604.830	920.866
604.958	938.495
605.087	938.515
605.215	938.155
605.343	939.680
605.471	957.330
605.599	939.443
605.727	944.629
605.855	951.505
605.983	936.082
606.112	953.515
606.240	960.227
606.368	954.072
606.496	953.907
606.624	947.505
606.752	954.268
606.880	955.320
607.008	955.443
607.137	955.247
607.265	962.928
607.393	964.588
607.521	962.567
607.649	961.897
607.777	961.186
607.905	956.392
608.033	967.258
608.162	956.546
608.290	957.577
608.418	964.309
608.546	966.979
608.674	962.794
608.802	962.495
608.930	965.588
609.058	957.577
609.187	953.206
609.315	958.381
609.443	961.918
609.571	963.948
609.699	957.856
609.827	959.660
609.955	962.546
610.083	962.814
610.212	957.113
610.340	961.000
610.468	956.433
610.596	963.711
610.724	960.010
610.852	950.278
610.980	963.340
611.108	967.753
611.237	960.381
611.365	962.608
611.493	967.845
611.621	964.031
611.749	967.691
611.877	969.309
612.005	963.258
612.133	970.629
612.262	965.093
612.390	965.495
612.518	976.680
612.646	970.794
612.774	960.856
612.902	977.309
613.030	976.876
613.158	970.794
613.287	990.155
613.415	980.412
613.543	988.041
613.671	992.000
613.799	991.454
613.927	981.536
614.055	981.546
614.183	997.000
614.312	986.763
614.440	989.763
614.568	989.680
614.696	993.619
614.824	995.309
614.952	996.990
615.080	997.639
615.208	1001.938
615.337	1006.948
615.465	1002.876
615.593	1011.227
615.721	1009.515
615.849	1015.856
615.977	1004.155
616.105	1000.165
616.233	1006.577
616.362	1002.876
616.490	1011.649
616.618	1007.082
616.746	1014.103
616.874	1007.918
617.002	1017.052
617.130	1022.454
617.258	1011.701
617.387	1012.649
617.515	1015.443
617.643	1008.010
617.771	1012.660
617.899	1014.371
618.027	1011.701
618.155	1018.454
618.283	1013.722
618.412	1016.072
618.540	1021.856
618.668	1024.856
618.796	1014.588
618.924	1027.691
619.052	1022.237
619.180	1027.691
619.308	1028.526
619.437	1020.866
619.565	1023.309
619.693	1021.897
619.821	1029.794
619.949	1029.763
620.077	1024.258
620.205	1039.495
620.333	1025.814
620.462	1030.691
620.590	1039.742
620.718	1029.577
620.846	1038.732
620.974	1040.856
621.102	1033.072
621.230	1029.825
621.358	1031.701
621.487	1031.680
621.615	1029.649
621.743	1034.670
621.871	1035.680
621.999	1031.866
622.127	1035.289
622.255	1027.526
622.383	1037.897
622.512	1033.443
622.640	1031.526
622.768	1029.000
622.896	1027.443
623.024	1033.392
623.152	1039.247
623.280	1034.206
623.408	1033.784
623.537	1037.619
623.665	1032.990
623.793	1037.680
623.921	1031.753
624.049	1041.062
624.177	1035.268
624.305	1035.918
624.433	1033.619
624.562	1030.876
624.690	1033.041
624.818	1030.732
624.946	1040.660
625.074	1032.340
625.202	1034.010
625.330	1030.227
625.458	1034.124
625.587	1026.485
625.715	1030.588
625.843	1019.330
625.971	1028.351
626.099	1027.959
626.227	1036.546
626.355	1022.979
626.483	1036.278
626.612	1034.412
626.740	1029.021
626.868	1042.041
626.996	1035.052
627.124	1032.433
627.252	1024.567
627.380	1038.340
627.508	1029.340
627.637	1029.515
627.765	1028.959
627.893	1034.289
628.021	1025.577
628.149	1025.443
628.277	1040.134
628.405	1038.701
628.533	1032.608
628.662	1021.784
628.790	1034.113
628.918	1029.093
629.046	1031.804
629.174	1028.082
629.302	1030.495
629.430	1034.567
629.558	1035.299
629.687	1029.732
629.815	1027.320
629.943	1038.144
630.071	1031.186
630.199	1034.041
630.327	1023.010
630.455	1029.577
630.583	1036.753
630.712	1040.649
630.840	1033.144
630.968	1045.196
631.096	1043.392
631.224	1029.495
631.352	1027.804
631.480	1025.412
631.608	1037.804
631.737	1028.144
631.865	1047.495
631.993	1034.660
632.121	1041.196
632.249	1033.845
632.377	1048.371
632.505	1037.577
632.633	1033.320
632.762	1040.732
632.890	1041.485
633.018	1039.742
633.146	1035.742
633.274	1032.402
633.402	1028.237
633.530	1032.742
633.658	1036.918
