sample1v_at_750.00nm_cut_at_1200.50Y_01.dat
19.06.2023
10:48:20
cut middle at Y: 1200.50
top cursor: 1249 down cursor: 1152 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	1331.969
586.124	1294.887
586.252	1278.454
586.380	1268.845
586.508	1270.402
586.637	1281.206
586.765	1286.567
586.893	1284.773
587.021	1298.196
587.149	1298.103
587.277	1293.866
587.405	1301.546
587.533	1286.371
587.662	1287.351
587.790	1289.433
587.918	1300.155
588.046	1293.567
588.174	1304.711
588.302	1303.175
588.430	1302.887
588.558	1312.814
588.687	1307.670
588.815	1309.000
588.943	1308.454
589.071	1305.433
589.199	1307.763
589.327	1315.660
589.455	1308.608
589.583	1321.206
589.712	1303.082
589.840	1319.062
589.968	1303.753
590.096	1309.526
590.224	1311.309
590.352	1325.175
590.480	1318.918
590.608	1315.433
590.737	1309.711
590.865	1319.454
590.993	1320.835
591.121	1317.990
591.249	1314.804
591.377	1328.000
591.505	1328.701
591.633	1321.412
591.762	1317.969
591.890	1324.732
592.018	1324.000
592.146	1318.567
592.274	1316.010
592.402	1321.072
592.530	1347.825
592.658	1331.021
592.787	1336.082
592.915	1349.402
593.043	1346.701
593.171	1340.289
593.299	1346.155
593.427	1355.505
593.555	1346.660
593.683	1350.371
593.812	1367.216
593.940	1371.258
594.068	1364.835
594.196	1379.371
594.324	1373.464
594.452	1375.010
594.580	1381.000
594.708	1385.144
594.837	1379.876
594.965	1403.639
595.093	1395.536
595.221	1410.629
595.349	1406.866
595.477	1416.515
595.605	1424.619
595.733	1428.371
595.862	1441.464
595.990	1422.866
596.118	1428.887
596.246	1438.928
596.374	1432.907
596.502	1446.227
596.630	1468.804
596.758	1436.082
596.887	1443.701
597.015	1442.907
597.143	1453.124
597.271	1447.299
597.399	1468.763
597.527	1447.175
597.655	1448.835
597.783	1448.196
597.912	1455.443
598.040	1467.804
598.168	1460.495
598.296	1465.155
598.424	1453.134
598.552	1467.052
598.680	1454.845
598.808	1457.804
598.937	1458.103
599.065	1470.639
599.193	1464.464
599.321	1457.866
599.449	1461.887
599.577	1462.691
599.705	1457.361
599.833	1464.825
599.962	1460.381
600.090	1458.247
600.218	1477.402
600.346	1462.619
600.474	1469.505
600.602	1472.309
600.730	1479.330
600.858	1481.845
600.987	1486.784
601.115	1472.381
601.243	1489.577
601.371	1487.835
601.499	1487.165
601.627	1493.330
601.755	1497.649
601.883	1511.629
602.012	1508.567
602.140	1515.113
602.268	1511.804
602.396	1522.082
602.524	1528.062
602.652	1539.062
602.780	1568.309
602.908	1540.753
603.037	1559.722
603.165	1554.000
603.293	1561.320
603.421	1556.196
603.549	1567.041
603.677	1575.371
603.805	1585.536
603.933	1593.979
604.062	1601.938
604.190	1601.959
604.318	1622.567
604.446	1611.495
604.574	1623.691
604.702	1627.629
604.830	1628.691
604.958	1652.526
605.087	1651.660
605.215	1657.722
605.343	1663.773
605.471	1664.918
605.599	1683.691
605.727	1684.052
605.855	1686.041
605.983	1678.897
606.112	1696.825
606.240	1701.124
606.368	1691.804
606.496	1694.732
606.624	1709.289
606.752	1713.660
606.880	1706.649
607.008	1720.598
607.137	1716.773
607.265	1718.711
607.393	1737.082
607.521	1727.845
607.649	1729.577
607.777	1742.258
607.905	1748.938
608.033	1733.948
608.162	1729.804
608.290	1750.814
608.418	1763.103
608.546	1737.856
608.674	1752.216
608.802	1763.371
608.930	1755.897
609.058	1755.897
609.187	1761.959
609.315	1749.794
609.443	1762.526
609.571	1766.052
609.699	1756.814
609.827	1773.722
609.955	1768.577
610.083	1747.103
610.212	1770.392
610.340	1770.289
610.468	1793.196
610.596	1777.062
610.724	1753.041
610.852	1775.969
610.980	1782.928
611.108	1799.495
611.237	1787.361
611.365	1775.918
611.493	1790.124
611.621	1784.000
611.749	1790.258
611.877	1800.639
612.005	1805.887
612.133	1814.134
612.262	1827.474
612.390	1830.072
612.518	1827.062
612.646	1842.247
612.774	1842.433
612.902	1837.351
613.030	1843.711
613.158	1854.371
613.287	1867.000
613.415	1860.526
613.543	1865.629
613.671	1901.979
613.799	1892.289
613.927	1875.330
614.055	1914.268
614.183	1915.536
614.312	1903.082
614.440	1918.144
614.568	1917.691
614.696	1946.124
614.824	1942.072
614.952	1950.093
615.080	1958.165
615.208	1950.443
615.337	1992.402
615.465	1947.206
615.593	1972.351
615.721	1977.804
615.849	2000.031
615.977	1993.031
616.105	1984.979
616.233	2013.979
616.362	2025.794
616.490	2021.804
616.618	2034.784
616.746	2048.866
616.874	2033.062
617.002	2038.732
617.130	2048.856
617.258	2047.041
617.387	2050.598
617.515	2076.082
617.643	2066.485
617.771	2083.113
617.899	2075.825
618.027	2069.784
618.155	2080.794
618.283	2073.031
618.412	2106.247
618.540	2109.495
618.668	2115.948
618.796	2103.474
618.924	2105.701
619.052	2114.454
619.180	2113.948
619.308	2122.577
619.437	2147.979
619.565	2124.258
619.693	2126.948
619.821	2148.474
619.949	2164.660
620.077	2151.495
620.205	2149.402
620.333	2145.165
620.462	2178.155
620.590	2177.062
620.718	2193.124
620.846	2172.639
620.974	2175.979
621.102	2179.938
621.230	2206.021
621.358	2188.814
621.487	2181.196
621.615	2191.577
621.743	2185.041
621.871	2188.309
621.999	2179.588
622.127	2209.588
622.255	2208.505
622.383	2191.031
622.512	2208.732
622.640	2197.144
622.768	2232.206
622.896	2206.299
623.024	2218.763
623.152	2220.474
623.280	2222.278
623.408	2234.062
623.537	2227.722
623.665	2227.196
623.793	2245.557
623.921	2248.835
624.049	2242.938
624.177	2233.928
624.305	2248.206
624.433	2235.381
624.562	2251.505
624.690	2266.247
624.818	2245.959
624.946	2268.124
625.074	2248.784
625.202	2271.763
625.330	2265.021
625.458	2284.742
625.587	2275.361
625.715	2292.938
625.843	2296.526
625.971	2274.093
626.099	2304.577
626.227	2291.351
626.355	2302.969
626.483	2294.959
626.612	2307.155
626.740	2325.505
626.868	2314.732
626.996	2306.938
627.124	2303.742
627.252	2331.639
627.380	2326.093
627.508	2319.330
627.637	2356.825
627.765	2322.062
627.893	2352.835
628.021	2344.588
628.149	2349.000
628.277	2362.918
628.405	2374.990
628.533	2365.196
628.662	2361.742
628.790	2403.134
628.918	2384.639
629.046	2390.546
629.174	2377.691
629.302	2402.433
629.430	2384.825
629.558	2414.536
629.687	2403.309
629.815	2423.443
629.943	2415.351
630.071	2438.299
630.199	2414.773
630.327	2446.010
630.455	2453.918
630.583	2443.619
630.712	2453.351
630.840	2461.959
630.968	2464.124
631.096	2463.732
631.224	2479.268
631.352	2506.526
631.480	2474.577
631.608	2535.732
631.737	2489.052
631.865	2537.093
631.993	2520.732
632.121	2546.753
632.249	2513.237
632.377	2514.165
632.505	2507.082
632.633	2518.320
632.762	2496.144
632.890	2522.485
633.018	2526.825
633.146	2523.392
633.274	2511.196
633.402	2550.031
633.530	2525.485
633.658	2528.711
633.787	2518.309
633.915	2519.567
634.043	2528.165
634.171	2556.392
634.299	2546.309
634.427	2537.474
634.555	2647.722
634.683	2550.794
634.812	2560.237
634.940	2544.938
635.068	2537.979
635.196	2554.990
635.324	2539.619
635.452	2553.134
635.580	2617.505
635.708	2540.856
635.837	2555.299
635.965	2551.485
636.093	2537.474
636.221	2563.320
636.349	2537.196
636.477	2538.701
636.605	2555.598
636.733	2526.979
636.862	2532.433
636.990	2546.268
637.118	2569.990
637.246	2539.289
637.374	2605.021
637.502	2539.175
637.630	2548.351
637.758	2544.608
637.887	2525.577
638.015	2604.041
638.143	2560.330
638.271	2532.206
638.399	2563.526
638.527	2519.268
638.655	2563.691
638.783	2554.072
638.912	2599.485
639.040	2553.361
639.168	2547.412
639.296	2531.206
639.424	2585.649
639.552	2552.876
639.680	2582.608
639.808	2552.526
639.937	2542.918
640.065	2540.959
640.193	2565.052
640.321	2583.794
640.449	2571.289
640.577	2533.546
640.705	2546.144
640.833	2569.175
640.962	2603.155
641.090	2548.887
641.218	2551.928
641.346	2601.598
641.474	2549.278
641.602	2560.948
641.730	2559.289
641.858	2556.680
641.987	2567.031
642.115	2667.485
642.243	2585.227
642.371	2670.041
642.499	2603.454
642.627	2628.639
642.755	2565.155
642.883	2590.072
643.012	2597.124
643.140	2630.619
643.268	2630.546
643.396	2587.567
643.524	2599.938
643.652	2677.546
643.780	2603.557
643.908	2579.485
644.037	2650.948
644.165	2661.433
644.293	2756.629
644.421	2588.608
644.549	2667.443
644.677	2676.144
644.805	2617.031
644.933	2605.670
645.062	2627.216
645.190	2727.186
645.318	2661.443
645.446	2611.979
645.574	2599.186
645.702	2647.753
645.830	2655.897
645.958	2621.711
646.087	2603.361
646.215	2605.216
646.343	2590.907
646.471	2718.629
646.599	2622.536
646.727	2598.876
646.855	2593.660
646.983	2582.784
647.112	2642.866
647.240	2596.041
647.368	2652.680
647.496	2588.557
647.624	2606.969
647.752	2599.237
647.880	2576.381
648.008	2607.505
648.137	2617.247
648.265	2580.742
648.393	2650.330
648.521	2571.320
648.649	2674.041
648.777	2631.103
648.905	2589.619
649.033	2648.144
649.162	2583.010
649.290	2565.794
649.418	2561.825
649.546	2678.619
649.674	2578.784
649.802	2562.392
649.930	2556.021
650.058	2531.711
650.187	2548.381
650.315	2534.701
650.443	2535.680
650.571	2536.557
650.699	2527.206
650.827	2520.526
650.955	2530.577
651.083	2548.928
651.212	2515.959
651.340	2530.588
651.468	2503.969
651.596	2524.649
651.724	2544.052
651.852	2495.835
651.980	2486.907
652.108	2499.381
652.237	2501.381
652.365	2473.711
652.493	2471.134
652.621	2463.186
652.749	2479.526
652.877	2472.454
653.005	2471.000
653.133	2465.536
653.262	2459.113
653.390	2462.031
653.518	2492.979
653.646	2448.299
653.774	2446.804
653.902	2465.196
654.030	2461.536
654.158	2428.186
654.287	2443.742
654.415	2414.454
654.543	2424.876
654.671	2408.433
654.799	2399.897
654.927	2405.959
655.055	2407.835
655.183	2405.423
655.312	2398.340
655.440	2383.928
655.568	2381.268
655.696	2412.711
655.824	2386.938
655.952	2387.753
656.080	2374.680
656.208	2370.278
656.337	2368.814
656.465	2386.835
656.593	2376.103
