sample14u_at_750.00nm_cut_at_1060.50Y_01.dat
19.06.2023
11:21:23
cut middle at Y: 1060.50
top cursor: 1109 down cursor: 1012 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	1884.031
586.124	1828.309
586.252	1811.670
586.380	1822.351
586.508	1820.845
586.637	1827.041
586.765	1834.763
586.893	1836.423
587.021	1831.722
587.149	1841.495
587.277	1842.619
587.405	1850.856
587.533	1844.515
587.662	1838.763
587.790	1859.856
587.918	1845.753
588.046	1858.598
588.174	1854.928
588.302	1861.155
588.430	1855.814
588.558	1857.773
588.687	1866.165
588.815	1875.165
588.943	1879.361
589.071	1861.732
589.199	1870.010
589.327	1866.784
589.455	1867.247
589.583	1878.918
589.712	1881.361
589.840	1892.742
589.968	1872.423
590.096	1886.804
590.224	1895.567
590.352	1884.072
590.480	1887.309
590.608	1888.588
590.737	1870.701
590.865	1882.608
590.993	1905.433
591.121	1892.340
591.249	1887.495
591.377	1886.309
591.505	1893.289
591.633	1884.979
591.762	1903.897
591.890	1903.289
592.018	1899.392
592.146	1902.629
592.274	1916.897
592.402	1901.876
592.530	1897.670
592.658	1896.753
592.787	1908.918
592.915	1923.052
593.043	1916.196
593.171	1909.000
593.299	1930.814
593.427	1908.948
593.555	1924.753
593.683	1926.608
593.812	1932.485
593.940	1954.897
594.068	1938.289
594.196	1959.021
594.324	1954.124
594.452	1970.660
594.580	1960.742
594.708	1969.216
594.837	1957.175
594.965	1973.093
595.093	1982.010
595.221	1973.763
595.349	1972.124
595.477	1981.113
595.605	1982.010
595.733	2023.134
595.862	2008.763
595.990	1996.381
596.118	2008.804
596.246	2009.113
596.374	2010.526
596.502	2031.928
596.630	2029.216
596.758	2018.113
596.887	2027.402
597.015	2037.784
597.143	2020.567
597.271	2019.454
597.399	2042.649
597.527	2036.392
597.655	2029.216
597.783	2041.948
597.912	2031.546
598.040	2059.649
598.168	2049.103
598.296	2029.227
598.424	2016.000
598.552	2030.247
598.680	2019.454
598.808	2021.856
598.937	2057.196
599.065	2049.402
599.193	2024.124
599.321	2011.701
599.449	2045.959
599.577	2031.175
599.705	2038.021
599.833	2033.371
599.962	2023.742
600.090	2046.918
600.218	2030.485
600.346	2032.175
600.474	2037.113
600.602	2042.144
600.730	2041.268
600.858	2048.608
600.987	2039.887
601.115	2026.031
601.243	2040.268
601.371	2052.887
601.499	2045.124
601.627	2050.175
601.755	2071.227
601.883	2068.990
602.012	2059.474
602.140	2071.289
602.268	2073.052
602.396	2092.979
602.524	2082.732
602.652	2091.845
602.780	2108.031
602.908	2109.680
603.037	2120.979
603.165	2111.732
603.293	2124.835
603.421	2132.897
603.549	2130.907
603.677	2151.155
603.805	2146.155
603.933	2163.845
604.062	2156.546
604.190	2172.196
604.318	2171.351
604.446	2179.928
604.574	2171.278
604.702	2199.639
604.830	2190.289
604.958	2210.567
605.087	2234.010
605.215	2220.062
605.343	2226.959
605.471	2245.124
605.599	2232.155
605.727	2241.763
605.855	2231.093
605.983	2246.124
606.112	2262.856
606.240	2272.093
606.368	2274.309
606.496	2267.165
606.624	2265.928
606.752	2259.299
606.880	2271.320
607.008	2291.412
607.137	2292.691
607.265	2262.402
607.393	2296.165
607.521	2273.237
607.649	2266.144
607.777	2277.763
607.905	2288.247
608.033	2286.237
608.162	2272.309
608.290	2295.670
608.418	2298.196
608.546	2280.794
608.674	2294.474
608.802	2276.289
608.930	2278.722
609.058	2285.052
609.187	2280.072
609.315	2293.608
609.443	2278.598
609.571	2296.330
609.699	2285.227
609.827	2283.433
609.955	2286.134
610.083	2277.680
610.212	2268.938
610.340	2292.546
610.468	2291.670
610.596	2300.155
610.724	2284.175
610.852	2288.588
610.980	2289.000
611.108	2289.299
611.237	2296.526
611.365	2292.010
611.493	2295.000
611.621	2291.082
611.749	2311.660
611.877	2319.711
612.005	2322.433
612.133	2293.835
612.262	2308.340
612.390	2324.577
612.518	2341.753
612.646	2333.237
612.774	2324.258
612.902	2344.072
613.030	2341.320
613.158	2340.546
613.287	2356.289
613.415	2350.866
613.543	2364.598
613.671	2360.041
613.799	2359.454
613.927	2374.804
614.055	2394.186
614.183	2416.278
614.312	2368.577
614.440	2410.082
614.568	2399.918
614.696	2406.567
614.824	2435.443
614.952	2431.268
615.080	2414.691
615.208	2420.742
615.337	2434.794
615.465	2445.196
615.593	2431.134
615.721	2448.918
615.849	2453.619
615.977	2454.371
616.105	2453.701
616.233	2447.237
616.362	2472.959
616.490	2457.784
616.618	2460.309
616.746	2482.371
616.874	2500.320
617.002	2488.175
617.130	2502.433
617.258	2518.371
617.387	2475.454
617.515	2479.196
617.643	2474.526
617.771	2503.814
617.899	2489.897
618.027	2470.165
618.155	2530.454
618.283	2472.979
618.412	2495.340
618.540	2535.134
618.668	2515.577
618.796	2495.041
618.924	2555.866
619.052	2496.907
619.180	2501.629
619.308	2525.918
619.437	2512.381
619.565	2515.113
619.693	2504.340
619.821	2529.763
