dark_at_750.00nm_cut_at_1060.50Y_01.dat
19.06.2023
11:25:49
cut middle at Y: 1060.50
top cursor: 1109 down cursor: 1012 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	103.567
586.124	103.052
586.252	102.897
586.380	103.216
586.508	103.866
586.637	104.340
586.765	103.804
586.893	103.887
587.021	103.505
587.149	103.381
587.277	103.701
587.405	103.784
587.533	103.526
587.662	102.856
587.790	102.753
587.918	102.485
588.046	102.546
588.174	103.309
588.302	103.959
588.430	103.814
588.558	103.639
588.687	103.588
588.815	104.010
588.943	104.351
589.071	104.320
589.199	103.495
589.327	103.093
589.455	102.969
589.583	104.041
589.712	103.134
589.840	104.052
589.968	103.247
590.096	104.082
590.224	103.052
590.352	104.113
590.480	102.649
590.608	102.443
590.737	104.031
590.865	103.629
590.993	104.113
591.121	102.639
591.249	102.670
591.377	102.299
591.505	103.794
591.633	103.402
591.762	103.113
591.890	103.175
592.018	104.052
592.146	102.845
592.274	103.196
592.402	104.289
592.530	104.216
592.658	103.979
592.787	104.021
592.915	103.227
593.043	102.289
593.171	103.268
593.299	102.876
593.427	103.814
593.555	102.763
593.683	103.464
593.812	103.021
593.940	101.938
594.068	102.814
594.196	102.103
594.324	103.701
594.452	102.309
594.580	104.134
594.708	104.546
594.837	103.340
594.965	103.639
595.093	104.144
595.221	104.320
595.349	104.165
595.477	103.763
595.605	103.227
595.733	102.876
595.862	104.175
595.990	103.082
596.118	104.113
596.246	102.804
596.374	105.021
596.502	103.464
596.630	102.804
596.758	102.412
596.887	102.876
597.015	102.577
597.143	103.773
597.271	102.041
597.399	101.711
597.527	102.237
597.655	101.392
597.783	102.866
597.912	102.557
598.040	103.289
598.168	103.206
598.296	102.928
598.424	103.216
598.552	102.598
598.680	101.742
598.808	101.959
598.937	102.134
599.065	104.443
599.193	103.784
599.321	102.237
599.449	101.299
599.577	103.515
599.705	104.526
599.833	102.619
599.962	102.485
600.090	102.278
600.218	101.608
600.346	102.443
600.474	102.351
600.602	102.753
600.730	102.619
600.858	103.732
600.987	103.876
601.115	103.753
601.243	103.660
601.371	102.237
601.499	103.113
601.627	101.990
601.755	102.753
601.883	102.485
602.012	102.588
602.140	101.320
602.268	102.608
602.396	101.876
602.524	103.175
602.652	103.392
602.780	102.804
602.908	101.598
603.037	101.928
603.165	101.474
603.293	103.072
603.421	102.856
603.549	101.619
603.677	102.237
603.805	102.052
603.933	101.969
604.062	102.814
604.190	103.134
604.318	103.351
604.446	103.381
604.574	103.299
604.702	101.990
604.830	103.567
604.958	102.320
605.087	102.052
605.215	102.216
605.343	103.206
605.471	102.825
605.599	102.557
605.727	102.979
605.855	103.144
605.983	103.113
606.112	102.186
606.240	103.701
606.368	103.526
606.496	103.258
606.624	101.897
606.752	102.928
606.880	102.216
607.008	102.866
607.137	103.485
607.265	101.619
607.393	102.918
607.521	102.701
607.649	102.598
607.777	102.608
607.905	102.082
608.033	103.082
608.162	102.742
608.290	101.392
608.418	102.031
608.546	101.309
608.674	101.619
608.802	103.196
608.930	102.598
609.058	103.031
609.187	102.691
609.315	102.639
609.443	101.701
609.571	102.309
609.699	102.000
609.827	102.412
609.955	102.412
610.083	102.134
610.212	102.680
610.340	102.021
610.468	101.247
610.596	103.010
610.724	103.464
610.852	102.361
610.980	103.021
611.108	101.969
611.237	102.031
611.365	102.433
611.493	103.433
611.621	102.474
611.749	101.557
611.877	102.093
612.005	102.186
612.133	102.443
612.262	101.753
612.390	102.381
612.518	103.052
612.646	103.959
612.774	101.979
612.902	104.268
613.030	102.072
613.158	102.021
613.287	101.598
613.415	102.979
613.543	103.845
613.671	102.608
613.799	101.804
613.927	103.258
614.055	102.784
614.183	101.866
614.312	103.371
614.440	103.639
614.568	101.515
614.696	101.567
614.824	101.340
614.952	101.680
615.080	101.835
615.208	101.814
615.337	101.763
615.465	102.000
615.593	101.113
615.721	101.639
615.849	102.969
615.977	102.227
616.105	102.577
616.233	103.876
616.362	100.794
616.490	102.866
616.618	101.825
616.746	101.691
616.874	101.577
617.002	100.763
617.130	102.134
617.258	101.072
617.387	102.381
617.515	102.763
617.643	101.155
617.771	102.021
617.899	102.526
618.027	101.402
618.155	100.814
618.283	101.608
618.412	101.515
618.540	102.134
618.668	101.969
618.796	103.309
618.924	104.588
619.052	101.763
619.180	102.216
619.308	102.948
619.437	102.588
619.565	101.598
619.693	101.454
619.821	100.711
619.949	100.990
620.077	101.897
620.205	102.876
620.333	101.608
620.462	101.567
620.590	101.515
620.718	100.082
620.846	102.526
620.974	100.268
621.102	101.887
621.230	102.093
621.358	101.474
621.487	100.969
621.615	101.598
621.743	101.278
621.871	102.134
621.999	102.629
622.127	100.124
622.255	101.309
622.383	100.113
622.512	100.412
622.640	101.773
622.768	101.722
