whiteh_at_750.00nm_cut_at_1060.50Y_01.dat
19.06.2023
11:25:20
cut middle at Y: 1060.50
top cursor: 1109 down cursor: 1012 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	720.381
586.124	699.660
586.252	696.804
586.380	700.670
586.508	703.062
586.637	698.082
586.765	704.598
586.893	695.237
587.021	712.711
587.149	706.134
587.277	708.598
587.405	708.567
587.533	706.680
587.662	715.577
587.790	716.186
587.918	711.526
588.046	715.835
588.174	715.866
588.302	722.247
588.430	715.237
588.558	717.320
588.687	720.155
588.815	728.093
588.943	731.670
589.071	718.691
589.199	724.361
589.327	727.402
589.455	723.021
589.583	720.196
589.712	724.258
589.840	729.206
589.968	732.258
590.096	729.423
590.224	738.196
590.352	729.835
590.480	727.330
590.608	736.485
590.737	733.804
590.865	734.144
590.993	740.433
591.121	731.144
591.249	736.526
591.377	739.031
591.505	737.144
591.633	735.330
591.762	742.433
591.890	743.742
592.018	742.629
592.146	731.402
592.274	746.206
592.402	739.423
592.530	735.175
592.658	745.979
592.787	738.072
592.915	744.330
593.043	741.629
593.171	742.072
593.299	751.928
593.427	744.608
593.555	745.701
593.683	738.464
593.812	743.113
593.940	751.155
594.068	744.505
594.196	748.155
594.324	743.485
594.452	758.144
594.580	758.371
594.708	750.134
594.837	758.072
594.965	753.979
595.093	751.351
595.221	754.948
595.349	760.918
595.477	759.784
595.605	752.351
595.733	767.680
595.862	763.433
595.990	756.598
596.118	757.289
596.246	767.052
596.374	754.876
596.502	765.113
596.630	762.938
596.758	766.278
596.887	770.763
597.015	775.124
597.143	762.577
597.271	761.598
597.399	769.031
597.527	772.918
597.655	778.216
597.783	775.052
597.912	765.701
598.040	774.278
598.168	775.227
598.296	769.938
598.424	767.897
598.552	774.361
598.680	767.340
598.808	770.062
598.937	786.361
599.065	776.340
599.193	775.165
599.321	767.680
599.449	769.897
599.577	772.557
599.705	773.278
599.833	774.505
599.962	769.691
600.090	774.722
600.218	770.711
600.346	774.990
600.474	770.103
600.602	775.876
600.730	768.227
600.858	773.206
600.987	776.289
601.115	776.866
601.243	775.577
601.371	772.742
601.499	777.938
601.627	784.711
601.755	779.649
601.883	777.309
602.012	789.763
602.140	784.443
602.268	785.031
602.396	785.258
602.524	791.196
602.652	788.381
602.780	791.454
602.908	786.515
603.037	792.082
603.165	794.938
603.293	802.629
603.421	797.186
603.549	798.567
603.677	804.495
603.805	798.835
603.933	808.165
604.062	797.691
604.190	811.454
604.318	810.794
604.446	808.887
604.574	811.691
604.702	807.278
604.830	815.856
604.958	818.701
605.087	818.598
605.215	821.722
605.343	823.412
605.471	829.577
605.599	820.505
605.727	827.804
605.855	825.577
605.983	821.845
606.112	835.598
606.240	837.392
606.368	832.753
606.496	839.495
