whitev_at_750.00nm_cut_at_1060.50Y_01.dat
19.06.2023
11:25:31
cut middle at Y: 1060.50
top cursor: 1109 down cursor: 1012 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	629.206
586.124	604.557
586.252	605.031
586.380	600.464
586.508	604.598
586.637	604.381
586.765	604.371
586.893	602.412
587.021	602.979
587.149	603.804
587.277	602.990
587.405	603.845
587.533	599.206
587.662	607.753
587.790	609.268
587.918	602.722
588.046	608.175
588.174	601.546
588.302	608.289
588.430	605.113
588.558	605.825
588.687	607.897
588.815	616.175
588.943	606.144
589.071	604.732
589.199	608.722
589.327	602.258
589.455	601.144
589.583	607.258
589.712	613.237
589.840	606.649
589.968	594.505
590.096	604.072
590.224	601.608
590.352	604.938
590.480	601.010
590.608	607.258
590.737	594.381
590.865	606.237
590.993	605.010
591.121	597.485
591.249	606.082
591.377	593.247
591.505	598.804
591.633	597.948
591.762	601.103
591.890	605.443
592.018	602.000
592.146	598.495
592.274	601.773
592.402	597.763
592.530	596.557
592.658	595.784
592.787	595.897
592.915	599.722
593.043	604.567
593.171	592.082
593.299	600.784
593.427	598.330
593.555	599.866
593.683	598.773
593.812	601.093
593.940	606.381
594.068	598.979
594.196	611.897
594.324	599.247
594.452	610.485
594.580	613.680
594.708	607.990
594.837	608.979
594.965	610.371
595.093	611.948
595.221	612.433
595.349	617.392
595.477	614.340
595.605	612.320
595.733	627.258
595.862	618.186
595.990	617.969
596.118	622.340
596.246	622.856
596.374	618.619
596.502	613.124
596.630	625.392
596.758	621.557
596.887	626.237
597.015	626.330
597.143	616.794
597.271	624.165
597.399	619.608
597.527	623.691
597.655	621.216
597.783	624.629
597.912	618.361
598.040	621.227
598.168	619.165
598.296	619.598
598.424	616.526
598.552	607.691
598.680	614.072
598.808	619.990
598.937	615.515
599.065	617.598
599.193	611.804
599.321	608.165
599.449	615.278
599.577	619.454
599.705	616.732
599.833	616.649
599.962	609.072
600.090	602.680
600.218	612.010
600.346	613.072
600.474	608.144
600.602	610.000
600.730	606.691
600.858	612.784
600.987	607.536
601.115	610.278
601.243	610.227
601.371	612.443
601.499	609.835
601.627	608.784
601.755	613.309
601.883	616.000
602.012	614.753
602.140	610.701
602.268	612.629
602.396	617.361
602.524	620.031
602.652	620.784
602.780	616.536
602.908	628.742
603.037	625.546
603.165	626.938
603.293	625.515
603.421	630.134
603.549	625.402
603.677	631.485
603.805	625.443
603.933	634.309
604.062	633.598
604.190	642.454
604.318	636.062
604.446	648.804
604.574	643.124
604.702	645.495
604.830	644.485
604.958	649.918
605.087	647.608
605.215	650.381
605.343	650.546
605.471	672.897
605.599	650.309
605.727	649.887
605.855	651.722
605.983	655.010
606.112	659.907
606.240	665.485
606.368	657.196
606.496	655.485
606.624	654.433
606.752	662.887
606.880	660.062
607.008	658.278
607.137	658.557
607.265	665.124
607.393	668.206
607.521	660.454
607.649	659.763
607.777	664.990
607.905	660.103
608.033	656.515
608.162	655.227
608.290	657.371
608.418	669.835
608.546	660.753
608.674	659.474
608.802	655.639
608.930	666.165
609.058	656.454
609.187	657.680
609.315	663.299
609.443	653.186
609.571	662.732
609.699	659.866
609.827	654.670
609.955	656.412
610.083	651.495
610.212	645.247
610.340	655.567
610.468	651.186
610.596	653.495
610.724	649.979
610.852	657.784
610.980	648.093
611.108	651.546
611.237	651.082
611.365	653.258
611.493	642.351
611.621	651.144
611.749	653.268
611.877	652.598
612.005	652.402
612.133	651.443
612.262	651.608
612.390	654.660
612.518	659.845
612.646	655.155
612.774	654.660
612.902	666.619
613.030	665.186
613.158	660.443
613.287	659.845
613.415	662.598
613.543	670.340
613.671	661.866
613.799	664.619
613.927	671.443
614.055	671.866
614.183	673.371
614.312	668.216
614.440	669.732
614.568	674.309
614.696	671.041
614.824	672.907
614.952	680.093
615.080	680.237
615.208	678.897
615.337	685.412
615.465	670.113
615.593	684.216
615.721	679.392
615.849	688.289
615.977	687.619
616.105	679.227
616.233	686.392
616.362	692.010
616.490	680.196
616.618	689.041
616.746	685.959
616.874	677.866
617.002	690.052
617.130	693.320
617.258	686.371
617.387	683.443
617.515	686.299
617.643	685.031
617.771	690.660
617.899	693.495
618.027	682.856
618.155	690.052
618.283	685.804
618.412	693.175
618.540	686.206
618.668	685.227
618.796	688.753
618.924	698.474
619.052	685.753
619.180	687.247
619.308	687.485
619.437	686.835
619.565	696.392
619.693	681.845
619.821	686.361
619.949	690.948
620.077	683.237
620.205	684.186
620.333	683.103
620.462	694.505
620.590	692.639
620.718	688.361
620.846	686.412
620.974	683.082
621.102	679.773
621.230	686.124
621.358	687.299
621.487	684.474
621.615	686.041
621.743	691.588
621.871	684.856
621.999	683.371
622.127	684.649
622.255	686.299
622.383	678.794
622.512	678.113
622.640	678.948
622.768	681.392
622.896	685.691
623.024	675.990
623.152	684.351
623.280	679.907
623.408	680.722
623.537	680.175
623.665	681.454
623.793	683.196
623.921	679.155
624.049	667.464
624.177	675.144
624.305	683.784
624.433	681.979
624.562	674.124
624.690	668.928
624.818	676.577
624.946	674.959
625.074	675.206
625.202	671.247
625.330	671.216
625.458	676.794
625.587	675.639
625.715	666.835
625.843	673.948
625.971	677.299
626.099	672.773
626.227	678.928
626.355	672.959
626.483	678.536
626.612	669.433
626.740	669.526
626.868	675.835
626.996	672.330
627.124	677.299
627.252	676.402
627.380	671.897
627.508	669.062
627.637	668.784
627.765	667.722
627.893	679.330
628.021	670.979
628.149	676.299
628.277	684.289
628.405	681.206
628.533	677.722
628.662	676.485
628.790	679.103
628.918	676.670
629.046	678.227
629.174	677.598
629.302	680.031
629.430	684.134
629.558	682.113
629.687	683.454
629.815	684.320
629.943	674.392
630.071	683.361
630.199	682.062
630.327	687.381
630.455	684.423
630.583	685.082
630.712	684.680
630.840	681.670
630.968	685.629
631.096	688.495
631.224	682.979
631.352	681.742
631.480	685.701
631.608	677.546
631.737	693.010
631.865	688.928
631.993	685.124
632.121	681.454
632.249	682.763
632.377	684.206
632.505	686.258
632.633	681.206
632.762	682.247
632.890	690.402
633.018	681.732
633.146	676.464
633.274	688.113
633.402	676.629
633.530	678.371
633.658	688.093
633.787	671.000
633.915	677.021
634.043	676.247
634.171	674.866
634.299	679.918
634.427	670.990
634.555	670.763
634.683	681.670
634.812	668.959
634.940	671.206
635.068	667.825
635.196	667.876
635.324	666.918
635.452	664.165
635.580	665.041
635.708	661.938
635.837	669.330
635.965	665.237
636.093	657.062
636.221	660.258
636.349	651.134
636.477	653.062
636.605	654.577
636.733	652.495
636.862	649.897
636.990	656.608
637.118	649.990
637.246	645.557
637.374	650.361
637.502	649.134
637.630	648.371
637.758	642.753
637.887	648.711
638.015	642.155
638.143	654.639
638.271	638.052
638.399	640.546
638.527	638.546
638.655	641.402
638.783	640.186
638.912	643.443
639.040	638.722
639.168	635.856
639.296	640.412
639.424	643.175
639.552	633.742
639.680	630.474
639.808	636.701
639.937	638.732
640.065	630.835
640.193	634.258
640.321	636.186
640.449	629.856
640.577	639.402
640.705	627.722
640.833	631.010
640.962	632.258
641.090	628.680
641.218	633.320
641.346	617.948
641.474	624.753
641.602	631.526
641.730	624.052
641.858	629.175
641.987	627.010
642.115	624.433
642.243	626.278
642.371	629.691
642.499	631.196
642.627	629.072
642.755	622.938
642.883	629.794
643.012	619.814
643.140	617.227
643.268	626.619
643.396	626.371
643.524	629.825
643.652	627.856
643.780	623.392
643.908	624.680
644.037	623.866
644.165	625.732
644.293	617.196
644.421	623.340
644.549	621.412
644.677	629.856
644.805	622.021
644.933	622.103
645.062	620.804
645.190	618.031
645.318	619.784
645.446	630.330
645.574	620.299
645.702	628.175
645.830	632.969
645.958	627.649
646.087	621.938
646.215	622.825
646.343	625.247
646.471	624.165
646.599	625.557
646.727	622.392
646.855	621.763
646.983	623.753
647.112	622.660
647.240	619.732
647.368	612.979
647.496	622.928
647.624	614.361
647.752	616.835
647.880	611.959
648.008	616.505
648.137	610.546
648.265	607.206
648.393	610.464
648.521	615.010
648.649	611.928
648.777	606.866
648.905	605.660
649.033	599.814
649.162	602.144
649.290	605.134
649.418	598.412
649.546	602.103
649.674	593.773
649.802	599.608
649.930	594.227
650.058	592.649
650.187	600.392
650.315	598.763
650.443	591.268
650.571	593.680
650.699	592.443
650.827	596.536
650.955	591.876
651.083	591.969
651.212	583.278
651.340	587.763
651.468	584.598
651.596	584.371
651.724	588.897
651.852	578.722
651.980	580.660
652.108	587.093
652.237	579.804
652.365	576.124
652.493	575.866
652.621	572.660
652.749	577.485
652.877	575.361
653.005	570.938
653.133	584.165
653.262	573.041
653.390	574.041
653.518	567.433
653.646	570.134
653.774	574.577
653.902	572.423
654.030	562.258
654.158	558.381
654.287	562.072
654.415	562.247
654.543	558.082
654.671	558.474
654.799	556.072
654.927	559.278
655.055	553.278
655.183	554.330
655.312	551.918
655.440	553.000
655.568	540.680
655.696	550.959
655.824	546.041
655.952	546.711
656.080	548.794
656.208	547.082
656.337	547.351
656.465	549.959
656.593	545.505
656.721	539.897
656.849	547.577
656.977	543.258
657.105	540.515
657.233	541.031
657.362	534.103
657.490	540.299
657.618	539.969
657.746	540.289
657.874	534.557
658.002	536.021
658.130	527.938
658.258	531.526
658.387	529.619
658.515	518.784
658.643	525.361
658.771	530.443
658.899	521.062
659.027	527.546
659.155	522.454
659.283	523.144
659.412	517.938
659.540	525.340
659.668	525.619
659.796	513.309
659.924	524.680
660.052	516.082
660.180	506.598
660.308	518.526
660.437	510.763
660.565	503.763
660.693	512.711
660.821	510.103
660.949	502.330
661.077	501.515
661.205	502.206
661.333	503.423
661.462	509.361
661.590	507.165
661.718	495.320
661.846	499.814
661.974	501.897
662.102	498.701
662.230	498.433
662.358	498.990
662.487	492.031
662.615	491.732
662.743	489.278
662.871	493.031
662.999	492.649
663.127	495.361
663.255	486.948
663.383	488.320
663.512	488.381
663.640	486.216
663.768	491.505
663.896	487.928
664.024	484.381
664.152	485.412
664.280	484.948
664.408	483.948
664.537	484.588
664.665	486.598
664.793	486.649
664.921	479.330
665.049	485.557
665.177	487.670
665.305	479.866
665.433	482.495
665.562	483.258
665.690	479.515
665.818	478.701
665.946	475.237
666.074	475.639
666.202	479.804
666.330	473.928
666.458	471.464
666.587	479.216
666.715	481.887
666.843	479.639
666.971	469.876
667.099	475.371
667.227	475.412
667.355	474.072
667.483	477.938
667.612	474.165
667.740	472.320
667.868	472.897
667.996	466.567
668.124	471.361
668.252	470.340
668.380	467.856
668.508	476.216
668.637	468.567
668.765	470.660
668.893	468.691
669.021	468.588
669.149	466.711
669.277	463.794
669.405	466.742
669.533	460.309
669.662	461.330
669.790	457.918
669.918	458.639
670.046	459.619
670.174	461.103
670.302	463.742
670.430	456.773
670.558	458.515
670.687	454.247
670.815	451.845
670.943	450.825
671.071	455.072
671.199	451.608
671.327	446.959
671.455	451.351
671.583	450.794
671.712	450.732
671.840	447.680
671.968	443.227
672.096	447.144
672.224	445.763
672.352	439.825
672.480	445.577
672.608	438.763
672.737	438.979
672.865	435.814
672.993	437.278
673.121	439.588
673.249	436.000
673.377	434.773
673.505	430.948
673.633	424.608
673.762	426.979
673.890	430.546
674.018	421.289
674.146	423.330
674.274	422.093
674.402	420.371
674.530	422.196
674.658	423.052
674.787	419.423
674.915	414.474
675.043	417.464
675.171	412.515
675.299	406.000
675.427	408.000
675.555	406.423
675.683	405.041
675.812	406.680
675.940	405.330
676.068	403.464
676.196	400.113
676.324	403.887
676.452	404.485
676.580	399.680
676.708	394.835
676.837	400.948
676.965	393.175
677.093	398.856
677.221	394.732
677.349	389.093
677.477	393.278
677.605	391.340
677.733	393.814
677.862	389.103
677.990	389.577
678.118	389.258
678.246	384.371
678.374	376.835
678.502	383.763
678.630	384.361
678.758	386.196
678.887	378.660
679.015	380.124
679.143	378.515
679.271	370.567
679.399	378.381
679.527	374.433
679.655	373.423
679.783	372.423
679.912	368.485
680.040	370.938
680.168	370.299
680.296	367.381
680.424	372.320
680.552	364.165
680.680	367.485
680.808	364.320
680.937	364.041
681.065	363.258
681.193	365.835
681.321	364.309
681.449	364.093
681.577	362.216
681.705	357.381
681.833	358.340
681.962	359.928
682.090	362.784
682.218	360.557
682.346	354.928
682.474	352.247
682.602	355.732
682.730	360.598
682.858	351.876
682.987	352.526
683.115	352.010
683.243	352.227
683.371	351.082
683.499	345.144
683.627	353.227
683.755	347.330
683.883	351.371
684.012	347.495
684.140	346.330
684.268	344.876
684.396	346.918
684.524	342.402
684.652	347.649
684.780	351.062
684.908	346.876
685.037	349.247
685.165	344.948
685.293	349.619
685.421	342.186
685.549	343.227
685.677	343.753
685.805	342.866
685.933	342.371
686.062	342.856
686.190	340.876
686.318	341.247
686.446	342.227
686.574	341.062
686.702	341.443
686.830	340.196
686.958	338.175
687.087	337.196
687.215	336.598
687.343	338.464
687.471	341.649
687.599	340.258
687.727	340.103
687.855	338.887
687.983	338.691
688.112	335.711
688.240	325.639
688.368	335.629
688.496	333.825
688.624	336.660
688.752	330.598
688.880	331.505
689.008	326.866
689.137	331.701
689.265	333.443
689.393	327.309
689.521	329.103
689.649	331.299
689.777	326.742
689.905	327.928
690.033	330.340
690.162	324.784
690.290	321.629
690.418	328.268
690.546	326.412
690.674	324.845
690.802	319.897
690.930	318.082
691.058	320.093
691.187	317.299
691.315	319.577
691.443	320.794
691.571	317.845
691.699	312.670
691.827	317.907
691.955	311.680
692.083	316.701
692.212	313.794
692.340	319.103
692.468	314.918
692.596	314.155
692.724	315.474
692.852	312.093
692.980	307.722
693.108	308.639
693.237	312.546
693.365	309.381
693.493	306.990
693.621	306.732
693.749	307.155
693.877	309.639
694.005	303.196
694.133	303.876
694.262	300.990
694.390	302.186
694.518	297.330
694.646	298.722
694.774	299.557
694.902	301.680
695.030	300.990
695.158	297.124
695.287	295.000
695.415	296.649
695.543	301.804
695.671	298.052
695.799	292.010
695.927	289.866
696.055	292.227
696.183	295.732
696.312	295.959
696.440	294.505
696.568	292.320
696.696	291.443
696.824	286.763
696.952	284.340
697.080	287.887
697.208	292.381
697.337	290.969
697.465	284.577
697.593	286.763
697.721	285.454
697.849	285.464
697.977	284.515
698.105	284.866
698.233	284.227
698.362	278.897
698.490	283.124
698.618	280.485
698.746	275.856
698.874	277.577
699.002	282.320
699.130	278.216
699.258	280.237
699.387	278.835
699.515	279.907
699.643	275.784
699.771	276.062
699.899	274.526
700.027	275.505
