lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
585.996,1554.093,103.567,3235.371,3227.402,3116.351,2075.474,1965.216,1999.175,1996.124,2132.887,2324.021,2031.155,1776.969,1879.825,1771.546,1884.031,1840.515,2049.412
586.124,1505.423,103.052,3117.433,3130.01,2987.639,2013.928,1908.608,1935.742,1922.979,2066.041,2250.732,1965.381,1710.0,1832.588,1721.753,1828.309,1801.598,1964.856
586.252,1493.577,102.897,3090.876,3091.34,2966.021,2004.928,1893.515,1932.206,1911.144,2047.34,2236.928,1964.289,1718.546,1813.474,1724.99,1811.67,1780.691,1954.639
586.38,1498.959,103.216,3122.134,3112.608,2997.392,2001.278,1896.866,1936.629,1915.186,2054.258,2238.01,1963.299,1710.392,1816.794,1719.186,1822.351,1771.34,1962.515
586.508,1492.753,103.866,3124.216,3121.258,2981.34,2008.134,1902.66,1926.247,1920.289,2045.34,2247.515,1962.835,1709.485,1814.495,1720.124,1820.845,1784.691,1967.639
586.637,1506.093,104.34,3151.0,3169.227,3034.619,1998.072,1908.598,1930.371,1921.041,2067.433,2248.536,1982.134,1718.876,1825.959,1727.165,1827.041,1794.794,1971.784
586.765,1500.021,103.804,3102.876,3103.454,2981.856,2004.536,1919.608,1930.608,1934.196,2062.979,2269.072,1986.371,1719.773,1825.485,1730.546,1834.763,1796.062,1958.68
586.893,1503.845,103.887,3117.351,3118.474,3005.505,2013.247,1904.052,1949.495,1933.34,2067.753,2258.206,1992.629,1722.557,1823.68,1732.619,1836.423,1796.052,1974.216
587.021,1507.701,103.505,3189.01,3180.753,3038.443,2030.876,1917.66,1949.979,1925.866,2086.649,2278.124,1999.351,1725.072,1837.268,1739.031,1831.722,1809.495,1987.814
587.149,1513.629,103.381,3119.412,3110.021,2975.588,2026.227,1931.608,1961.66,1944.722,2084.598,2293.546,1989.165,1737.546,1831.866,1732.876,1841.495,1799.608,1981.371
587.277,1517.01,103.701,3121.856,3123.856,3003.155,2026.392,1926.289,1956.67,1940.474,2089.969,2304.186,1995.928,1734.979,1825.557,1725.031,1842.619,1796.629,1982.505
587.405,1515.299,103.784,3128.608,3132.423,3008.814,2027.443,1930.361,1962.299,1947.402,2099.948,2313.773,2012.351,1746.093,1858.361,1736.113,1850.856,1806.381,1988.464
587.533,1498.804,103.526,3154.68,3173.557,3035.33,2018.66,1939.392,1947.649,1932.34,2079.0,2290.804,2002.536,1729.0,1834.041,1724.835,1844.515,1791.515,1978.711
587.662,1513.021,102.856,3221.258,3219.495,3118.443,2042.742,1933.546,1950.546,1947.711,2093.526,2301.443,2016.608,1731.155,1848.392,1742.948,1838.763,1807.093,1997.577
587.79,1513.928,102.753,3166.186,3164.619,3055.227,2040.907,1949.351,1982.742,1954.66,2108.186,2324.402,2022.464,1735.577,1848.959,1739.701,1859.856,1800.32,1997.165
587.918,1508.093,102.485,3169.072,3165.371,3056.031,2041.918,1943.34,1968.361,1949.227,2100.887,2320.845,2021.33,1746.021,1842.124,1749.34,1845.753,1790.567,1988.206
588.046,1517.443,102.546,3144.68,3141.918,3023.299,2035.897,1934.639,1973.144,1956.577,2106.34,2307.443,2034.649,1740.196,1841.897,1748.691,1858.598,1802.866,1999.804
588.174,1523.722,103.309,3167.052,3167.928,3053.165,2039.206,1941.402,1973.412,1957.247,2099.598,2315.361,2027.691,1752.948,1843.948,1758.361,1854.928,1804.309,1998.227
588.302,1522.021,103.959,3168.041,3155.237,3019.608,2050.68,1941.784,1977.536,1963.711,2108.536,2330.794,2034.443,1742.897,1846.619,1751.237,1861.155,1811.216,1998.515
588.43,1516.67,103.814,3155.845,3131.773,3005.351,2031.804,1944.175,1973.835,1955.67,2095.784,2331.258,2029.773,1739.814,1846.155,1748.567,1855.814,1814.835,1991.608
588.558,1518.175,103.639,3192.0,3185.392,3072.536,2048.216,1935.093,1975.474,1952.773,2119.216,2344.351,2037.227,1752.526,1855.722,1754.732,1857.773,1810.804,2009.227
588.687,1519.845,103.588,3189.814,3185.794,3076.928,2048.082,1955.649,1988.753,1975.845,2130.454,2346.175,2043.784,1767.381,1856.423,1754.144,1866.165,1814.845,1997.258
588.815,1543.804,104.01,3166.485,3166.629,3038.361,2069.835,1965.289,2011.866,1984.309,2139.763,2368.031,2072.165,1777.505,1873.588,1760.515,1875.165,1820.402,2013.278
588.943,1532.175,104.351,3195.041,3200.052,3083.258,2072.588,1958.649,1994.567,1994.165,2130.186,2358.433,2062.32,1765.165,1878.835,1779.68,1879.361,1837.742,2014.711
589.071,1522.196,104.32,3155.557,3167.443,3052.402,2060.474,1952.691,1993.247,1971.072,2121.237,2368.887,2062.041,1754.835,1854.629,1758.701,1861.732,1819.093,1998.907
589.199,1520.649,103.495,3201.804,3187.0,3070.979,2073.361,1955.495,1995.763,1983.546,2128.794,2374.763,2055.639,1773.351,1865.629,1766.371,1870.01,1838.887,2006.794
589.327,1517.691,103.093,3202.515,3186.289,3075.381,2061.082,1957.546,1988.392,1981.474,2118.897,2372.773,2069.361,1762.093,1864.649,1762.711,1866.784,1832.474,2022.588
589.455,1518.392,102.969,3296.66,3283.155,3174.485,2047.134,1960.392,1979.691,1968.773,2129.268,2355.052,2062.103,1758.773,1845.495,1766.072,1867.247,1818.68,2005.722
