70_100_wo_pol_at_750.00nm_cut_at_1184.50Y_01.dat
03.07.2023
10:29:46
cut middle at Y: 1184.50
top cursor: 1231 down cursor: 1138 mean of: 93 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	21445.763
586.124	21102.183
586.252	21116.204
586.380	21175.312
586.508	21249.624
586.637	21407.538
586.765	21383.108
586.893	21395.828
587.021	21473.312
587.149	21516.559
587.277	21560.559
587.405	21602.290
587.533	21701.204
587.662	21720.763
587.790	21668.269
587.918	21736.000
588.046	21670.215
588.174	21780.796
588.302	21745.720
588.430	21783.333
588.558	21832.903
588.687	21866.796
588.815	21895.785
588.943	21906.720
589.071	21957.634
589.199	21976.667
589.327	21956.376
589.455	21966.710
589.583	21976.043
589.712	22016.151
589.840	21982.688
589.968	22010.634
590.096	22121.301
590.224	22138.011
590.352	22255.301
590.480	22160.065
590.608	22137.204
590.737	22184.946
590.865	22228.978
590.993	22131.344
591.121	22181.559
591.249	22224.161
591.377	22234.839
591.505	22302.699
591.633	22304.118
591.762	22359.237
591.890	22363.269
592.018	22450.484
592.146	22454.290
592.274	22429.495
592.402	22448.688
592.530	22664.269
592.658	22590.710
592.787	22627.882
592.915	22708.183
593.043	22583.742
593.171	22724.086
593.299	22705.301
593.427	22743.860
593.555	22795.591
593.683	22881.032
593.812	22884.914
593.940	22936.903
594.068	23013.677
594.196	23028.376
594.324	23170.656
594.452	23329.312
594.580	23210.688
594.708	23414.634
594.837	23407.720
594.965	23550.871
595.093	23559.333
595.221	23699.011
595.349	23752.742
595.477	23715.946
595.605	23818.882
595.733	23834.097
595.862	23890.581
595.990	23875.355
596.118	23971.925
596.246	24107.591
596.374	24078.667
596.502	24173.280
596.630	24210.419
596.758	24249.355
596.887	24307.247
597.015	24384.108
597.143	24378.344
597.271	24390.925
597.399	24524.602
597.527	24463.935
597.655	24549.720
597.783	24581.129
597.912	24595.860
598.040	24654.624
598.168	24677.935
598.296	24582.215
598.424	24836.624
598.552	24680.946
598.680	24684.000
598.808	24815.312
598.937	24762.849
599.065	24773.882
599.193	24921.301
599.321	24908.581
599.449	24851.258
599.577	24841.806
599.705	24860.602
599.833	24849.774
599.962	24869.871
600.090	24915.505
600.218	24841.538
600.346	24908.108
600.474	24889.495
600.602	24936.763
600.730	25020.903
600.858	25036.591
600.987	25130.871
601.115	25077.022
601.243	25155.226
601.371	25270.011
601.499	25241.022
601.627	25362.129
601.755	25358.344
601.883	25422.849
602.012	25420.860
602.140	25443.151
602.268	25515.280
602.396	25679.806
602.524	25745.387
602.652	25879.935
602.780	25837.032
602.908	25894.871
603.037	26044.151
603.165	26058.075
603.293	26188.140
603.421	26246.570
603.549	26314.849
603.677	26389.398
603.805	26560.022
603.933	26622.075
604.062	26778.312
604.190	26852.989
604.318	26943.505
604.446	26969.247
604.574	27138.871
604.702	27205.763
604.830	27204.602
604.958	27306.774
605.087	27481.151
605.215	27624.075
605.343	27729.785
605.471	27758.516
605.599	27858.075
605.727	28076.398
605.855	28117.430
605.983	28181.570
606.112	28309.806
606.240	28344.387
606.368	28438.398
606.496	28457.882
606.624	28624.011
606.752	28611.849
606.880	28746.839
607.008	28814.473
607.137	28831.946
607.265	28994.022
607.393	29013.914
607.521	29107.559
607.649	29087.903
607.777	29124.796
607.905	29190.022
608.033	29198.817
608.162	29235.570
608.290	29227.903
608.418	29399.774
608.546	29387.720
608.674	29434.720
608.802	29398.892
608.930	29429.215
609.058	29508.398
609.187	29469.763
609.315	29509.323
609.443	29534.269
609.571	29642.409
609.699	29529.806
609.827	29649.871
609.955	29664.355
610.083	29617.280
610.212	29653.914
610.340	29640.043
610.468	29708.581
610.596	29733.398
610.724	29729.118
610.852	29864.441
610.980	29857.204
611.108	29867.419
611.237	29915.495
611.365	29937.495
611.493	29903.505
611.621	30008.387
611.749	30049.140
611.877	30185.355
612.005	30203.452
612.133	30288.312
612.262	30346.215
612.390	30377.710
612.518	30458.806
612.646	30520.968
612.774	30620.108
612.902	30683.914
613.030	30808.183
613.158	30752.280
613.287	30890.968
613.415	30907.333
613.543	31037.118
613.671	30997.258
613.799	31145.849
613.927	31181.925
614.055	31404.323
614.183	31417.957
614.312	31478.237
614.440	31672.355
614.568	31689.312
614.696	31811.312
614.824	31924.978
614.952	31994.581
615.080	32051.022
615.208	32239.968
615.337	32311.849
615.465	32297.194
615.593	32505.237
615.721	32509.269
615.849	32674.892
615.977	32722.323
616.105	32820.011
616.233	32898.366
616.362	33059.796
616.490	33175.022
616.618	33294.011
616.746	33392.161
616.874	33409.957
617.002	33519.548
617.130	33620.505
617.258	33638.387
617.387	33758.290
617.515	33816.097
617.643	33908.355
617.771	33994.000
617.899	34111.710
618.027	34192.376
618.155	34235.806
618.283	34320.194
618.412	34426.194
618.540	34511.247
618.668	34514.452
618.796	34650.290
618.924	34646.495
619.052	34781.000
619.180	34772.892
619.308	34744.946
619.437	34911.172
619.565	34963.419
619.693	34942.151
619.821	35087.667
619.949	35087.828
620.077	35241.957
620.205	35280.978
620.333	35296.699
620.462	35343.075
620.590	35404.925
620.718	35515.441
620.846	35554.935
620.974	35585.333
621.102	35693.065
621.230	35648.419
621.358	35858.204
621.487	35810.720
621.615	35854.538
621.743	35839.849
621.871	35957.860
621.999	35933.925
622.127	35987.495
622.255	36043.871
622.383	36029.462
622.512	36113.118
