70_100_0_Pol_at_750.00nm_cut_at_1179.00Y_01.dat
03.07.2023
10:49:38
cut middle at Y: 1179.00
top cursor: 1231 down cursor: 1127 mean of: 104 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	36190.173
586.124	35782.019
586.252	35799.365
586.380	35936.106
586.508	36048.692
586.637	36194.529
586.765	36140.202
586.893	36268.471
587.021	36291.308
587.149	36439.885
587.277	36453.183
587.405	36489.269
587.533	36566.308
587.662	36560.452
587.790	36550.712
587.918	36601.500
588.046	36512.548
588.174	36655.404
588.302	36647.212
588.430	36688.837
588.558	36641.538
588.687	36658.942
588.815	36676.827
588.943	36636.471
589.071	36682.269
589.199	36688.317
589.327	36687.779
589.455	36708.913
589.583	36704.135
589.712	36646.096
589.840	36620.221
589.968	36676.356
590.096	36729.356
590.224	36724.962
590.352	36838.115
590.480	36765.442
590.608	36704.481
590.737	36766.077
590.865	36795.221
590.993	36641.933
591.121	36761.365
591.249	36690.115
591.377	36771.163
591.505	36810.154
591.633	36677.856
591.762	36814.962
591.890	36798.183
592.018	36852.529
592.146	36831.490
592.274	36837.471
592.402	36871.721
592.530	37034.654
592.658	36959.019
592.787	36959.606
592.915	36995.471
593.043	36994.462
593.171	37084.500
593.299	37057.981
593.427	37000.635
593.555	37091.606
593.683	37133.481
593.812	37195.067
593.940	37187.327
594.068	37225.385
594.196	37243.567
594.324	37333.029
594.452	37413.827
594.580	37409.250
594.708	37462.346
594.837	37484.683
594.965	37581.894
595.093	37529.587
595.221	37774.356
595.349	37715.183
595.477	37767.865
595.605	37818.048
595.733	37856.779
595.862	37851.288
595.990	37919.625
596.118	37931.346
596.246	38002.923
596.374	37951.837
596.502	38076.269
596.630	38032.212
596.758	38050.635
596.887	38143.327
597.015	38255.529
597.143	38153.096
597.271	38212.106
597.399	38343.490
597.527	38178.942
597.655	38294.856
597.783	38324.885
597.912	38236.212
598.040	38319.663
598.168	38306.375
598.296	38336.115
598.424	38409.904
598.552	38344.462
598.680	38319.510
598.808	38479.808
598.937	38409.500
599.065	38328.317
599.193	38458.048
599.321	38451.058
599.449	38348.192
599.577	38348.933
599.705	38346.269
599.833	38341.510
599.962	38288.798
600.090	38333.904
600.218	38324.500
600.346	38321.865
600.474	38341.365
600.602	38305.865
600.730	38353.096
600.858	38399.981
600.987	38438.971
601.115	38324.702
601.243	38446.144
601.371	38469.365
601.499	38471.019
601.627	38566.154
601.755	38509.346
601.883	38550.673
602.012	38487.606
602.140	38548.721
602.268	38552.596
602.396	38730.308
602.524	38704.250
602.652	38821.750
602.780	38784.923
602.908	38833.625
603.037	38961.606
603.165	39042.288
603.293	39053.942
603.421	39060.683
603.549	39100.654
603.677	39198.952
603.805	39325.538
603.933	39365.673
604.062	39503.538
604.190	39534.731
604.318	39563.269
604.446	39645.250
604.574	39730.683
604.702	39799.192
604.830	39882.115
604.958	39900.375
605.087	40007.029
605.215	40194.683
605.343	40224.471
605.471	40186.433
605.599	40232.952
605.727	40383.442
605.855	40487.144
605.983	40580.538
606.112	40622.471
606.240	40669.269
606.368	40693.260
606.496	40634.077
606.624	40834.365
606.752	40791.731
606.880	40893.000
607.008	40911.750
607.137	40926.962
607.265	41051.356
607.393	41102.077
607.521	41090.913
607.649	41090.010
607.777	41066.933
607.905	41128.067
608.033	41210.548
608.162	41153.538
608.290	41168.125
608.418	41338.933
608.546	41309.663
608.674	41311.365
608.802	41256.452
608.930	41318.817
609.058	41371.817
609.187	41332.625
609.315	41321.173
609.443	41336.490
609.571	41347.913
609.699	41351.663
609.827	41437.731
609.955	41330.365
610.083	41304.423
610.212	41334.125
610.340	41302.048
610.468	41350.760
610.596	41352.298
610.724	41417.346
610.852	41412.779
610.980	41400.712
611.108	41419.452
611.237	41453.125
611.365	41450.038
611.493	41465.769
611.621	41420.327
611.749	41475.125
611.877	41551.856
612.005	41520.654
612.133	41551.577
612.262	41686.587
612.390	41654.375
612.518	41712.240
612.646	41667.606
612.774	41839.913
612.902	41861.952
613.030	41908.212
613.158	41871.625
613.287	41967.077
613.415	41948.990
613.543	42003.144
613.671	42038.933
613.799	42134.183
613.927	42195.779
614.055	42235.269
614.183	42327.260
614.312	42324.933
614.440	42357.423
614.568	42426.433
614.696	42539.654
614.824	42493.442
614.952	42635.096
615.080	42664.865
615.208	42833.212
615.337	42941.673
615.465	42886.933
615.593	43007.856
615.721	42964.712
615.849	43123.308
615.977	43129.029
616.105	43189.827
616.233	43274.962
616.362	43398.510
616.490	43407.317
616.618	43499.144
616.746	43600.317
616.874	43593.904
617.002	43686.327
617.130	43690.952
617.258	43747.096
617.387	43741.885
617.515	43863.423
617.643	43864.625
617.771	43918.173
617.899	43962.635
618.027	44095.558
618.155	44099.875
618.283	44087.606
618.412	44158.760
618.540	44319.279
618.668	44272.471
618.796	44262.913
618.924	44259.058
619.052	44363.827
619.180	44330.010
619.308	44360.375
619.437	44323.673
619.565	44351.298
619.693	44379.952
619.821	44464.269
619.949	44576.135
620.077	44556.288
620.205	44477.250
620.333	44552.663
620.462	44606.423
620.590	44586.288
620.718	44632.106
620.846	44709.971
620.974	44618.212
621.102	44749.231
621.230	44718.721
621.358	44847.788
621.487	44849.394
621.615	44771.317
621.743	44723.942
621.871	44827.144
621.999	44846.587
622.127	44792.952
622.255	44853.837
622.383	44777.644
622.512	44826.404
622.640	44869.423
622.768	44984.567
622.896	44972.654
623.024	44955.683
623.152	44919.962
623.280	45031.587
623.408	45135.702
623.537	45105.635
623.665	45036.731
623.793	45136.269
623.921	45015.115
624.049	45117.654
624.177	45184.212
624.305	45213.337
624.433	45117.904
624.562	45204.192
624.690	45286.596
624.818	45140.019
624.946	45204.990
625.074	45230.548
625.202	45192.865
625.330	45282.125
625.458	45366.250
625.587	45374.346
625.715	45392.038
625.843	45323.519
625.971	45435.106
626.099	45395.144
626.227	45485.760
626.355	45358.298
626.483	45474.663
626.612	45544.154
626.740	45654.327
626.868	45573.837
626.996	45649.135
627.124	45651.923
627.252	45646.212
627.380	45771.750
627.508	45753.548
627.637	45772.519
627.765	45882.635
627.893	45857.231
628.021	45910.654
628.149	45999.567
628.277	45961.317
628.405	45956.356
628.533	45986.740
628.662	46093.923
628.790	46214.865
628.918	46199.779
629.046	46336.087
629.174	46249.462
629.302	46306.087
629.430	46327.952
629.558	46431.490
629.687	46460.712
629.815	46509.683
629.943	46655.394
630.071	46497.240
630.199	46643.529
630.327	46739.269
630.455	46761.760
630.583	46794.750
630.712	46845.144
630.840	46954.798
630.968	46976.615
631.096	47069.529
631.224	47091.260
631.352	47207.471
631.480	47110.404
631.608	47305.981
631.737	47265.875
631.865	47376.192
631.993	47406.654
632.121	47502.760
632.249	47520.712
632.377	47449.385
632.505	47597.779
632.633	47661.413
632.762	47583.096
632.890	47677.683
633.018	47619.942
633.146	47651.260
633.274	47663.462
633.402	47739.663
633.530	47776.885
633.658	47811.577
633.787	47849.548
633.915	47827.413
634.043	47913.692
634.171	47915.240
634.299	47929.019
634.427	47998.923
634.555	48131.529
