90_110_90_Pol_at_750.00nm_cut_at_1179.00Y_01.dat
03.07.2023
11:28:32
cut middle at Y: 1179.00
top cursor: 1231 down cursor: 1127 mean of: 104 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	9471.529
586.124	9276.356
586.252	9256.587
586.380	9290.750
586.508	9318.337
586.637	9413.644
586.765	9373.192
586.893	9410.519
587.021	9437.529
587.149	9424.308
587.277	9462.683
587.405	9458.779
587.533	9505.240
587.662	9578.625
587.790	9490.471
587.918	9525.173
588.046	9508.337
588.174	9541.288
588.302	9528.404
588.430	9546.029
588.558	9556.404
588.687	9565.404
588.815	9551.471
588.943	9579.221
589.071	9544.587
589.199	9559.096
589.327	9548.096
589.455	9612.144
589.583	9584.644
589.712	9576.462
589.840	9551.000
589.968	9561.817
590.096	9569.519
590.224	9569.125
590.352	9607.106
590.480	9555.721
590.608	9545.433
590.737	9583.375
590.865	9663.058
590.993	9561.269
591.121	9556.846
591.249	9556.221
591.377	9546.183
591.505	9682.106
591.633	9563.337
591.762	9583.692
591.890	9564.096
592.018	9663.837
592.146	9579.683
592.274	9594.077
592.402	9577.481
592.530	9774.106
592.658	9667.144
592.787	9682.192
592.915	9707.356
593.043	9595.731
593.171	9638.596
593.299	9686.356
593.427	9674.221
593.555	9657.769
593.683	9707.731
593.812	9689.135
593.940	9707.750
594.068	9755.038
594.196	9718.663
594.324	9793.260
594.452	9969.423
594.580	9826.654
594.708	9864.808
594.837	9854.558
594.965	9919.269
595.093	9892.500
595.221	9955.712
595.349	9940.404
595.477	9956.240
595.605	9989.760
595.733	9979.183
595.862	10024.048
595.990	10016.558
596.118	10038.337
596.246	10123.548
596.374	10043.048
596.502	10083.163
596.630	10116.423
596.758	10078.346
596.887	10098.481
597.015	10103.346
597.143	10121.481
597.271	10115.856
597.399	10186.808
597.527	10138.385
597.655	10130.471
597.783	10172.760
597.912	10168.654
598.040	10172.702
598.168	10159.808
598.296	10116.865
598.424	10338.635
598.552	10104.817
598.680	10149.548
598.808	10198.442
598.937	10184.365
599.065	10165.260
599.193	10211.654
599.321	10193.606
599.449	10145.750
599.577	10137.202
599.705	10160.981
599.833	10170.596
599.962	10086.337
600.090	10163.231
600.218	10151.837
600.346	10129.913
600.474	10117.692
600.602	10105.558
600.730	10087.462
600.858	10128.962
600.987	10208.356
601.115	10134.394
601.243	10232.596
601.371	10234.442
601.499	10199.317
601.627	10205.587
601.755	10178.452
601.883	10232.394
602.012	10132.712
602.140	10234.087
602.268	10217.856
602.396	10372.683
602.524	10219.327
602.652	10343.490
602.780	10340.173
602.908	10338.971
603.037	10428.808
603.165	10430.452
603.293	10408.481
603.421	10436.962
603.549	10448.885
603.677	10487.462
603.805	10488.538
603.933	10547.423
604.062	10581.692
604.190	10646.183
604.318	10655.635
604.446	10627.933
604.574	10739.279
604.702	10774.010
604.830	10678.625
604.958	10744.067
605.087	10798.962
605.215	10854.500
605.343	10936.990
605.471	10915.875
605.599	10913.615
605.727	10997.558
605.855	10973.971
605.983	11020.596
606.112	11063.365
606.240	11042.317
606.368	11055.548
606.496	11051.510
606.624	11131.760
606.752	11087.327
606.880	11184.538
607.008	11149.375
607.137	11108.587
607.265	11253.808
607.393	11183.010
607.521	11275.327
607.649	11175.683
607.777	11183.096
607.905	11224.413
608.033	11178.885
608.162	11217.144
608.290	11208.913
608.418	11300.250
608.546	11258.654
608.674	11331.462
608.802	11209.510
608.930	11208.183
609.058	11170.731
609.187	11174.875
609.315	11209.385
609.443	11153.558
609.571	11293.615
609.699	11138.490
609.827	11268.481
609.955	11174.606
610.083	11144.558
610.212	11120.163
610.340	11117.683
610.468	11105.433
610.596	11115.923
610.724	11099.712
610.852	11136.808
610.980	11120.144
611.108	11062.144
611.237	11067.173
611.365	11099.760
611.493	11091.587
611.621	11078.712
611.749	11089.577
611.877	11168.077
612.005	11097.971
612.133	11152.663
612.262	11169.606
612.390	11208.856
612.518	11226.702
612.646	11126.394
612.774	11211.558
612.902	11230.356
613.030	11212.894
613.158	11188.577
613.287	11323.462
613.415	11173.740
613.543	11227.596
613.671	11255.173
613.799	11287.817
613.927	11296.625
614.055	11338.885
614.183	11346.606
614.312	11347.260
614.440	11482.644
614.568	11418.798
614.696	11445.135
614.824	11413.962
614.952	11491.115
615.080	11523.875
615.208	11533.625
615.337	11650.010
615.465	11545.548
615.593	11621.644
615.721	11604.000
615.849	11699.827
615.977	11649.933
616.105	11690.635
616.233	11690.577
616.362	11760.231
616.490	11706.077
616.618	11759.808
616.746	11886.663
616.874	11848.721
617.002	11863.644
617.130	11852.404
617.258	11870.644
617.387	11877.558
617.515	11891.471
617.643	11873.087
617.771	11971.096
617.899	11899.462
618.027	11976.221
618.155	11990.942
618.283	12003.442
618.412	12002.865
618.540	12106.019
618.668	12019.385
618.796	12042.981
618.924	11992.365
619.052	12059.192
619.180	12033.452
619.308	12024.317
619.437	12030.558
619.565	12044.971
619.693	12003.106
619.821	12057.163
619.949	11988.385
620.077	12049.875
620.205	12086.577
620.333	12087.692
620.462	12008.981
620.590	12067.250
620.718	12040.885
620.846	12101.981
620.974	12085.135
621.102	12123.490
621.230	12106.567
621.358	12236.183
621.487	12059.644
621.615	12093.615
621.743	12028.462
621.871	12125.250
621.999	11992.567
622.127	12077.913
622.255	12038.548
622.383	12020.913
622.512	12006.346
622.640	12032.442
622.768	12067.577
622.896	12132.144
623.024	12065.654
623.152	12045.788
623.280	12150.135
623.408	12045.712
623.537	12067.712
623.665	12031.615
623.793	12067.173
623.921	12100.365
624.049	12079.971
624.177	12047.413
624.305	12041.163
624.433	12083.548
624.562	12085.288
624.690	12210.173
624.818	12027.433
624.946	12047.856
625.074	12037.029
625.202	12008.654
625.330	12048.038
625.458	12137.250
625.587	12023.587
625.715	12100.654
625.843	12067.865
625.971	12074.702
626.099	12078.769
626.227	12094.567
626.355	12035.654
626.483	12164.154
626.612	12091.875
626.740	12093.106
626.868	12086.510
626.996	12157.606
627.124	12120.231
627.252	12080.250
627.380	12113.115
627.508	12059.673
627.637	12126.404
627.765	12123.067
627.893	12200.913
628.021	12243.298
628.149	12151.192
628.277	12239.260
628.405	12199.154
628.533	12179.115
628.662	12198.750
628.790	12311.894
628.918	12236.558
629.046	12360.740
629.174	12226.635
629.302	12285.538
629.430	12220.019
629.558	12306.635
629.687	12247.452
629.815	12308.952
629.943	12408.096
630.071	12366.837
630.199	12356.721
630.327	12408.058
630.455	12428.894
630.583	12420.721
630.712	12435.923
630.840	12472.538
630.968	12482.000
631.096	12413.567
631.224	12465.010
631.352	12595.702
631.480	12531.337
631.608	12676.894
631.737	12491.490
631.865	12603.115
631.993	12627.192
632.121	12747.260
632.249	12622.500
632.377	12603.596
632.505	12575.269
632.633	12646.971
632.762	12572.029
632.890	12631.308
633.018	12616.077
633.146	12597.683
633.274	12601.279
633.402	12638.442
633.530	12564.558
633.658	12593.240
633.787	12591.192
633.915	12568.740
634.043	12586.510
634.171	12630.067
634.299	12612.962
634.427	12593.731
634.555	12834.875
634.683	12600.750
634.812	12586.577
634.940	12547.404
635.068	12548.558
635.196	12534.731
635.324	12522.269
635.452	12557.750
635.580	12617.750
635.708	12499.067
635.837	12523.875
635.965	12498.558
636.093	12486.317
636.221	12472.308
636.349	12361.260
636.477	12371.298
636.605	12437.490
636.733	12356.337
636.862	12367.115
636.990	12368.144
637.118	12344.346
637.246	12285.240
637.374	12427.712
637.502	12266.663
637.630	12252.260
637.758	12259.462
637.887	12176.154
638.015	12318.375
638.143	12243.000
638.271	12124.500
638.399	12175.644
638.527	12093.356
638.655	12140.846
638.783	12103.692
638.912	12172.798
639.040	12064.798
639.168	12038.192
639.296	12013.760
639.424	12086.087
639.552	12052.212
639.680	12085.635
639.808	12037.163
639.937	11985.240
640.065	11969.779
640.193	11955.087
640.321	12103.721
640.449	12001.365
640.577	11939.663
640.705	11991.413
640.833	11990.192
640.962	12066.933
641.090	11942.125
641.218	11987.923
641.346	12072.385
641.474	11989.077
641.602	11965.385
641.730	11931.288
641.858	11941.846
641.987	11935.798
642.115	12133.654
642.243	11985.077
642.371	12147.365
642.499	11968.760
642.627	12069.058
642.755	11967.596
642.883	11984.615
643.012	12009.654
643.140	12055.894
643.268	12067.125
643.396	11989.077
643.524	12037.923
643.652	12127.875
643.780	12039.413
643.908	11997.808
644.037	12152.442
644.165	12110.558
644.293	12221.413
644.421	12006.077
644.549	12113.154
644.677	12145.788
644.805	12046.837
644.933	12057.635
645.062	12073.048
645.190	12241.000
645.318	12121.269
645.446	12083.481
645.574	12070.058
645.702	12118.769
645.830	12109.683
645.958	12075.375
646.087	12060.644
646.215	12032.702
646.343	12011.010
646.471	12237.452
646.599	12065.490
646.727	12034.308
646.855	12055.288
646.983	12028.548
647.112	12125.952
647.240	12033.587
647.368	12126.000
647.496	12052.163
647.624	12050.173
647.752	12035.558
647.880	11999.462
648.008	12034.981
648.137	12045.356
648.265	11986.952
648.393	12087.010
648.521	11966.029
648.649	12102.317
648.777	12049.721
648.905	11989.548
649.033	12053.337
649.162	11940.308
649.290	11872.894
649.418	11898.135
649.546	12090.154
649.674	11890.452
649.802	11859.827
649.930	11802.644
650.058	11796.212
650.187	11871.635
650.315	11821.779
650.443	11819.000
650.571	11766.067
650.699	11719.404
650.827	11738.029
650.955	11724.808
651.083	11792.856
651.212	11647.192
651.340	11706.288
651.468	11638.952
651.596	11641.394
651.724	11698.337
651.852	11627.471
651.980	11602.606
652.108	11583.865
652.237	11597.337
652.365	11550.875
652.493	11506.404
652.621	11510.019
652.749	11538.269
652.877	11498.221
653.005	11521.317
653.133	11460.663
653.262	11410.635
653.390	11393.663
653.518	11548.635
653.646	11401.173
653.774	11361.279
653.902	11473.712
654.030	11430.721
654.158	11346.663
654.287	11377.433
654.415	11368.077
654.543	11352.865
654.671	11294.423
654.799	11294.971
654.927	11264.692
655.055	11213.798
655.183	11267.769
655.312	11252.683
655.440	11211.375
655.568	11221.038
655.696	11275.288
655.824	11226.510
655.952	11197.192
656.080	11176.490
656.208	11165.452
656.337	11188.404
656.465	11353.125
656.593	11123.885
656.721	11191.240
656.849	11229.981
656.977	10997.519
657.105	11072.000
657.233	11106.933
657.362	11159.173
657.490	11082.240
657.618	11039.827
657.746	11035.115
657.874	10969.365
658.002	10980.212
658.130	10926.279
658.258	10911.923
658.387	10891.712
658.515	10862.404
658.643	10836.202
658.771	10953.740
