90_90_wo_Pol_at_750.00nm_cut_at_1179.00Y_01.dat
03.07.2023
11:21:18
cut middle at Y: 1179.00
top cursor: 1231 down cursor: 1127 mean of: 104 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	23460.625
586.124	23060.096
586.252	23068.404
586.380	23133.308
586.508	23180.173
586.637	23330.356
586.765	23350.106
586.893	23372.702
587.021	23443.019
587.149	23517.125
587.277	23553.683
587.405	23560.510
587.533	23671.837
587.662	23654.663
587.790	23639.587
587.918	23654.000
588.046	23628.019
588.174	23701.567
588.302	23731.019
588.430	23750.163
588.558	23755.337
588.687	23760.192
588.815	23703.019
588.943	23747.192
589.071	23719.317
589.199	23733.192
589.327	23744.442
589.455	23765.596
589.583	23737.125
589.712	23755.740
589.840	23692.510
589.968	23701.952
590.096	23755.615
590.224	23699.663
590.352	23832.885
590.480	23782.596
590.608	23732.413
590.737	23760.356
590.865	23745.558
590.993	23640.894
591.121	23678.327
591.249	23675.183
591.377	23715.077
591.505	23764.788
591.633	23707.471
591.762	23705.885
591.890	23720.538
592.018	23852.385
592.146	23803.731
592.274	23769.644
592.402	23747.115
592.530	23958.337
592.658	23866.317
592.787	23893.058
592.915	23955.933
593.043	23816.837
593.171	23957.875
593.299	23898.654
593.427	23915.115
593.555	23967.837
593.683	23983.048
593.812	24003.913
593.940	24076.740
594.068	24104.500
594.196	24091.933
594.324	24177.654
594.452	24390.558
594.580	24317.644
594.708	24321.952
594.837	24371.250
594.965	24499.971
595.093	24489.356
595.221	24620.885
595.349	24606.212
595.477	24617.731
595.605	24697.827
595.733	24707.750
595.862	24744.769
595.990	24702.942
596.118	24801.490
596.246	24879.173
596.374	24825.644
596.502	24914.875
596.630	24905.971
596.758	24894.462
596.887	25012.375
597.015	25034.106
597.143	24947.875
597.271	25039.404
597.399	25155.712
597.527	25052.587
597.655	25093.990
597.783	25114.192
597.912	25121.077
598.040	25137.365
598.168	25151.846
598.296	25093.817
598.424	25220.413
598.552	25033.327
598.680	25105.769
598.808	25243.529
598.937	25139.481
599.065	25084.250
599.193	25153.298
599.321	25146.990
599.449	25097.788
599.577	25082.827
599.705	25049.423
599.833	25017.173
599.962	24944.067
600.090	25072.433
600.218	24983.375
600.346	25025.510
600.474	24935.221
600.602	24966.183
600.730	24974.673
600.858	25033.462
600.987	25175.962
601.115	24974.490
601.243	25065.817
601.371	25111.452
601.499	25095.462
601.627	25188.577
601.755	25154.510
601.883	25171.308
602.012	25052.163
602.140	25129.933
602.268	25172.731
602.396	25319.606
602.524	25303.029
602.652	25441.731
602.780	25357.048
602.908	25450.269
603.037	25565.404
603.165	25515.163
603.293	25643.856
603.421	25660.625
603.549	25725.644
603.677	25842.202
603.805	25834.192
603.933	25886.865
604.062	26066.240
604.190	26160.260
604.318	26196.635
604.446	26165.788
604.574	26273.308
604.702	26348.529
604.830	26368.231
604.958	26401.683
605.087	26561.702
605.215	26668.240
605.343	26774.077
605.471	26789.712
605.599	26821.135
605.727	27004.452
605.855	27083.067
605.983	27086.346
606.112	27148.875
606.240	27175.048
606.368	27181.337
606.496	27210.788
606.624	27323.760
606.752	27270.058
606.880	27388.548
607.008	27397.221
607.137	27406.308
607.265	27503.135
607.393	27515.154
607.521	27564.904
607.649	27523.673
607.777	27482.087
607.905	27538.654
608.033	27497.846
608.162	27454.808
608.290	27491.173
608.418	27611.356
608.546	27600.490
608.674	27648.788
608.802	27563.904
608.930	27528.817
609.058	27497.750
609.187	27499.212
609.315	27506.577
609.443	27487.125
609.571	27566.923
609.699	27383.250
609.827	27457.087
609.955	27474.933
610.083	27346.106
610.212	27328.010
610.340	27261.510
610.468	27306.452
610.596	27271.471
610.724	27261.471
610.852	27286.894
610.980	27267.558
611.108	27261.192
611.237	27276.087
611.365	27290.519
611.493	27245.962
611.621	27253.587
611.749	27277.548
611.877	27315.154
612.005	27322.442
612.133	27365.760
612.262	27389.077
612.390	27423.981
612.518	27440.087
612.646	27445.308
612.774	27558.058
612.902	27488.548
613.030	27546.644
613.158	27506.317
613.287	27610.019
613.415	27571.923
613.543	27591.875
613.671	27657.712
613.799	27701.990
613.927	27761.000
614.055	27839.029
614.183	27829.058
614.312	27850.913
614.440	28001.712
614.568	28036.365
614.696	28084.808
614.824	28111.212
614.952	28137.702
615.080	28212.731
615.208	28324.952
615.337	28412.240
615.465	28368.385
615.593	28539.413
615.721	28415.856
615.849	28584.471
615.977	28600.510
616.105	28633.663
616.233	28709.606
616.362	28861.558
616.490	28830.490
616.618	28915.644
616.746	29027.769
616.874	29068.462
617.002	29085.000
