Dunkelspektrum_at_750.00nm_cut_at_1184.50Y_01.dat
03.07.2023
10:42:14
cut middle at Y: 1184.50
top cursor: 1231 down cursor: 1138 mean of: 93 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	192.989
586.124	157.935
586.252	167.333
586.380	166.355
586.508	149.065
586.637	162.215
586.765	150.957
586.893	154.602
587.021	155.505
587.149	159.376
587.277	164.280
587.405	155.075
587.533	156.871
587.662	151.946
587.790	148.366
587.918	154.376
588.046	148.624
588.174	159.667
588.302	144.129
588.430	157.570
588.558	147.516
588.687	150.065
588.815	166.624
588.943	156.140
589.071	157.613
589.199	148.366
589.327	148.935
589.455	157.817
589.583	153.108
589.712	147.183
589.840	146.387
589.968	153.011
590.096	151.559
590.224	153.118
590.352	174.774
590.480	151.505
590.608	145.892
590.737	163.581
590.865	150.097
590.993	148.624
591.121	152.882
591.249	145.989
591.377	151.570
591.505	147.409
591.633	152.226
591.762	146.204
591.890	154.935
592.018	156.516
592.146	152.785
592.274	154.355
592.402	141.172
592.530	145.882
592.658	143.075
592.787	154.043
592.915	164.462
593.043	136.054
593.171	148.086
593.299	140.312
593.427	149.495
593.555	145.806
593.683	143.054
593.812	140.086
593.940	142.022
594.068	153.398
594.196	142.656
594.324	144.473
594.452	146.409
594.580	140.075
594.708	144.914
594.837	147.527
594.965	154.484
595.093	138.452
595.221	142.839
595.349	145.258
595.477	147.462
595.605	155.882
595.733	143.290
595.862	145.860
595.990	148.204
596.118	141.828
596.246	146.720
596.374	158.032
596.502	160.108
596.630	144.473
596.758	148.247
596.887	139.860
597.015	151.172
597.143	150.129
597.271	149.559
597.399	140.441
597.527	155.290
597.655	139.538
597.783	143.441
597.912	142.118
598.040	148.183
598.168	145.462
598.296	139.688
598.424	150.280
598.552	142.054
598.680	139.828
598.808	138.903
598.937	142.452
599.065	158.656
599.193	148.763
599.321	143.355
599.449	140.398
599.577	139.688
599.705	147.946
599.833	148.978
599.962	142.785
600.090	141.269
600.218	145.677
600.346	144.484
600.474	135.839
600.602	142.978
600.730	147.624
600.858	146.237
600.987	135.516
601.115	140.978
601.243	145.753
601.371	147.333
601.499	136.441
601.627	138.656
601.755	141.226
601.883	141.366
602.012	145.140
602.140	141.323
602.268	143.839
602.396	138.978
602.524	148.763
602.652	141.667
602.780	138.462
602.908	140.237
603.037	152.785
603.165	138.032
603.293	138.796
603.421	163.387
603.549	146.602
603.677	156.011
603.805	133.968
603.933	143.645
604.062	143.204
604.190	143.892
604.318	139.882
604.446	135.645
604.574	148.290
604.702	134.699
604.830	139.645
604.958	136.946
605.087	145.000
605.215	140.527
605.343	159.108
605.471	153.645
605.599	140.323
605.727	146.054
605.855	143.860
605.983	154.710
606.112	151.699
606.240	137.258
606.368	139.505
606.496	146.581
606.624	139.387
606.752	136.538
606.880	140.409
607.008	135.978
607.137	150.194
607.265	141.581
