Ref_Start_0_Pol_at_750.00nm_cut_at_1184.50Y_01.dat
03.07.2023
10:44:06
cut middle at Y: 1184.50
top cursor: 1231 down cursor: 1138 mean of: 93 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	10428.914
586.124	10231.989
586.252	10245.699
586.380	10260.667
586.508	10294.978
586.637	10367.129
586.765	10316.624
586.893	10375.559
587.021	10428.667
587.149	10409.645
587.277	10437.624
587.405	10411.000
587.533	10497.559
587.662	10508.699
587.790	10449.280
587.918	10439.398
588.046	10421.000
588.174	10475.376
588.302	10443.419
588.430	10477.237
588.558	10479.710
588.687	10502.419
588.815	10465.376
588.943	10517.624
589.071	10491.559
589.199	10473.677
589.327	10469.462
589.455	10514.140
589.583	10466.796
589.712	10479.376
589.840	10437.656
589.968	10453.860
590.096	10469.473
590.224	10477.237
590.352	10497.366
590.480	10470.280
590.608	10429.355
590.737	10450.043
590.865	10567.935
590.993	10417.570
591.121	10446.505
591.249	10413.774
591.377	10450.914
591.505	10528.419
591.633	10441.817
591.762	10437.581
591.890	10436.710
592.018	10557.301
592.146	10479.097
592.274	10463.699
592.402	10450.656
592.530	10651.989
592.658	10513.957
592.787	10516.398
592.915	10563.398
593.043	10488.925
593.171	10525.946
593.299	10496.785
593.427	10507.269
593.555	10513.667
593.683	10525.763
593.812	10573.699
593.940	10563.290
594.068	10557.645
594.196	10564.215
594.324	10572.731
594.452	10771.688
594.580	10641.376
594.708	10697.011
594.837	10641.806
594.965	10749.849
595.093	10683.473
595.221	10744.086
595.349	10740.925
595.477	10766.946
595.605	10775.538
595.733	10757.387
595.862	10792.667
595.990	10833.247
596.118	10854.731
596.246	10911.419
596.374	10859.204
596.502	10874.742
596.630	10911.699
596.758	10885.978
596.887	10897.548
597.015	10884.280
597.143	10911.914
597.271	10896.570
597.399	10948.742
597.527	10903.183
597.655	10936.892
597.783	10926.903
597.912	10926.409
598.040	10994.118
598.168	10911.430
598.296	10894.290
598.424	11076.731
598.552	10906.527
598.680	10914.559
598.808	10995.151
598.937	10909.925
599.065	10923.903
599.193	10987.194
599.321	10975.699
599.449	10888.957
599.577	10922.473
599.705	10918.774
599.833	10905.215
599.962	10871.892
600.090	10889.312
600.218	10853.591
600.346	10839.968
600.474	10852.290
600.602	10829.667
600.730	10813.215
600.858	10840.065
600.987	10864.677
601.115	10873.839
601.243	10944.204
601.371	10923.118
601.499	10884.538
601.627	10885.645
601.755	10845.860
601.883	10920.333
602.012	10802.398
602.140	10901.387
602.268	10879.118
602.396	11002.538
602.524	10890.290
602.652	10987.613
602.780	10959.172
602.908	10964.075
603.037	11025.183
603.165	11041.763
603.293	11014.043
603.421	11059.710
603.549	11069.194
603.677	11073.935
603.805	11089.968
603.933	11138.409
604.062	11166.280
604.190	11226.344
604.318	11224.323
604.446	11221.108
604.574	11295.495
604.702	11303.753
604.830	11259.161
604.958	11314.194
605.087	11351.720
605.215	11403.527
605.343	11533.785
605.471	11491.312
605.599	11505.957
605.727	11559.516
605.855	11557.129
605.983	11620.280
606.112	11666.226
606.240	11616.699
606.368	11627.882
606.496	11638.226
606.624	11732.151
606.752	11649.763
606.880	11718.796
607.008	11700.699
607.137	11670.624
607.265	11796.387
607.393	11762.892
607.521	11833.495
607.649	11756.645
607.777	11762.968
607.905	11789.409
608.033	11758.817
608.162	11776.172
608.290	11774.591
608.418	11872.097
608.546	11837.785
608.674	11817.699
608.802	11768.258
608.930	11789.860
609.058	11699.215
609.187	11743.624
609.315	11752.032
609.443	11709.538
609.571	11831.570
609.699	11690.495
609.827	11787.366
609.955	11720.828
610.083	11645.301
610.212	11659.312
610.340	11686.000
610.468	11656.398
610.596	11668.957
610.724	11614.140
610.852	11667.505
610.980	11659.570
611.108	11617.398
611.237	11627.559
611.365	11631.925
611.493	11625.183
611.621	11595.688
611.749	11617.978
611.877	11696.366
612.005	11614.871
612.133	11625.710
612.262	11648.753
612.390	11683.312
612.518	11704.473
612.646	11638.484
612.774	11706.043
612.902	11738.161
613.030	11702.441
613.158	11661.129
613.287	11775.430
613.415	11620.215
613.543	11719.957
613.671	11700.860
613.799	11727.925
613.927	11756.505
614.055	11773.667
614.183	11807.097
614.312	11748.849
614.440	11926.871
614.568	11852.301
614.696	11853.054
614.824	11850.355
614.952	11935.118
615.080	11913.237
615.208	11919.043
615.337	12016.925
615.465	11921.097
615.593	12002.774
615.721	11974.602
615.849	12079.366
615.977	12015.430
616.105	12037.140
616.233	12040.806
616.362	12149.398
616.490	12099.237
616.618	12138.677
616.746	12228.312
616.874	12195.054
617.002	12218.828
617.130	12171.613
617.258	12156.226
617.387	12198.882
617.515	12236.935
617.643	12232.634
617.771	12284.430
617.899	12212.129
618.027	12315.398
618.155	12295.645
618.283	12292.312
618.412	12288.602
618.540	12369.946
618.668	12290.581
618.796	12340.860
618.924	12242.527
619.052	12286.183
619.180	12264.065
619.308	12247.355
619.437	12286.258
619.565	12252.774
619.693	12223.946
619.821	12298.914
619.949	12214.710
620.077	12264.226
620.205	12297.559
620.333	12308.086
620.462	12215.570
620.590	12250.946
620.718	12267.129
620.846	12269.000
620.974	12276.462
621.102	12295.226
621.230	12287.118
621.358	12390.753
621.487	12222.194
621.615	12265.344
621.743	12169.613
621.871	12237.441
621.999	12194.366
622.127	12195.290
622.255	12141.720
622.383	12159.925
622.512	12145.108
622.640	12128.763
622.768	12175.989
622.896	12234.925
623.024	12185.688
623.152	12126.946
623.280	12233.849
623.408	12155.774
623.537	12182.656
623.665	12130.323
623.793	12178.581
623.921	12147.527
624.049	12095.624
624.177	12106.269
624.305	12127.839
624.433	12130.785
624.562	12081.452
624.690	12243.495
624.818	12047.634
624.946	12084.968
625.074	12039.452
625.202	12013.043
625.330	12049.290
625.458	12181.226
625.587	12009.140
625.715	12098.903
625.843	12012.344
625.971	12079.785
626.099	12051.301
626.227	12054.140
626.355	11959.237
626.483	12039.409
626.612	11995.495
626.740	12011.247
626.868	12019.570
626.996	12062.032
627.124	12013.118
627.252	11956.548
627.380	12013.903
627.508	11963.871
627.637	11982.011
627.765	12016.441
627.893	12043.591
628.021	12089.495
628.149	11946.108
628.277	12078.645
628.405	12025.269
628.533	12034.441
628.662	12034.581
628.790	12089.710
628.918	11985.290
629.046	12137.108
629.174	12021.516
629.302	12019.677
629.430	11993.946
629.558	12061.538
629.687	12010.892
629.815	12094.118
629.943	12174.290
630.071	12088.527
630.199	12043.419
630.327	12144.882
630.455	12117.935
630.583	12116.323
630.712	12119.140
630.840	12105.699
630.968	12102.516
631.096	12063.462
631.224	12120.839
631.352	12239.548
631.480	12121.398
631.608	12318.430
631.737	12117.882
631.865	12261.269
631.993	12244.946
632.121	12363.366
632.249	12221.957
632.377	12164.462
632.505	12198.151
632.633	12203.398
632.762	12182.785
632.890	12171.376
633.018	12198.172
633.146	12158.161
633.274	12150.570
633.402	12176.108
633.530	12105.903
633.658	12125.957
633.787	12146.914
633.915	12134.634
634.043	12143.430
634.171	12154.151
634.299	12111.903
634.427	12081.366
634.555	12269.097
634.683	12104.903
634.812	12092.656
634.940	12051.462
635.068	12038.333
635.196	12008.183
635.324	12035.022
635.452	12007.903
635.580	12088.194
635.708	11971.753
635.837	11956.022
635.965	11995.516
636.093	11932.903
636.221	11904.237
636.349	11830.570
636.477	11859.258
636.605	11930.505
636.733	11831.774
636.862	11768.269
636.990	11829.022
637.118	11809.462
637.246	11732.613
637.374	11885.204
637.502	11672.796
637.630	11687.935
