Ref_Stop_90_Pol_at_750.00nm_cut_at_1179.00Y_01.dat
03.07.2023
11:36:10
cut middle at Y: 1179.00
top cursor: 1231 down cursor: 1127 mean of: 104 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	9064.683
586.124	8862.404
586.252	8876.558
586.380	8858.971
586.508	8912.413
586.637	8987.615
586.765	8946.846
586.893	8961.933
587.021	8994.308
587.149	8999.106
587.277	9042.817
587.405	9011.577
587.533	9071.712
587.662	9131.250
587.790	9095.163
587.918	9089.510
588.046	9060.192
588.174	9090.490
588.302	9058.923
588.430	9061.010
588.558	9110.250
588.687	9116.115
588.815	9078.212
588.943	9132.067
589.071	9088.087
589.199	9131.346
589.327	9116.442
589.455	9179.558
589.583	9096.346
589.712	9125.654
589.840	9082.942
589.968	9089.067
590.096	9103.346
590.224	9071.375
590.352	9154.894
590.480	9084.413
590.608	9079.135
590.737	9092.721
590.865	9176.519
590.993	9016.250
591.121	9092.490
591.249	9069.413
591.377	9061.212
591.505	9158.327
591.633	9078.558
591.762	9065.077
591.890	9096.010
592.018	9146.740
592.146	9085.337
592.274	9095.692
592.402	9079.058
592.530	9276.769
592.658	9184.433
592.787	9176.942
592.915	9208.067
593.043	9085.308
593.171	9190.462
593.299	9151.490
593.427	9167.894
593.555	9165.827
593.683	9138.923
593.812	9200.019
593.940	9220.779
594.068	9211.942
594.196	9193.240
594.324	9208.000
594.452	9384.635
594.580	9291.231
594.708	9325.183
594.837	9297.702
594.965	9372.942
595.093	9326.375
595.221	9413.692
595.349	9400.654
595.477	9385.913
595.605	9402.173
595.733	9401.740
595.862	9418.971
595.990	9457.519
596.118	9486.067
596.246	9564.192
596.374	9490.519
596.502	9478.442
596.630	9509.337
596.758	9496.202
596.887	9499.558
597.015	9478.923
597.143	9492.077
597.271	9495.260
597.399	9569.779
597.527	9516.375
597.655	9523.471
597.783	9555.567
597.912	9514.096
598.040	9569.337
598.168	9513.529
598.296	9487.279
598.424	9668.048
598.552	9510.096
598.680	9489.962
598.808	9570.087
598.937	9514.952
599.065	9524.144
599.193	9566.740
599.321	9558.548
599.449	9483.308
599.577	9501.048
599.705	9536.702
599.833	9505.615
599.962	9456.942
600.090	9477.413
600.218	9476.654
600.346	9461.971
600.474	9488.933
600.602	9460.760
600.730	9455.635
600.858	9432.269
600.987	9504.346
601.115	9467.154
601.243	9535.971
601.371	9541.913
601.499	9534.269
601.627	9534.923
601.755	9481.529
601.883	9548.904
602.012	9463.163
602.140	9558.894
602.268	9528.538
602.396	9651.087
602.524	9538.654
602.652	9621.183
602.780	9632.125
602.908	9647.067
603.037	9686.587
603.165	9672.192
603.293	9680.798
603.421	9726.721
603.549	9726.942
603.677	9787.798
603.805	9780.404
603.933	9798.260
604.062	9850.202
604.190	9902.433
604.318	9914.125
604.446	9883.981
604.574	9931.183
604.702	10020.356
604.830	9944.087
