Ref_Stop_wo_Pol_at_750.00nm_cut_at_1179.00Y_01.dat
03.07.2023
11:37:00
cut middle at Y: 1179.00
top cursor: 1231 down cursor: 1127 mean of: 104 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	22797.279
586.124	22428.933
586.252	22400.144
586.380	22386.942
586.508	22474.510
586.637	22619.087
586.765	22625.625
586.893	22637.385
587.021	22744.894
587.149	22788.404
587.277	22855.721
587.405	22903.760
587.533	22976.875
587.662	22970.875
587.790	22933.471
587.918	22934.317
588.046	22936.702
588.174	22974.702
588.302	23027.423
588.430	23006.010
588.558	22965.577
588.687	23058.356
588.815	23042.202
588.943	23007.356
589.071	23020.769
589.199	23057.337
589.327	23058.462
589.455	23033.490
589.583	23007.538
589.712	22949.385
589.840	22920.279
589.968	23003.000
590.096	23040.183
590.224	23011.452
590.352	23139.221
590.480	23034.990
590.608	22951.327
590.737	23034.577
590.865	23055.490
590.993	22908.077
591.121	22960.279
591.249	22960.029
591.377	22947.875
591.505	23068.048
591.633	22964.394
591.762	22983.096
591.890	23012.519
592.018	23069.856
592.146	23036.385
592.274	23012.067
592.402	23051.788
592.530	23197.567
592.658	23107.221
592.787	23151.635
592.915	23185.587
593.043	23113.933
593.171	23199.827
593.299	23205.356
593.427	23217.596
593.555	23227.702
593.683	23206.740
593.812	23285.442
593.940	23324.173
594.068	23344.990
594.196	23321.788
594.324	23411.048
594.452	23631.827
594.580	23550.135
594.708	23589.462
594.837	23622.971
594.965	23705.971
595.093	23710.885
595.221	23867.942
595.349	23822.269
595.477	23900.087
595.605	23894.250
595.733	23910.067
595.862	23961.558
595.990	23913.538
596.118	24018.673
596.246	24100.308
596.374	24075.538
596.502	24095.837
596.630	24100.750
596.758	24140.394
596.887	24174.981
597.015	24211.990
597.143	24214.731
597.271	24161.115
597.399	24296.942
597.527	24235.375
597.655	24247.500
597.783	24257.981
597.912	24232.298
598.040	24290.385
598.168	24253.115
598.296	24183.490
598.424	24361.952
598.552	24204.654
598.680	24247.317
598.808	24313.327
598.937	24292.000
599.065	24261.096
599.193	24303.096
599.321	24284.192
599.449	24222.625
599.577	24212.279
599.705	24192.635
599.833	24170.644
599.962	24108.587
600.090	24166.990
600.218	24085.240
600.346	24116.462
600.474	24098.885
600.602	24098.058
600.730	24125.096
600.858	24179.010
600.987	24224.788
601.115	24109.212
601.243	24220.000
601.371	24252.385
601.499	24241.221
601.627	24311.971
601.755	24259.019
601.883	24282.817
602.012	24186.202
602.140	24290.538
602.268	24255.548
602.396	24443.702
602.524	24427.337
602.652	24542.923
602.780	24512.490
602.908	24584.990
603.037	24640.250
603.165	24694.712
603.293	24732.942
603.421	24759.260
603.549	24816.904
603.677	24872.731
603.805	24994.385
603.933	24994.731
604.062	25127.308
604.190	25245.115
604.318	25231.433
604.446	25208.894
604.574	25352.087
604.702	25367.721
604.830	25413.952
604.958	25492.442
605.087	25565.990
605.215	25714.779
605.343	25830.317
605.471	25823.837
605.599	25863.202
605.727	26045.702
605.855	26047.577
605.983	26046.087
606.112	26157.413
606.240	26147.433
606.368	26193.933
606.496	26179.567
606.624	26293.952
606.752	26217.817
606.880	26327.981
607.008	26324.337
607.137	26328.202
607.265	26439.385
607.393	26443.894
607.521	26478.587
607.649	26440.683
607.777	26415.433
607.905	26434.346
608.033	26401.394
608.162	26390.856
608.290	26397.250
608.418	26499.048
608.546	26510.365
608.674	26537.231
608.802	26391.721
608.930	26420.029
609.058	26398.750
609.187	26419.798
609.315	26330.269
609.443	26352.212
609.571	26424.923
609.699	26243.654
609.827	26289.115
609.955	26300.298
610.083	26202.452
610.212	26207.433
610.340	26170.500
610.468	26183.462
610.596	26109.423
610.724	26066.154
610.852	26145.327
610.980	26139.490
611.108	26112.029
611.237	26084.038
611.365	26105.000
611.493	26057.192
611.621	26062.740
611.749	26130.481
611.877	26112.250
612.005	26144.471
612.133	26118.500
612.262	26167.375
612.390	26213.837
612.518	26238.269
612.646	26260.269
612.774	26310.971
612.902	26325.558
613.030	26326.077
613.158	26317.798
613.287	26405.288
613.415	26327.462
613.543	26340.712
613.671	26399.154
613.799	26433.125
613.927	26511.029
614.055	26611.769
614.183	26566.058
614.312	26578.587
614.440	26758.240
614.568	26729.442
614.696	26812.019
614.824	26817.442
614.952	26877.519
615.080	26917.183
615.208	27004.471
615.337	27077.760
615.465	27038.817
615.593	27113.721
615.721	27094.769
615.849	27215.875
615.977	27228.798
616.105	27241.942
616.233	27361.760
616.362	27417.260
616.490	27454.769
616.618	27531.212
616.746	27613.990
616.874	27635.096
617.002	27703.558
617.130	27700.875
617.258	27647.837
617.387	27710.817
617.515	27765.673
617.643	27787.317
617.771	27834.923
617.899	27754.760
618.027	27834.279
618.155	27841.712
618.283	27853.433
618.412	27920.000
618.540	28029.250
618.668	27942.615
618.796	27954.625
618.924	27914.644
619.052	27946.375
619.180	27888.067
619.308	27853.529
619.437	27849.913
619.565	27894.923
619.693	27880.288
619.821	27901.317
619.949	27868.846
620.077	27867.385
620.205	27866.500
620.333	27881.106
620.462	27826.500
620.590	27898.433
620.718	27869.000
620.846	27918.183
620.974	27892.308
621.102	27888.288
621.230	27851.010
621.358	27962.798
621.487	27830.760
621.615	27798.952
621.743	27713.692
621.871	27760.615
621.999	27678.548
622.127	27688.038
622.255	27714.077
622.383	27640.865
622.512	27602.769
622.640	27612.308
622.768	27667.346
622.896	27703.846
623.024	27651.596
623.152	27585.952
623.280	27658.683
623.408	27646.038
623.537	27703.413
623.665	27563.654
623.793	27701.635
623.921	27612.471
624.049	27581.644
624.177	27561.394
624.305	27539.779
624.433	27504.529
624.562	27514.346
624.690	27605.106
624.818	27368.404
624.946	27361.135
625.074	27414.663
625.202	27364.462
625.330	27408.221
625.458	27515.654
625.587	27418.452
625.715	27437.163
625.843	27420.308
625.971	27460.885
626.099	27435.942
626.227	27411.923
626.355	27357.750
626.483	27402.260
626.612	27411.846
626.740	27478.740
626.868	27450.433
626.996	27475.519
627.124	27386.808
627.252	27385.385
627.380	27416.942
627.508	27389.192
627.637	27412.058
627.765	27510.644
627.893	27473.933
628.021	27532.135
628.149	27422.375
628.277	27514.635
628.405	27517.692
628.533	27490.192
628.662	27468.856
628.790	27629.115
628.918	27596.308
629.046	27721.288
629.174	27594.375
629.302	27692.048
629.430	27597.981
629.558	27691.087
629.687	27681.913
629.815	27727.587
629.943	27864.269
630.071	27826.788
630.199	27845.894
630.327	27844.106
630.455	27870.279
630.583	27854.625
630.712	27862.808
630.840	27941.712
630.968	27938.894
631.096	27960.692
631.224	27972.327
631.352	28098.750
631.480	28034.971
631.608	28184.625
631.737	28079.971
631.865	28139.654
631.993	28145.769
632.121	28315.635
632.249	28161.317
632.377	28178.846
632.505	28149.654
632.633	28212.904
632.762	28107.173
632.890	28167.519
633.018	28147.279
633.146	28085.067
633.274	28067.317
633.402	28145.654
633.530	28075.683
633.658	28065.837
633.787	28057.894
633.915	28031.471
634.043	28067.010
634.171	28042.433
634.299	28051.356
634.427	27957.163
634.555	28170.740
634.683	27984.202
634.812	27908.106
634.940	27814.712
635.068	27831.096
635.196	27780.500
635.324	27758.019
635.452	27728.673
635.580	27797.692
635.708	27657.442
635.837	27650.606
635.965	27597.106
636.093	27548.567
636.221	27457.308
636.349	27408.144
636.477	27327.154
636.605	27295.231
636.733	27284.856
636.862	27237.779
636.990	27197.904
637.118	27131.529
637.246	27030.029
637.374	27145.394
637.502	26901.567
637.630	26842.038
637.758	26856.663
637.887	26781.856
638.015	26860.154
638.143	26764.269
638.271	26599.163
638.399	26624.077
638.527	26579.144
638.655	26525.538
638.783	26455.875
638.912	26494.375
639.040	26363.981
639.168	26269.288
639.296	26213.894
639.424	26305.471
639.552	26261.442
639.680	26265.221
639.808	26123.144
639.937	26081.231
640.065	26124.308
640.193	26083.740
640.321	26135.913
640.449	26134.635
640.577	26017.798
640.705	26037.577
640.833	26004.096
640.962	26060.288
641.090	25890.904
641.218	25906.077
641.346	25955.913
641.474	25937.462
641.602	25864.135
641.730	25880.942
641.858	25880.010
641.987	25847.923
642.115	26006.904
642.243	25806.019
642.371	25915.202
642.499	25770.346
642.627	25775.567
642.755	25748.500
642.883	25732.596
643.012	25726.135
643.140	25778.337
643.268	25752.000
643.396	25675.760
643.524	25683.433
643.652	25775.510
643.780	25645.279
643.908	25628.298
644.037	25764.212
644.165	25735.712
644.293	25802.712
644.421	25598.096
644.549	25611.894
644.677	25614.558
644.805	25514.875
644.933	25489.798
645.062	25546.673
645.190	25656.135
645.318	25565.538
645.446	25433.010
645.574	25455.067
645.702	25512.606
645.830	25442.615
645.958	25421.163
646.087	25362.596
646.215	25352.913
646.343	25325.106
646.471	25480.288
646.599	25309.269
646.727	25303.625
646.855	25272.827
646.983	25231.567
647.112	25232.625
647.240	25201.250
647.368	25207.567
647.496	25170.702
647.624	25143.183
647.752	25069.702
647.880	25027.779
648.008	25017.683
648.137	25092.606
648.265	25025.077
648.393	25070.212
648.521	24893.260
648.649	25024.731
648.777	24915.269
648.905	24802.702
649.033	24834.212
649.162	24702.990
649.290	24587.740
649.418	24578.587
649.546	24744.067
649.674	24568.731
649.802	24520.885
649.930	24403.846
650.058	24359.115
650.187	24390.625
650.315	24302.106
650.443	24250.452
650.571	24172.644
650.699	24121.173
650.827	24031.827
650.955	24027.327
651.083	24029.067
651.212	23905.163
651.340	23904.000
651.468	23830.269
651.596	23771.606
651.724	23762.942
651.852	23653.692
651.980	23621.500
