lambda[nm],I_Ref_Start[au],I_Ref_Stop[au],I_Ref_Mean[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
585.996,10837.602,9064.683,9951.142500000002,192.989,9845.673,19644.375,22530.01,12772.904,9069.75,10354.625,11426.683,10556.587,10523.279,9771.529,9329.279,13469.337,9471.529,11310.394,9940.673,10162.798
586.124,10618.774,8862.404,9740.589,157.935,9656.615,19332.221,21863.346,12533.51,8902.231,10139.875,11203.625,10353.308,10318.154,9575.702,9134.788,13205.442,9276.356,11103.538,9753.337,9979.971
586.252,10568.312,8876.558,9722.435000000001,167.333,9646.529,19319.394,21825.048,12553.692,8899.077,10101.087,11172.135,10371.279,10319.058,9577.202,9103.308,13198.952,9256.587,11073.587,9732.798,9944.269
586.38,10599.0,8858.971,9728.985499999999,166.355,9694.433,19299.692,21975.923,12582.048,8915.462,10153.615,11233.481,10402.327,10327.24,9597.971,9157.942,13220.183,9290.75,11113.51,9737.827,9949.394
586.508,10656.806,8912.413,9784.6095,149.065,9695.788,19417.846,21996.087,12616.413,8957.231,10192.375,11253.404,10419.337,10386.019,9603.327,9169.087,13238.74,9318.337,11142.837,9790.721,9972.596
586.637,10751.398,8987.615,9869.5065,162.215,9770.394,19485.327,22155.442,12723.558,9016.788,10254.029,11371.375,10507.663,10487.692,9706.49,9227.654,13339.875,9413.644,11243.49,9870.615,10079.413
586.765,10654.129,8946.846,9800.4875,150.957,9748.375,19450.077,22143.49,12680.74,9012.106,10220.442,11314.385,10468.087,10419.981,9672.231,9205.144,13327.808,9373.192,11162.096,9831.192,10020.519
586.893,10705.409,8961.933,9833.671,154.602,9787.394,19474.01,22194.327,12717.077,9018.404,10235.067,11393.087,10485.154,10465.154,9691.615,9216.817,13328.019,9410.519,11190.635,9890.481,10039.654
587.021,10761.656,8994.308,9877.982,155.505,9790.606,19568.423,22203.077,12735.712,9073.048,10307.01,11395.625,10559.635,10522.567,9743.654,9261.817,13373.106,9437.529,11250.76,9911.606,10125.779
587.149,10766.699,8999.106,9882.9025,159.376,9781.221,19604.019,22347.048,12750.673,9049.394,10300.135,11431.423,10583.519,10523.385,9746.317,9267.606,13355.548,9424.308,11232.394,9912.692,10084.356
