lambda[nm],I_Ref_Start[au],I_Ref_Stop[au],I_Ref_Mean[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
585.996,26817.892,22797.279,24807.5855,192.989,24726.413,45696.654,36190.173,32073.5,23588.875,27021.231,30264.712,28565.817,26335.26,24443.942,23460.625,34913.029,24518.5,28728.067,25640.731,25507.567
586.124,26332.871,22428.933,24380.902000000002,157.935,24373.269,44190.923,35782.019,31486.625,23244.702,26530.673,29831.019,28129.942,25892.048,24027.308,23060.096,34396.548,24170.077,28253.567,25221.683,25074.625
586.252,26328.301,22400.144,24364.2225,167.333,24336.827,44187.221,35799.365,31491.327,23194.808,26564.942,29798.827,28164.567,25947.923,24040.25,23068.404,34321.212,24137.635,28185.798,25237.615,25028.885
586.38,26451.645,22386.942,24419.2935,166.355,24391.163,44362.548,35936.106,31597.827,23247.615,26675.077,29782.183,28150.577,25928.413,24110.192,23133.308,34312.808,24152.038,28307.99,25258.962,25105.933
586.508,26467.161,22474.51,24470.8355,149.065,24491.106,44514.413,36048.692,31680.788,23328.971,26783.779,29937.635,28261.5,26056.067,24202.183,23180.173,34442.019,24274.837,28436.635,25373.221,25210.519
586.637,26598.355,22619.087,24608.720999999998,162.215,24604.337,44764.096,36194.529,31781.788,23441.683,26877.24,30120.769,28424.24,26183.683,24326.106,23330.356,34595.308,24392.308,28517.5,25484.885,25298.24
586.765,26607.151,22625.625,24616.388,150.957,24601.798,44803.279,36140.202,31855.462,23445.663,26935.231,30160.404,28392.356,26276.231,24360.971,23350.106,34646.144,24455.673,28601.654,25481.269,25391.615
586.893,26672.57,22637.385,24654.9775,154.602,24683.683,44961.029,36268.471,31891.933,23510.01,27026.019,30285.394,28539.519,26340.346,24403.702,23372.702,34667.577,24450.462,28618.385,25542.337,25389.442
587.021,26681.28,22744.894,24713.087,155.505,24669.423,44909.25,36291.308,31892.567,23555.529,27073.769,30245.731,28554.635,26376.702,24458.394,23443.019,34676.673,24507.942,28633.567,25550.558,25468.125
587.149,26789.065,22788.404,24788.7345,159.376,24709.788,45171.856,36439.885,32045.144,23598.26,27110.173,30358.663,28663.558,26413.5,24524.885,23517.125,34761.269,24552.202,28714.24,25692.971,25546.654
