sample1u_at_750.00nm_cut_at_1200.50Y_01.dat
19.06.2023
10:47:04
cut middle at Y: 1200.50
top cursor: 1249 down cursor: 1152 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	3235.371
586.124	3117.433
586.252	3090.876
586.380	3122.134
586.508	3124.216
586.637	3151.000
586.765	3102.876
586.893	3117.351
587.021	3189.010
587.149	3119.412
587.277	3121.856
587.405	3128.608
587.533	3154.680
587.662	3221.258
587.790	3166.186
587.918	3169.072
588.046	3144.680
588.174	3167.052
588.302	3168.041
588.430	3155.845
588.558	3192.000
588.687	3189.814
588.815	3166.485
588.943	3195.041
589.071	3155.557
589.199	3201.804
589.327	3202.515
589.455	3296.660
589.583	3245.835
589.712	3214.887
589.840	3202.216
589.968	3213.567
590.096	3217.928
590.224	3198.701
590.352	3227.175
590.480	3187.216
590.608	3241.928
590.737	3226.175
590.865	3359.639
590.993	3212.216
591.121	3293.515
591.249	3245.309
591.377	3221.907
591.505	3372.804
591.633	3278.742
591.762	3244.742
591.890	3259.258
592.018	3383.351
592.146	3248.959
592.274	3288.619
592.402	3254.670
592.530	3464.732
592.658	3331.557
592.787	3306.247
592.915	3349.443
593.043	3274.701
593.171	3312.186
593.299	3316.505
593.427	3316.134
593.555	3331.753
593.683	3345.557
593.812	3332.794
593.940	3341.175
594.068	3330.392
594.196	3323.340
594.324	3358.010
594.452	3548.309
594.580	3375.773
594.708	3431.866
594.837	3394.175
594.965	3485.351
595.093	3385.072
595.221	3441.474
595.349	3423.031
595.477	3442.052
595.605	3442.474
595.733	3462.753
595.862	3480.505
595.990	3500.660
596.118	3539.392
596.246	3589.010
596.374	3485.515
596.502	3494.062
596.630	3513.577
596.758	3504.835
596.887	3508.711
597.015	3509.062
597.143	3537.227
597.271	3543.443
597.399	3558.278
597.527	3517.495
597.655	3536.237
597.783	3535.412
597.912	3543.577
598.040	3550.289
598.168	3526.990
598.296	3477.093
598.424	3685.660
598.552	3518.381
598.680	3525.701
598.808	3553.093
598.937	3525.990
599.065	3539.814
599.193	3594.629
599.321	3561.309
599.449	3528.577
599.577	3552.412
599.705	3583.536
599.833	3540.000
599.962	3520.227
600.090	3579.206
600.218	3581.990
600.346	3548.320
600.474	3541.753
600.602	3531.567
600.730	3522.340
600.858	3536.907
600.987	3593.629
601.115	3568.649
601.243	3631.763
601.371	3664.856
601.499	3657.639
601.627	3612.155
601.755	3603.742
601.883	3675.144
602.012	3583.763
602.140	3683.433
602.268	3647.371
602.396	3775.814
602.524	3635.928
602.652	3712.825
602.780	3680.299
602.908	3707.753
603.037	3736.918
603.165	3745.691
603.293	3737.969
603.421	3738.454
603.549	3769.773
603.677	3803.258
603.805	3773.402
603.933	3784.330
604.062	3831.206
604.190	3842.629
604.318	3850.258
604.446	3824.639
604.574	3917.021
604.702	3943.825
604.830	3887.649
604.958	3888.175
605.087	3929.928
605.215	3948.835
605.343	4027.639
605.471	3953.103
605.599	3990.412
605.727	4043.165
605.855	3974.186
605.983	4018.495
606.112	4039.423
606.240	4047.938
606.368	4034.959
606.496	4007.567
606.624	4117.340
606.752	4048.990
606.880	4100.784
607.008	4032.722
607.137	4052.000
607.265	4142.124
607.393	4071.093
607.521	4161.763
607.649	4086.711
607.777	4104.742
607.905	4129.361
608.033	4076.773
608.162	4150.247
608.290	4113.536
608.418	4232.546
608.546	4197.959
608.674	4204.309
608.802	4145.485
608.930	4149.990
609.058	4105.144
609.187	4117.165
609.315	4135.814
609.443	4137.309
609.571	4266.340
609.699	4139.567
609.827	4248.557
609.955	4188.773
610.083	4135.381
610.212	4148.660
610.340	4169.320
