sample12h_at_750.00nm_cut_at_1060.50Y_01.dat
19.06.2023
11:18:38
cut middle at Y: 1060.50
top cursor: 1109 down cursor: 1012 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	837.000
586.124	814.052
586.252	813.629
586.380	815.649
586.508	818.474
586.637	818.619
586.765	823.825
586.893	820.588
587.021	826.505
587.149	825.928
587.277	826.495
587.405	826.082
587.533	825.948
587.662	822.784
587.790	830.701
587.918	830.155
588.046	830.175
588.174	827.732
588.302	834.639
588.430	830.897
588.558	838.557
588.687	836.186
588.815	845.134
588.943	844.072
589.071	835.742
589.199	841.670
589.327	838.876
589.455	840.938
589.583	849.680
589.712	852.041
589.840	853.361
589.968	854.237
590.096	848.866
590.224	855.680
590.352	851.454
590.480	853.938
590.608	867.588
590.737	854.175
590.865	860.351
590.993	861.289
591.121	853.124
591.249	852.701
591.377	855.309
591.505	857.495
591.633	861.866
591.762	869.567
591.890	874.660
592.018	865.598
592.146	870.072
592.274	870.206
592.402	865.485
592.530	868.845
592.658	868.196
592.787	868.361
592.915	871.495
593.043	869.474
593.171	861.041
593.299	881.825
593.427	876.000
593.555	877.845
593.683	871.454
593.812	881.814
593.940	884.557
594.068	875.402
594.196	890.536
594.324	885.412
594.452	898.464
594.580	896.031
594.708	894.763
594.837	890.330
594.965	897.515
595.093	890.485
595.221	894.536
595.349	898.216
595.477	903.196
595.605	902.505
595.733	916.010
595.862	908.629
595.990	904.206
596.118	904.938
596.246	923.928
596.374	913.041
596.502	917.969
596.630	915.742
596.758	923.938
596.887	922.639
597.015	921.454
597.143	911.557
597.271	915.588
597.399	920.103
597.527	923.485
597.655	924.959
597.783	928.041
597.912	927.536
598.040	918.804
598.168	919.794
598.296	924.773
598.424	926.907
598.552	929.155
598.680	924.278
598.808	924.072
598.937	936.165
599.065	940.206
599.193	930.361
599.321	928.835
599.449	931.608
599.577	926.670
599.705	926.351
599.833	933.639
599.962	925.619
600.090	929.835
600.218	923.959
600.346	938.546
600.474	931.031
600.602	940.485
600.730	934.567
600.858	938.722
600.987	931.082
601.115	935.258
601.243	934.608
601.371	947.227
601.499	937.206
601.627	935.763
601.755	945.835
601.883	949.619
602.012	952.536
602.140	950.660
602.268	954.567
602.396	956.031
602.524	947.052
602.652	962.701
602.780	956.619
602.908	962.361
603.037	971.381
603.165	963.536
603.293	986.856
603.421	975.546
603.549	971.825
603.677	980.082
603.805	972.577
603.933	979.742
604.062	983.072
604.190	987.649
604.318	988.876
604.446	999.052
604.574	999.320
604.702	999.990
604.830	997.680
604.958	1003.454
605.087	1013.165
605.215	1006.732
605.343	1017.309
605.471	1029.113
605.599	1013.866
605.727	1022.433
605.855	1015.268
605.983	1026.639
606.112	1029.588
606.240	1028.979
606.368	1025.505
606.496	1021.237
606.624	1032.515
606.752	1023.948
606.880	1039.175
607.008	1038.742
607.137	1032.938
607.265	1034.598
607.393	1040.247
607.521	1037.536
607.649	1027.588
607.777	1035.639
607.905	1039.289
608.033	1047.763
608.162	1039.144
608.290	1044.598
608.418	1056.639
608.546	1046.567
608.674	1059.536
608.802	1053.928
608.930	1049.381
609.058	1046.680
609.187	1056.103
609.315	1044.155
609.443	1041.536
609.571	1049.691
609.699	1038.392
609.827	1039.763
609.955	1047.948
610.083	1045.124
610.212	1045.619
610.340	1047.041
610.468	1050.351
610.596	1058.588
610.724	1054.196
610.852	1054.216
610.980	1060.948
611.108	1058.175
611.237	1049.845
611.365	1054.639
611.493	1053.247
611.621	1058.990
611.749	1064.289
611.877	1057.165
612.005	1058.464
612.133	1063.577
612.262	1059.423
612.390	1063.959
612.518	1066.887
612.646	1062.814
612.774	1073.320
612.902	1070.866
613.030	1076.918
613.158	1076.144
613.287	1080.835
613.415	1075.124
613.543	1081.814
613.671	1088.845
613.799	1085.639
613.927	1084.021
614.055	1090.938
614.183	1094.753
614.312	1089.598
614.440	1095.330
614.568	1093.289
614.696	1098.959
614.824	1110.784
614.952	1105.052
615.080	1104.309
615.208	1113.495
615.337	1114.670
615.465	1114.206
615.593	1127.577
615.721	1112.165
615.849	1124.474
615.977	1120.258
616.105	1123.000
616.233	1119.588
616.362	1129.887
616.490	1121.196
616.618	1125.835
616.746	1128.835
616.874	1132.454
617.002	1133.206
617.130	1141.959
617.258	1137.299
617.387	1134.309
617.515	1137.876
617.643	1139.392
617.771	1143.464
617.899	1144.433
618.027	1143.175
618.155	1141.134
618.283	1131.443
618.412	1142.299
618.540	1149.371
618.668	1146.567
618.796	1141.113
618.924	1157.381
619.052	1148.515
619.180	1153.299
619.308	1156.103
619.437	1161.381
619.565	1155.639
619.693	1155.866
619.821	1164.340
619.949	1161.031
620.077	1156.423
620.205	1167.990
620.333	1168.031
620.462	1179.536
620.590	1174.361
620.718	1175.753
620.846	1162.804
620.974	1185.052
621.102	1177.381
621.230	1175.763
621.358	1180.402
621.487	1183.206
621.615	1180.361
621.743	1185.031
621.871	1183.814
621.999	1169.103
622.127	1191.495
622.255	1178.247
622.383	1180.134
622.512	1197.052
622.640	1185.670
622.768	1191.227
622.896	1182.258
623.024	1191.320
623.152	1197.423
623.280	1193.289
623.408	1190.794
623.537	1202.247
623.665	1198.268
623.793	1202.320
623.921	1199.227
624.049	1202.320
624.177	1205.227
624.305	1199.794
624.433	1196.320
624.562	1203.186
624.690	1201.113
624.818	1200.134
624.946	1208.402
625.074	1197.649
625.202	1209.680
625.330	1204.443
625.458	1203.237
625.587	1199.784
625.715	1212.639
625.843	1211.670
625.971	1211.351
626.099	1204.794
626.227	1206.804
626.355	1212.969
626.483	1219.887
626.612	1219.031
626.740	1213.907
626.868	1206.186
626.996	1227.701
627.124	1213.144
627.252	1212.536
627.380	1222.608
627.508	1214.588
627.637	1219.402
627.765	1228.021
627.893	1230.072
628.021	1225.268
628.149	1237.485
628.277	1236.093
628.405	1230.588
628.533	1233.113
628.662	1234.351
628.790	1233.784
628.918	1239.010
629.046	1229.825
629.174	1231.258
629.302	1239.330
629.430	1242.670
629.558	1242.567
629.687	1245.876
629.815	1254.186
629.943	1245.773
630.071	1243.897
630.199	1259.021
630.327	1247.052
630.455	1245.206
630.583	1265.825
630.712	1259.371
630.840	1254.948
630.968	1265.670
631.096	1270.773
631.224	1266.278
631.352	1268.577
631.480	1264.412
631.608	1271.103
631.737	1266.660
631.865	1294.309
631.993	1264.907
632.121	1271.361
632.249	1284.990
632.377	1274.763
632.505	1277.907
632.633	1274.680
632.762	1283.794
632.890	1283.557
633.018	1282.474
633.146	1293.330
633.274	1283.866
633.402	1288.485
633.530	1292.588
633.658	1296.887
633.787	1277.515
633.915	1294.660
634.043	1296.299
634.171	1292.804
634.299	1294.938
634.427	1286.670
634.555	1294.670
634.683	1307.567
634.812	1291.268
634.940	1302.021
635.068	1296.557
635.196	1298.134
635.324	1313.753
635.452	1303.928
635.580	1299.691
635.708	1300.773
635.837	1301.887
635.965	1288.320
636.093	1295.938
636.221	1291.144
636.349	1288.649
636.477	1285.619
636.605	1288.825
636.733	1293.258
636.862	1292.165
636.990	1295.258
637.118	1301.588
637.246	1285.052
637.374	1302.072
637.502	1284.680
637.630	1290.794
637.758	1278.546
637.887	1296.742
638.015	1289.784
638.143	1302.680
638.271	1293.629
638.399	1303.381
638.527	1286.742
638.655	1287.196
638.783	1298.856
638.912	1302.340
639.040	1287.588
639.168	1284.835
639.296	1295.392
639.424	1289.691
639.552	1295.804
639.680	1296.845
639.808	1285.680
639.937	1294.660
640.065	1295.753
640.193	1303.155
640.321	1296.773
640.449	1304.959
640.577	1299.299
640.705	1295.412
640.833	1295.649
640.962	1308.062
641.090	1304.062
641.218	1303.031
641.346	1306.969
641.474	1307.258
641.602	1301.856
641.730	1315.062
641.858	1316.814
641.987	1316.887
642.115	1318.330
642.243	1321.031
642.371	1329.732
642.499	1315.887
642.627	1319.701
642.755	1317.454
642.883	1339.845
643.012	1326.351
643.140	1328.711
643.268	1342.072
643.396	1341.247
643.524	1339.381
643.652	1339.268
643.780	1336.031
643.908	1334.753
644.037	1334.021
644.165	1342.546
644.293	1360.485
644.421	1352.186
644.549	1351.402
644.677	1367.515
644.805	1354.320
644.933	1352.887
645.062	1357.629
645.190	1345.763
645.318	1345.134
645.446	1376.268
645.574	1355.330
645.702	1376.423
645.830	1363.825
645.958	1368.763
646.087	1365.113
646.215	1372.320
646.343	1379.309
646.471	1377.660
646.599	1378.918
646.727	1366.216
646.855	1369.722
646.983	1393.082
647.112	1378.969
647.240	1384.753
647.368	1373.412
647.496	1382.196
647.624	1369.629
647.752	1384.897
647.880	1382.814
648.008	1384.639
648.137	1375.103
648.265	1383.608
648.393	1385.763
648.521	1384.268
648.649	1383.144
648.777	1374.918
648.905	1383.041
649.033	1375.928
649.162	1379.505
649.290	1386.887
649.418	1370.969
649.546	1373.608
649.674	1378.897
649.802	1377.897
649.930	1371.474
650.058	1383.588
650.187	1381.072
650.315	1387.814
650.443	1378.608
650.571	1378.258
650.699	1382.629
650.827	1398.505
650.955	1377.619
651.083	1379.103
651.212	1379.371
651.340	1386.402
651.468	1393.649
651.596	1393.557
651.724	1383.959
651.852	1369.010
651.980	1383.948
652.108	1398.887
652.237	1384.175
652.365	1390.464
652.493	1385.278
652.621	1390.165
652.749	1383.680
652.877	1383.247
653.005	1396.536
653.133	1392.124
653.262	1394.742
653.390	1396.010
653.518	1390.907
653.646	1399.206
653.774	1398.351
653.902	1421.381
654.030	1385.763
654.158	1392.979
654.287	1400.443
654.415	1388.144
654.543	1399.742
654.671	1391.701
654.799	1397.144
654.927	1393.134
655.055	1389.021
655.183	1395.979
655.312	1398.165
655.440	1389.804
655.568	1402.505
655.696	1397.423
655.824	1410.825
655.952	1393.041
656.080	1394.258
656.208	1406.433
656.337	1395.557
656.465	1410.505
656.593	1415.113
656.721	1405.278
656.849	1408.278
656.977	1400.433
657.105	1406.649
657.233	1399.113
657.362	1405.402
657.490	1407.268
657.618	1411.227
657.746	1410.144
657.874	1399.423
658.002	1409.402
658.130	1402.608
658.258	1416.485
658.387	1410.113
658.515	1397.990
658.643	1406.959
658.771	1411.546
658.899	1408.732
659.027	1413.546
659.155	1401.340
659.283	1401.340
659.412	1400.505
659.540	1414.062
659.668	1405.206
659.796	1398.031
659.924	1418.732
660.052	1413.845
660.180	1399.546
660.308	1422.784
660.437	1413.371
660.565	1417.804
660.693	1411.351
660.821	1420.495
660.949	1430.938
661.077	1407.990
661.205	1408.247
661.333	1417.093
661.462	1432.918
661.590	1416.691
661.718	1412.165
661.846	1426.443
661.974	1426.330
662.102	1426.289
662.230	1420.093
662.358	1425.237
662.487	1424.134
662.615	1417.515
662.743	1428.536
662.871	1430.289
662.999	1425.825
663.127	1435.052
663.255	1428.474
663.383	1438.794
663.512	1441.639
663.640	1446.825
663.768	1438.515
663.896	1425.907
664.024	1436.938
664.152	1444.711
664.280	1445.351
664.408	1435.454
664.537	1447.598
664.665	1459.031
664.793	1441.856
664.921	1442.515
665.049	1443.649
665.177	1465.928
665.305	1450.619
665.433	1454.825
665.562	1454.361
665.690	1453.237
665.818	1459.216
665.946	1452.856
666.074	1460.773
666.202	1460.165
666.330	1451.113
666.458	1459.866
666.587	1475.052
666.715	1467.773
666.843	1467.165
666.971	1462.103
667.099	1477.196
667.227	1475.227
667.355	1462.897
667.483	1465.361
667.612	1479.526
667.740	1474.619
667.868	1474.351
667.996	1475.268
668.124	1480.598
668.252	1484.309
668.380	1472.670
668.508	1491.907
668.637	1488.443
668.765	1483.536
668.893	1480.247
669.021	1478.701
669.149	1472.464
669.277	1476.206
669.405	1482.711
669.533	1491.165
669.662	1479.103
669.790	1475.588
669.918	1485.918
670.046	1475.340
670.174	1485.351
670.302	1483.794
670.430	1481.165
670.558	1476.330
670.687	1483.711
670.815	1480.412
670.943	1491.691
671.071	1478.505
671.199	1474.680
671.327	1471.278
671.455	1480.536
671.583	1477.691
671.712	1468.608
671.840	1475.732
671.968	1473.845
672.096	1481.196
672.224	1476.969
672.352	1474.711
672.480	1473.247
672.608	1466.268
672.737	1486.392
672.865	1465.825
672.993	1470.907
673.121	1467.866
673.249	1465.258
673.377	1452.639
673.505	1467.402
673.633	1456.165
673.762	1454.948
673.890	1454.237
674.018	1465.577
674.146	1451.433
674.274	1454.804
674.402	1453.845
674.530	1449.701
674.658	1456.804
674.787	1442.309
674.915	1447.567
675.043	1443.732
675.171	1436.701
675.299	1434.619
675.427	1439.629
675.555	1450.309
675.683	1435.330
675.812	1427.670
675.940	1433.381
676.068	1429.742
676.196	1421.619
676.324	1420.505
676.452	1423.711
676.580	1426.567
676.708	1429.361
676.837	1438.134
676.965	1434.845
677.093	1426.072
677.221	1434.608
677.349	1415.515
677.477	1431.402
677.605	1410.402
677.733	1421.010
677.862	1425.928
677.990	1416.423
678.118	1416.670
678.246	1408.155
678.374	1410.701
678.502	1416.340
678.630	1402.876
678.758	1412.186
678.887	1413.990
679.015	1419.247
679.143	1389.948
679.271	1411.918
679.399	1412.402
679.527	1395.722
679.655	1406.196
679.783	1394.546
679.912	1396.845
680.040	1410.113
680.168	1413.443
680.296	1386.072
680.424	1402.505
680.552	1406.485
680.680	1399.495
680.808	1388.691
680.937	1398.186
