sample16v_at_750.00nm_cut_at_1060.50Y_01.dat
19.06.2023
11:24:03
cut middle at Y: 1060.50
top cursor: 1109 down cursor: 1012 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	906.959
586.124	858.268
586.252	858.742
586.380	856.907
586.508	864.722
586.637	861.722
586.765	866.784
586.893	869.268
587.021	870.216
587.149	865.907
587.277	867.371
587.405	877.134
587.533	869.742
587.662	872.485
587.790	877.876
587.918	865.680
588.046	874.918
588.174	874.711
588.302	874.495
588.430	873.701
588.558	871.072
588.687	871.258
588.815	882.938
588.943	877.845
589.071	869.072
589.199	880.000
589.327	881.588
589.455	877.485
589.583	878.866
589.712	875.258
589.840	881.454
589.968	871.237
590.096	884.052
590.224	877.639
590.352	873.515
590.480	874.402
590.608	882.268
590.737	868.351
590.865	879.433
590.993	885.856
591.121	880.485
591.249	874.423
591.377	870.722
591.505	866.371
591.633	866.990
591.762	884.196
591.890	887.897
592.018	881.320
592.146	874.186
592.274	879.433
592.402	876.196
592.530	874.711
592.658	884.536
592.787	876.918
592.915	884.392
593.043	885.155
593.171	885.948
593.299	900.701
593.427	885.711
593.555	885.948
593.683	894.371
593.812	890.103
593.940	902.887
594.068	900.144
594.196	918.402
594.324	903.227
594.452	909.258
594.580	907.990
594.708	906.031
594.837	912.351
594.965	915.887
595.093	919.557
595.221	914.948
595.349	922.155
595.477	917.794
595.605	920.320
595.733	933.175
595.862	925.196
595.990	933.474
596.118	932.381
596.246	941.268
596.374	932.784
596.502	948.082
596.630	947.979
596.758	939.196
596.887	943.856
597.015	950.876
597.143	944.330
597.271	949.454
597.399	942.155
597.527	949.010
597.655	946.206
597.783	952.474
597.912	952.907
598.040	954.773
598.168	947.876
598.296	933.876
598.424	941.948
598.552	947.794
598.680	941.546
598.808	940.093
598.937	943.237
599.065	950.299
599.193	938.670
599.321	930.856
599.449	937.948
599.577	941.443
599.705	940.062
599.833	940.598
599.962	940.722
600.090	942.701
600.218	935.876
600.346	941.021
600.474	945.351
600.602	948.082
600.730	949.052
600.858	949.464
600.987	941.309
601.115	940.835
601.243	937.732
601.371	941.825
601.499	948.155
601.627	944.216
601.755	953.165
601.883	950.361
602.012	957.732
602.140	951.186
602.268	959.237
602.396	947.165
602.524	962.052
602.652	967.608
602.780	972.485
602.908	968.031
603.037	977.361
603.165	978.093
603.293	986.402
603.421	986.278
603.549	991.052
603.677	993.701
603.805	984.433
603.933	996.175
604.062	1001.206
604.190	1007.845
604.318	1012.124
604.446	1005.660
604.574	1011.897
604.702	1009.773
604.830	1010.155
604.958	1021.784
605.087	1025.340
605.215	1029.021
605.343	1033.691
605.471	1042.144
605.599	1040.515
605.727	1041.979
605.855	1039.464
605.983	1045.990
606.112	1046.412
606.240	1055.907
606.368	1051.804
606.496	1053.856
606.624	1052.794
606.752	1057.278
606.880	1047.794
607.008	1052.918
607.137	1058.000
607.265	1059.423
607.393	1072.206
607.521	1059.072
607.649	1062.804
607.777	1057.763
607.905	1060.505
608.033	1065.763
608.162	1058.144
608.290	1065.309
608.418	1061.392
608.546	1060.155
608.674	1063.000
608.802	1058.907
608.930	1064.299
609.058	1056.938
609.187	1060.443
609.315	1054.361
609.443	1055.423
609.571	1057.381
609.699	1058.041
609.827	1055.423
609.955	1058.278
610.083	1055.155
610.212	1053.072
610.340	1056.196
610.468	1057.876
610.596	1065.588
610.724	1063.536
610.852	1060.814
610.980	1054.918
611.108	1059.433
611.237	1062.680
611.365	1062.876
611.493	1062.588
611.621	1064.639
611.749	1076.454
611.877	1061.680
612.005	1073.722
612.133	1069.701
612.262	1079.990
612.390	1072.804
612.518	1071.000
612.646	1076.639
612.774	1087.113
612.902	1086.732
613.030	1080.010
613.158	1089.258
613.287	1091.443
613.415	1093.082
613.543	1093.711
613.671	1097.474
613.799	1091.835
613.927	1100.495
614.055	1107.722
614.183	1102.701
614.312	1105.196
614.440	1107.773
614.568	1108.577
614.696	1122.124
614.824	1125.670
614.952	1120.309
615.080	1137.216
615.208	1128.340
615.337	1136.021
615.465	1131.979
615.593	1137.557
615.721	1143.897
615.849	1141.990
615.977	1144.876
616.105	1145.619
616.233	1162.742
616.362	1155.320
616.490	1147.247
616.618	1156.278
616.746	1144.969
616.874	1164.495
617.002	1164.629
617.130	1167.495
617.258	1155.093
617.387	1153.289
617.515	1172.309
617.643	1168.876
617.771	1173.794
617.899	1167.557
618.027	1158.031
618.155	1170.227
618.283	1166.979
618.412	1172.732
618.540	1178.289
618.668	1175.505
618.796	1163.567
618.924	1174.134
619.052	1173.588
619.180	1176.588
619.308	1181.619
619.437	1173.691
619.565	1185.289
619.693	1176.392
619.821	1175.866
619.949	1177.155
620.077	1176.804
620.205	1178.144
620.333	1178.206
620.462	1194.577
620.590	1184.052
620.718	1179.763
620.846	1184.216
620.974	1181.536
621.102	1184.021
621.230	1185.701
621.358	1188.835
621.487	1179.505
621.615	1182.351
621.743	1189.454
621.871	1192.515
621.999	1179.495
622.127	1191.505
622.255	1197.619
622.383	1183.918
622.512	1191.567
622.640	1185.258
622.768	1189.557
622.896	1184.454
623.024	1180.691
623.152	1183.371
623.280	1178.124
623.408	1185.505
623.537	1186.093
623.665	1194.619
623.793	1188.423
623.921	1182.041
624.049	1183.134
624.177	1188.897
624.305	1188.526
624.433	1185.227
624.562	1182.155
624.690	1174.454
624.818	1177.093
624.946	1181.557
625.074	1173.144
625.202	1185.742
625.330	1183.371
625.458	1189.485
625.587	1183.423
625.715	1180.021
625.843	1179.588
625.971	1189.237
626.099	1187.392
626.227	1193.567
626.355	1172.794
626.483	1194.814
626.612	1180.082
626.740	1179.351
626.868	1191.485
626.996	1193.660
627.124	1183.351
627.252	1184.680
627.380	1192.969
627.508	1191.495
627.637	1188.258
627.765	1196.268
627.893	1202.237
628.021	1188.784
628.149	1199.515
628.277	1205.526
628.405	1200.691
628.533	1206.794
628.662	1195.598
628.790	1216.577
628.918	1208.216
629.046	1206.825
629.174	1208.639
629.302	1216.278
629.430	1210.515
629.558	1221.464
629.687	1219.237
629.815	1210.485
629.943	1225.021
630.071	1218.464
630.199	1229.784
630.327	1218.134
630.455	1222.206
630.583	1224.268
630.712	1227.907
630.840	1227.330
630.968	1232.165
631.096	1244.588
631.224	1232.186
631.352	1229.887
631.480	1227.918
631.608	1235.845
631.737	1236.093
631.865	1240.722
631.993	1237.629
632.121	1238.876
632.249	1238.660
632.377	1243.577
632.505	1236.804
632.633	1231.619
632.762	1237.031
632.890	1247.175
