whiteu_at_750.00nm_cut_at_1060.50Y_01.dat
19.06.2023
11:24:58
cut middle at Y: 1060.50
top cursor: 1109 down cursor: 1012 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	1554.093
586.124	1505.423
586.252	1493.577
586.380	1498.959
586.508	1492.753
586.637	1506.093
586.765	1500.021
586.893	1503.845
587.021	1507.701
587.149	1513.629
587.277	1517.010
587.405	1515.299
587.533	1498.804
587.662	1513.021
587.790	1513.928
587.918	1508.093
588.046	1517.443
588.174	1523.722
588.302	1522.021
588.430	1516.670
588.558	1518.175
588.687	1519.845
588.815	1543.804
588.943	1532.175
589.071	1522.196
589.199	1520.649
589.327	1517.691
589.455	1518.392
589.583	1532.299
589.712	1540.010
589.840	1524.289
589.968	1527.495
590.096	1539.371
590.224	1533.660
590.352	1533.082
590.480	1537.711
590.608	1541.515
590.737	1516.938
590.865	1539.021
590.993	1541.546
591.121	1535.979
591.249	1537.165
591.377	1539.474
591.505	1529.361
591.633	1532.691
591.762	1548.845
591.890	1536.206
592.018	1532.546
592.146	1536.423
592.274	1550.649
592.402	1535.711
592.530	1532.464
592.658	1533.990
592.787	1536.155
592.915	1542.186
593.043	1553.289
593.171	1528.711
593.299	1545.340
593.427	1550.402
593.555	1541.206
593.683	1536.959
593.812	1547.629
593.940	1558.144
594.068	1558.371
594.196	1567.165
594.324	1560.186
594.452	1577.557
594.580	1569.763
594.708	1574.639
594.837	1558.856
594.965	1580.165
595.093	1585.371
595.221	1581.928
595.349	1578.660
595.477	1594.577
595.605	1579.124
595.733	1613.629
595.862	1590.784
595.990	1595.082
596.118	1594.835
596.246	1596.505
596.374	1593.124
596.502	1616.082
596.630	1615.165
596.758	1614.866
596.887	1611.299
597.015	1628.835
597.143	1590.959
597.271	1607.278
597.399	1611.031
597.527	1625.732
597.655	1623.918
597.783	1615.433
597.912	1616.175
598.040	1604.732
598.168	1593.598
598.296	1619.845
598.424	1615.763
598.552	1605.763
598.680	1589.948
598.808	1618.969
598.937	1607.454
599.065	1610.691
599.193	1604.866
599.321	1583.928
599.449	1600.969
599.577	1602.876
599.705	1607.959
599.833	1606.485
599.962	1583.216
600.090	1597.186
600.218	1603.567
600.346	1625.763
600.474	1604.711
600.602	1609.505
600.730	1603.320
600.858	1615.216
600.987	1613.052
601.115	1598.062
601.243	1598.856
601.371	1606.835
601.499	1602.351
601.627	1610.598
601.755	1616.216
601.883	1601.320
602.012	1620.670
602.140	1621.505
602.268	1622.742
602.396	1634.619
602.524	1631.320
602.652	1639.856
602.780	1627.041
602.908	1633.660
603.037	1645.103
603.165	1657.732
603.293	1664.443
603.421	1668.320
603.549	1661.649
603.677	1659.402
603.805	1663.309
603.933	1674.680
604.062	1669.784
604.190	1681.959
604.318	1673.041
604.446	1699.969
604.574	1685.433
604.702	1696.608
604.830	1689.309
604.958	1707.175
605.087	1715.887
605.215	1721.433
605.343	1725.196
605.471	1728.567
605.599	1725.835
605.727	1731.351
605.855	1720.247
605.983	1723.010
606.112	1741.010
