lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
585.996,720.381,103.567,1270.082,1197.041,1185.392,883.948,836.247,826.258,801.588,800.103,1191.041,985.979,786.412,837.0,778.186,804.072,773.732,808.247
586.124,699.66,103.052,1228.423,1148.423,1136.443,858.072,813.959,807.082,772.845,773.351,1163.887,958.794,768.773,814.052,750.979,772.113,755.289,791.732
586.252,696.804,102.897,1229.247,1151.639,1127.165,856.361,819.34,803.948,775.247,774.845,1152.701,948.99,765.649,813.629,744.052,779.144,746.515,788.66
586.38,700.67,103.216,1224.041,1162.546,1129.897,856.392,811.196,803.505,775.454,768.67,1160.433,959.959,763.144,815.649,751.062,778.464,750.371,789.753
586.508,703.062,103.866,1234.722,1151.845,1138.041,856.206,819.402,799.381,779.299,783.753,1163.505,967.742,774.103,818.474,759.567,777.742,760.918,781.237
586.637,698.082,104.34,1237.0,1162.639,1146.99,862.99,812.876,808.216,774.072,781.278,1170.412,964.309,771.887,818.619,751.608,785.072,754.763,787.876
586.765,704.598,103.804,1235.155,1154.742,1139.227,860.454,825.639,812.041,782.381,785.289,1173.021,979.196,769.505,823.825,758.814,780.32,759.866,788.113
586.893,695.237,103.887,1241.732,1159.031,1141.577,860.186,823.361,805.227,780.454,777.742,1180.928,975.464,771.433,820.588,760.443,791.845,750.124,791.113
587.021,712.711,103.505,1237.711,1154.979,1135.608,873.598,827.969,816.361,794.186,782.825,1185.381,975.454,773.567,826.505,767.216,793.134,764.134,796.969
587.149,706.134,103.381,1246.598,1171.598,1148.804,868.485,831.021,814.041,787.33,790.784,1183.495,979.165,780.216,825.928,755.99,784.68,762.907,794.206
587.277,708.598,103.701,1234.629,1165.351,1146.155,865.825,828.742,814.031,787.093,788.794,1179.722,985.371,780.948,826.495,762.206,796.062,764.247,790.402
587.405,708.567,103.784,1248.804,1174.423,1155.258,882.515,829.845,818.134,787.577,782.371,1204.299,986.979,784.495,826.082,769.742,789.773,768.216,805.835
587.533,706.68,103.526,1244.619,1161.103,1143.784,867.454,828.66,816.361,785.371,785.196,1178.474,976.742,774.546,825.948,764.68,786.784,762.691,801.216
587.662,715.577,102.856,1237.402,1157.216,1142.814,878.031,831.423,814.196,793.526,790.103,1194.588,988.464,786.691,822.784,757.876,790.247,763.474,793.124
587.79,716.186,102.753,1243.567,1174.897,1140.113,874.32,843.701,827.577,799.113,792.835,1205.454,992.866,785.278,830.701,771.619,800.216,770.227,798.299
587.918,711.526,102.485,1250.845,1174.887,1151.505,878.536,827.814,822.804,790.763,792.67,1197.134,989.186,782.629,830.155,767.722,796.0,767.0,797.959
588.046,715.835,102.546,1247.155,1172.062,1147.691,873.866,827.515,820.165,796.505,790.814,1210.691,997.619,779.701,830.175,766.103,799.835,774.309,804.361
588.174,715.866,103.309,1256.309,1178.309,1157.134,871.33,829.485,830.237,794.289,788.629,1209.773,989.938,782.412,827.732,768.258,797.918,770.691,800.186
588.302,722.247,103.959,1254.608,1177.278,1149.66,874.0,831.866,829.835,790.082,798.371,1223.711,1007.928,781.536,834.639,775.32,789.216,774.907,798.773
588.43,715.237,103.814,1249.67,1167.619,1159.485,872.711,834.536,818.247,795.866,787.227,1213.371,997.124,785.196,830.897,760.928,796.052,767.072,812.381
588.558,717.32,103.639,1255.216,1182.309,1150.99,879.021,839.948,830.278,790.237,791.021,1213.505,1004.247,790.124,838.557,775.144,796.691,775.443,801.536
588.687,720.155,103.588,1249.33,1174.32,1155.608,878.268,841.474,823.165,802.155,800.887,1223.825,1010.144,793.68,836.186,769.773,797.948,773.928,806.474
588.815,728.093,104.01,1257.206,1183.392,1158.247,887.979,848.711,836.649,808.753,804.412,1239.742,1015.639,799.897,845.134,774.021,803.845,781.165,813.876
588.943,731.67,104.351,1258.165,1176.01,1157.918,891.402,858.887,830.742,809.979,803.567,1241.485,1018.103,798.588,844.072,785.825,806.577,782.608,813.866
589.071,718.691,104.32,1258.753,1182.165,1156.485,887.825,844.887,828.66,808.186,801.258,1231.144,1017.68,793.309,835.742,775.856,799.691,776.866,805.113
589.199,724.361,103.495,1256.742,1181.753,1156.856,894.268,850.495,828.381,801.082,799.763,1239.495,1019.0,796.227,841.67,777.825,805.907,783.979,810.959
589.327,727.402,103.093,1281.66,1190.443,1162.928,890.464,856.588,838.773,808.814,801.969,1247.093,1022.546,793.144,838.876,779.835,806.979,777.784,812.113
589.455,723.021,102.969,1268.423,1188.216,1164.072,882.454,847.763,834.907,797.567,796.876,1236.155,1016.237,792.887,840.938,775.34,803.99,773.113,813.082
589.583,720.196,104.041,1274.289,1197.031,1178.67,887.196,857.309,837.0,803.155,807.701,1248.134,1030.361,797.309,849.68,783.474,807.196,783.454,816.371
589.712,724.258,103.134,1259.247,1189.134,1163.247,895.485,853.454,838.773,804.124,809.206,1264.454,1031.629,807.258,852.041,784.031,816.412,787.258,815.773
589.84,729.206,104.052,1272.031,1183.505,1166.402,886.639,850.68,844.361,811.722,806.227,1261.701,1040.608,789.907,853.361,781.206,808.969,784.196,818.588
589.968,732.258,103.247,1275.856,1188.062,1173.062,888.835,849.485,836.351,803.381,809.443,1256.134,1030.454,804.258,854.237,780.082,804.918,782.216,818.433
590.096,729.423,104.082,1266.773,1198.072,1169.515,900.155,857.433,839.959,804.351,811.361,1276.825,1041.639,803.567,848.866,786.402,812.227,790.711,819.175
590.224,738.196,103.052,1269.938,1187.856,1171.464,898.175,862.495,842.701,814.536,814.299,1280.505,1044.619,803.67,855.68,783.505,816.0,789.619,819.567
590.352,729.835,104.113,1284.474,1199.897,1176.443,899.907,859.742,844.237,824.196,818.165,1273.835,1046.031,809.309,851.454,797.0,813.134,784.289,817.103
590.48,727.33,102.649,1282.701,1197.546,1177.691,894.629,864.577,843.722,820.0,818.804,1287.794,1049.763,810.072,853.938,789.845,811.093,787.68,828.412
590.608,736.485,102.443,1289.629,1200.0,1187.546,899.928,866.247,846.742,817.825,822.34,1284.433,1042.887,815.237,867.588,789.01,815.876,792.309,821.289
590.737,733.804,104.031,1277.557,1200.124,1175.639,898.546,857.454,853.021,817.557,812.969,1286.443,1046.557,807.155,854.175,778.794,821.175,778.969,815.32
590.865,734.144,103.629,1275.856,1197.948,1173.866,906.165,862.278,848.01,821.155,810.041,1287.412,1051.433,812.711,860.351,787.804,814.021,787.814,827.907
590.993,740.433,104.113,1288.825,1204.588,1188.515,912.371,871.753,843.237,820.371,814.196,1306.526,1057.732,812.237,861.289,794.742,827.031,786.041,830.289
591.121,731.144,102.639,1290.381,1205.794,1184.289,900.443,861.464,846.093,822.381,813.67,1293.206,1056.144,807.062,853.124,791.835,823.897,797.845,822.835
591.249,736.526,102.67,1286.021,1210.701,1178.361,911.216,862.588,848.866,821.062,814.454,1304.464,1062.67,807.34,852.701,792.753,825.557,794.485,827.052
591.377,739.031,102.299,1298.588,1208.34,1188.876,909.515,865.072,848.557,819.124,820.041,1313.32,1067.237,818.67,855.309,795.381,817.742,801.021,830.412
591.505,737.144,103.794,1294.897,1211.907,1201.918,904.897,858.423,858.856,819.629,823.887,1306.412,1066.082,814.526,857.495,794.402,817.948,798.608,828.577
